account_id,customer_id,account_type,account_open_date,account_status,dormancy_flag,last_dormant_date,account_close_date
ACC_000001,CUST_00001,SAVINGS,1979-10-02,ACTIVE,N,,
ACC_000002,CUST_00002,SAVINGS,1991-08-25,ACTIVE,N,,
ACC_000003,CUST_00002,SAVINGS,2007-11-06,ACTIVE,N,,
ACC_000004,CUST_00003,SAVINGS,2001-04-27,ACTIVE,N,,
ACC_000005,CUST_00003,SAVINGS,1971-05-25,ACTIVE,N,,
ACC_000006,CUST_00004,SAVINGS,2000-11-30,DORMANT,Y,2009-07-29,
ACC_000007,CUST_00004,SAVINGS,2024-12-06,ACTIVE,N,,
ACC_000008,CUST_00005,SAVINGS,1961-07-15,ACTIVE,N,,
ACC_000009,CUST_00006,SAVINGS,1968-04-13,ACTIVE,N,,
ACC_000010,CUST_00007,SAVINGS,1961-06-09,ACTIVE,N,,
ACC_000011,CUST_00008,CURRENT,1990-02-26,ACTIVE,N,,
ACC_000012,CUST_00009,SAVINGS,2010-07-01,ACTIVE,N,,
ACC_000013,CUST_00010,SAVINGS,2020-08-11,ACTIVE,N,,
ACC_000014,CUST_00011,SAVINGS,1997-11-06,DORMANT,Y,2005-09-05,
ACC_000015,CUST_00012,SAVINGS,1955-08-08,ACTIVE,N,,
ACC_000016,CUST_00013,SAVINGS,2013-04-27,ACTIVE,N,,
ACC_000017,CUST_00014,SAVINGS,2019-09-20,ACTIVE,N,,
ACC_000018,CUST_00015,SAVINGS,1995-10-13,ACTIVE,N,,
ACC_000019,CUST_00016,SAVINGS,2007-12-29,ACTIVE,N,,
ACC_000020,CUST_00017,SAVINGS,2011-05-27,DORMANT,Y,2019-05-10,
ACC_000021,CUST_00018,SAVINGS,2008-11-11,ACTIVE,N,,
ACC_000022,CUST_00019,SAVINGS,2005-08-29,ACTIVE,N,,
ACC_000023,CUST_00020,SAVINGS,2000-01-08,ACTIVE,N,,
ACC_000024,CUST_00021,CURRENT,2017-09-18,ACTIVE,N,,
ACC_000025,CUST_00022,SAVINGS,1993-02-23,ACTIVE,N,,
ACC_000026,CUST_00023,SAVINGS,1987-02-27,ACTIVE,N,,
ACC_000027,CUST_00024,SAVINGS,2002-01-15,ACTIVE,N,,
ACC_000028,CUST_00025,SAVINGS,1953-05-13,ACTIVE,N,,
ACC_000029,CUST_00025,SAVINGS,1974-06-10,ACTIVE,N,,
ACC_000030,CUST_00026,CURRENT,2010-02-11,DORMANT,Y,2014-02-02,
ACC_000031,CUST_00027,SAVINGS,1986-02-25,ACTIVE,N,,
ACC_000032,CUST_00027,SAVINGS,1960-04-30,ACTIVE,N,,
