transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_category,transaction_amount
TXN_00000000,ACC_002137,CUST_01705,2024-07-07,DEBIT,RTGS,697775.69
TXN_00000001,ACC_001962,CUST_01561,2024-12-21,DEBIT,CHEQUE,2109666.91
TXN_00000002,ACC_000579,CUST_00467,2024-07-24,DEBIT,CHEQUE,994268.37
TXN_00000003,ACC_008046,CUST_06436,2024-08-26,CREDIT,FX,4346514.67
TXN_00000004,ACC_003043,CUST_02444,2024-12-26,CREDIT,RTGS,1076647.28
TXN_00000005,ACC_006443,CUST_05163,2024-07-27,DEBIT,IMPS,4237487.08
TXN_00000006,ACC_005064,CUST_04048,2024-07-12,DEBIT,UPI,394093.11
TXN_00000007,ACC_005609,CUST_04498,2024-12-08,CREDIT,CHEQUE,961523.72
TXN_00000008,ACC_001332,CUST_01068,2024-07-12,CREDIT,NEFT,4276603.07
TXN_00000009,ACC_001931,CUST_01537,2024-10-06,CREDIT,RTGS,1850967.82
TXN_00000010,ACC_004001,CUST_03204,2024-12-19,DEBIT,CHEQUE,3174927.94
TXN_00000011,ACC_004679,CUST_03742,2024-08-11,CREDIT,INTERNATIONAL_WIRE,3440840.98
TXN_00000012,ACC_004199,CUST_03355,2024-12-23,DEBIT,RTGS,4109030.79
TXN_00000013,ACC_006027,CUST_04831,2024-10-11,DEBIT,CHEQUE,4381850.5
TXN_00000014,ACC_006012,CUST_04820,2024-08-24,CREDIT,INTERNATIONAL_WIRE,2294313.38
TXN_00000015,ACC_005071,CUST_04053,2024-08-05,CREDIT,INTERNATIONAL_WIRE,2922971.49
TXN_00000016,ACC_007659,CUST_06122,2024-10-01,DEBIT,CHEQUE,2467629.82
TXN_00000017,ACC_000909,CUST_00730,2024-07-29,DEBIT,FX,3402438.02
TXN_00000018,ACC_001218,CUST_00979,2024-10-07,CREDIT,CHEQUE,1257145.46
TXN_00000019,ACC_000225,CUST_00182,2024-12-22,CREDIT,FX,3204844.9
TXN_00000020,ACC_002140,CUST_01706,2024-09-14,CREDIT,NEFT,4769084.26
TXN_00000021,ACC_005044,CUST_04035,2024-11-06,DEBIT,FX,3126538.44
TXN_00000022,ACC_009753,CUST_07821,2024-12-03,CREDIT,FX,807829.02
TXN_00000023,ACC_000011,CUST_00008,2024-12-01,DEBIT,NEFT,4645500.17
TXN_00000024,ACC_005875,CUST_04711,2024-08-31,DEBIT,NEFT,3659564.78
TXN_00000025,ACC_001326,CUST_01062,2024-11-14,DEBIT,INTERNATIONAL_WIRE,2376464.36
TXN_00000026,ACC_003144,CUST_02526,2024-09-06,CREDIT,RTGS,4644574.57
TXN_00000027,ACC_003846,CUST_03080,2024-12-30,CREDIT,UPI,4498080.46
TXN_00000028,ACC_008692,CUST_06962,2024-07-31,DEBIT,IMPS,105269.2
TXN_00000029,ACC_004394,CUST_03512,2024-11-28,DEBIT,INTERNATIONAL_WIRE,3155551.68
TXN_00000030,ACC_004371,CUST_03492,2024-07-18,CREDIT,NEFT,2570829.18
TXN_00000031,ACC_005337,CUST_04277,2024-12-19,DEBIT,INTERNATIONAL_WIRE,4677577.65
