ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,IS_TRUE_POS
ALT00000001,TXN000111601,ACCT100004507,R002_SIGNAL,70,2022-08-12 02:18:55.769613,1
ALT00000002,TXN000111602,ACCT100003583,R005_SIGNAL,84,2022-07-31 22:53:51.983142,1
ALT00000003,TXN000111603,ACCT100002616,R005_SIGNAL,82,2023-09-29 00:07:11.035281,1
ALT00000004,TXN000111604,ACCT100001585,R002_SIGNAL,60,2022-11-24 00:43:30.629697,1
ALT00000005,TXN000111605,ACCT100001292,R002_SIGNAL,78,2023-05-18 21:48:58.903768,1
ALT00000006,TXN000111606,ACCT100010835,R002_SIGNAL,79,2022-07-27 14:46:04.435843,1
ALT00000007,TXN000111607,ACCT100010416,R004_SIGNAL,80,2024-01-30 20:59:25.325064,1
ALT00000008,TXN000111608,ACCT100010404,R002_SIGNAL,83,2022-06-05 21:46:31.455132,1
ALT00000009,TXN000111609,ACCT100003753,R003_SIGNAL,93,2024-01-19 15:53:30.895314,1
ALT00000010,TXN000111610,ACCT100010739,R004_SIGNAL,89,2023-03-31 19:11:32.127141,1
ALT00000011,TXN000111611,ACCT100008831,R003_SIGNAL,93,2022-08-28 08:34:57.103484,1
ALT00000012,TXN000111612,ACCT100000772,R003_SIGNAL,76,2024-02-24 11:09:14.461027,1
ALT00000013,TXN000111613,ACCT100008670,R005_SIGNAL,77,2022-08-18 00:55:05.949416,1
ALT00000014,TXN000111614,ACCT100004809,R004_SIGNAL,80,2023-02-01 01:42:26.786266,1
ALT00000015,TXN000111615,ACCT100010469,R002_SIGNAL,66,2023-04-08 11:32:28.505612,1
ALT00000016,TXN000111616,ACCT100000320,R004_SIGNAL,80,2022-04-12 21:52:33.407098,1
ALT00000017,TXN000111617,ACCT100011992,R002_SIGNAL,79,2023-03-19 17:41:43.763836,1
ALT00000018,TXN000111618,ACCT100004343,R005_SIGNAL,79,2023-04-26 17:03:34.877206,1
ALT00000019,TXN000111619,ACCT100011005,R004_SIGNAL,77,2023-08-16 00:56:01.868024,1
ALT00000020,TXN000111620,ACCT100009639,R003_SIGNAL,87,2023-05-20 14:56:24.598640,1
ALT00000021,TXN000111621,ACCT100005414,R002_SIGNAL,67,2022-03-06 13:13:30.352676,1
ALT00000022,TXN000111622,ACCT100009441,R003_SIGNAL,85,2023-03-07 14:28:45.549412,1
ALT00000023,TXN000111623,ACCT100007652,R005_SIGNAL,70,2024-02-26 22:55:35.998871,1
