CASE_ID,ALERT_ID,INVESTIGATOR_ID,PRIORITY,CASE_STATUS,RESOLUTION_DAYS
CASE0000001,ALT00006637,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,28
CASE0000002,ALT00003743,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,18
CASE0000003,ALT00005115,INV_01,LOW,CLOSED_FALSE_POSITIVE,44
CASE0000004,ALT00006506,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,44
CASE0000005,ALT00010074,INV_03,MEDIUM,CLOSED_SAR_FILED,28
CASE0000006,ALT00006521,INV_03,LOW,CLOSED_FALSE_POSITIVE,12
CASE0000007,ALT00003150,INV_01,HIGH,OPEN,6
CASE0000008,ALT00002877,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,12
CASE0000009,ALT00005611,INV_02,LOW,CLOSED_FALSE_POSITIVE,21
CASE0000010,ALT00007743,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,42
CASE0000011,ALT00004166,INV_03,HIGH,CLOSED_MONITORING,32
CASE0000012,ALT00006779,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,14
CASE0000013,ALT00001781,INV_03,LOW,OPEN,25
CASE0000014,ALT00008903,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,34
CASE0000015,ALT00008391,INV_01,HIGH,CLOSED_FALSE_POSITIVE,15
CASE0000016,ALT00009478,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,16
CASE0000017,ALT00003795,INV_04,HIGH,CLOSED_FALSE_POSITIVE,44
CASE0000018,ALT00003371,AUTO_SYS,MEDIUM,OPEN,17
CASE0000019,ALT00007564,INV_04,LOW,CLOSED_FALSE_POSITIVE,7
CASE0000020,ALT00006555,INV_01,LOW,CLOSED_SAR_FILED,36
CASE0000021,ALT00004814,INV_03,LOW,CLOSED_FALSE_POSITIVE,8
CASE0000022,ALT00004830,INV_03,LOW,CLOSED_FALSE_POSITIVE,20
CASE0000023,ALT00003054,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,43
CASE0000024,ALT00003289,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,17
CASE0000025,ALT00002590,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,37
CASE0000026,ALT00008056,INV_01,LOW,OPEN,2
CASE0000027,ALT00008549,INV_02,HIGH,CLOSED_FALSE_POSITIVE,10
CASE0000028,ALT00000034,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,32
CASE0000029,ALT00006387,INV_04,HIGH,CLOSED_SAR_FILED,14
CASE0000030,ALT00009674,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,24
CASE0000031,ALT00008376,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,21
CASE0000032,ALT00005913,AUTO_SYS,HIGH,CLOSED_SAR_FILED,22
CASE0000033,ALT00000901,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,22
CASE0000034,ALT00000766,INV_03,MEDIUM,CLOSED_SAR_FILED,17
CASE0000035,ALT00007633,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,6
CASE0000036,ALT00000734,AUTO_SYS,HIGH,CLOSED_SAR_FILED,1
CASE0000037,ALT00007290,INV_04,LOW,CLOSED_FALSE_POSITIVE,19
CASE0000038,ALT00000569,INV_01,MEDIUM,CLOSED_MONITORING,13
CASE0000039,ALT00001255,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,22
CASE0000040,ALT00009598,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,8
CASE0000041,ALT00003616,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,37
CASE0000042,ALT00008352,INV_01,MEDIUM,CLOSED_SAR_FILED,15
CASE0000043,ALT00009817,INV_04,HIGH,CLOSED_FALSE_POSITIVE,20
CASE0000044,ALT00000040,INV_01,LOW,CLOSED_FALSE_POSITIVE,29
CASE0000045,ALT00009199,INV_03,LOW,CLOSED_FALSE_POSITIVE,32
CASE0000046,ALT00003393,INV_04,HIGH,CLOSED_SAR_FILED,22
CASE0000047,ALT00005439,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,18
CASE0000048,ALT00003929,INV_03,LOW,CLOSED_FALSE_POSITIVE,44
CASE0000049,ALT00001414,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,33
CASE0000050,ALT00006096,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,35
CASE0000051,ALT00005051,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,8
CASE0000052,ALT00005181,INV_02,LOW,CLOSED_FALSE_POSITIVE,35
CASE0000053,ALT00008273,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,4
CASE0000054,ALT00005122,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,27
CASE0000055,ALT00006420,INV_04,HIGH,CLOSED_FALSE_POSITIVE,13
CASE0000056,ALT00009434,INV_01,MEDIUM,OPEN,32
CASE0000057,ALT00003127,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,16
CASE0000058,ALT00005232,INV_03,LOW,CLOSED_SAR_FILED,42
CASE0000059,ALT00001958,INV_04,HIGH,CLOSED_FALSE_POSITIVE,27
CASE0000060,ALT00009729,INV_03,MEDIUM,CLOSED_SAR_FILED,21
CASE0000061,ALT00001184,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,44
CASE0000062,ALT00007874,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,39
CASE0000063,ALT00008921,INV_01,MEDIUM,CLOSED_SAR_FILED,6
CASE0000064,ALT00000252,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,34
CASE0000065,ALT00001473,AUTO_SYS,HIGH,CLOSED_SAR_FILED,13
CASE0000066,ALT00006222,INV_01,LOW,CLOSED_SAR_FILED,32
CASE0000067,ALT00006642,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,2
CASE0000068,ALT00000097,INV_04,LOW,CLOSED_FALSE_POSITIVE,43
CASE0000069,ALT00008875,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,1
CASE0000070,ALT00009181,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,40
CASE0000071,ALT00006482,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,9
CASE0000072,ALT00009622,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,35
CASE0000073,ALT00002393,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,6
CASE0000074,ALT00002445,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,19
CASE0000075,ALT00004231,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,11
CASE0000076,ALT00001609,INV_01,HIGH,CLOSED_FALSE_POSITIVE,7
CASE0000077,ALT00000108,INV_02,MEDIUM,CLOSED_SAR_FILED,15
CASE0000078,ALT00009874,INV_01,LOW,CLOSED_SAR_FILED,34
CASE0000079,ALT00001218,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,17
CASE0000080,ALT00008854,INV_02,LOW,CLOSED_FALSE_POSITIVE,3
CASE0000081,ALT00000304,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,11
CASE0000082,ALT00009237,INV_01,HIGH,CLOSED_FALSE_POSITIVE,13
CASE0000083,ALT00002475,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,1
CASE0000084,ALT00002336,INV_03,HIGH,CLOSED_FALSE_POSITIVE,10
CASE0000085,ALT00001072,INV_04,LOW,CLOSED_SAR_FILED,23
CASE0000086,ALT00001513,INV_01,LOW,CLOSED_FALSE_POSITIVE,16
CASE0000087,ALT00000170,INV_04,HIGH,CLOSED_FALSE_POSITIVE,15
CASE0000088,ALT00001627,INV_02,LOW,OPEN,19
CASE0000089,ALT00008700,INV_03,LOW,CLOSED_FALSE_POSITIVE,28
CASE0000090,ALT00005324,INV_04,LOW,CLOSED_SAR_FILED,6
CASE0000091,ALT00000577,INV_01,MEDIUM,OPEN,14
CASE0000092,ALT00004048,INV_04,LOW,CLOSED_FALSE_POSITIVE,11
CASE0000093,ALT00008751,INV_02,HIGH,CLOSED_FALSE_POSITIVE,16
CASE0000094,ALT00008139,INV_03,HIGH,CLOSED_FALSE_POSITIVE,5
CASE0000095,ALT00006144,INV_04,LOW,CLOSED_FALSE_POSITIVE,24
CASE0000096,ALT00001651,INV_02,MEDIUM,OPEN,23
CASE0000097,ALT00007516,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,6
CASE0000098,ALT00001731,AUTO_SYS,LOW,OPEN,4
CASE0000099,ALT00008599,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,35
CASE0000100,ALT00007062,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,27
CASE0000101,ALT00005283,INV_02,LOW,OPEN,14
CASE0000102,ALT00008666,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,28
CASE0000103,ALT00007739,INV_03,MEDIUM,CLOSED_MONITORING,16
CASE0000104,ALT00010026,INV_03,LOW,CLOSED_FALSE_POSITIVE,33
CASE0000105,ALT00007104,INV_04,HIGH,CLOSED_FALSE_POSITIVE,23
CASE0000106,ALT00002192,AUTO_SYS,MEDIUM,OPEN,41
CASE0000107,ALT00009023,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,15
CASE0000108,ALT00002974,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,37
CASE0000109,ALT00004834,AUTO_SYS,LOW,OPEN,2
CASE0000110,ALT00002488,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,31
CASE0000111,ALT00007670,INV_01,LOW,CLOSED_FALSE_POSITIVE,37
CASE0000112,ALT00000501,INV_04,MEDIUM,CLOSED_MONITORING,31
CASE0000113,ALT00000938,INV_04,MEDIUM,CLOSED_SAR_FILED,34
CASE0000114,ALT00002626,INV_03,HIGH,OPEN,4
CASE0000115,ALT00004603,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,7
CASE0000116,ALT00009773,INV_03,HIGH,CLOSED_FALSE_POSITIVE,11
CASE0000117,ALT00005934,INV_01,HIGH,CLOSED_FALSE_POSITIVE,4
CASE0000118,ALT00000440,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,30
CASE0000119,ALT00006956,INV_01,MEDIUM,CLOSED_MONITORING,38
CASE0000120,ALT00000625,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,37
CASE0000121,ALT00001509,INV_04,HIGH,CLOSED_MONITORING,30
CASE0000122,ALT00005995,AUTO_SYS,HIGH,OPEN,39
CASE0000123,ALT00008764,INV_01,HIGH,CLOSED_MONITORING,36
CASE0000124,ALT00002535,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,7
CASE0000125,ALT00008529,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,21
CASE0000126,ALT00000656,INV_02,MEDIUM,CLOSED_SAR_FILED,24
CASE0000127,ALT00003413,INV_04,MEDIUM,OPEN,35
CASE0000128,ALT00007353,INV_01,MEDIUM,CLOSED_SAR_FILED,43
CASE0000129,ALT00000519,INV_04,LOW,CLOSED_FALSE_POSITIVE,2
CASE0000130,ALT00007382,INV_01,MEDIUM,CLOSED_MONITORING,19
CASE0000131,ALT00000347,INV_04,HIGH,CLOSED_SAR_FILED,14
CASE0000132,ALT00004437,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,33
CASE0000133,ALT00002305,INV_02,LOW,CLOSED_FALSE_POSITIVE,8
CASE0000134,ALT00002139,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,33
CASE0000135,ALT00000316,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,29
CASE0000136,ALT00004114,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,40
CASE0000137,ALT00000674,INV_02,HIGH,CLOSED_SAR_FILED,22
CASE0000138,ALT00002997,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,21
CASE0000139,ALT00007493,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,19
CASE0000140,ALT00003353,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,5
CASE0000141,ALT00000484,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,17
CASE0000142,ALT00001684,INV_03,MEDIUM,OPEN,3
CASE0000143,ALT00008881,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,41
CASE0000144,ALT00007991,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,9
CASE0000145,ALT00008844,INV_03,LOW,CLOSED_SAR_FILED,34
CASE0000146,ALT00008189,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,2
CASE0000147,ALT00001124,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,42
CASE0000148,ALT00008539,INV_02,MEDIUM,OPEN,43
CASE0000149,ALT00004569,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,33
CASE0000150,ALT00001596,INV_04,LOW,CLOSED_FALSE_POSITIVE,25
CASE0000151,ALT00000762,INV_03,LOW,CLOSED_FALSE_POSITIVE,1
CASE0000152,ALT00008441,INV_01,MEDIUM,CLOSED_SAR_FILED,1
CASE0000153,ALT00008348,INV_04,LOW,CLOSED_FALSE_POSITIVE,21
CASE0000154,ALT00009635,INV_04,MEDIUM,CLOSED_SAR_FILED,37
CASE0000155,ALT00002030,INV_01,LOW,OPEN,21
CASE0000156,ALT00009747,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,41
CASE0000157,ALT00003964,INV_01,LOW,CLOSED_FALSE_POSITIVE,7
CASE0000158,ALT00007497,INV_03,LOW,CLOSED_FALSE_POSITIVE,34
CASE0000159,ALT00000260,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,38
CASE0000160,ALT00003095,INV_04,HIGH,CLOSED_SAR_FILED,3
CASE0000161,ALT00000953,INV_04,LOW,CLOSED_FALSE_POSITIVE,8
CASE0000162,ALT00006476,INV_04,MEDIUM,OPEN,24
CASE0000163,ALT00004056,INV_04,MEDIUM,OPEN,20
CASE0000164,ALT00007285,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,40
CASE0000165,ALT00000312,INV_03,HIGH,CLOSED_FALSE_POSITIVE,42
CASE0000166,ALT00009083,INV_02,LOW,OPEN,27
CASE0000167,ALT00002129,INV_03,MEDIUM,CLOSED_SAR_FILED,26
CASE0000168,ALT00009751,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,25
CASE0000169,ALT00000933,INV_03,MEDIUM,CLOSED_MONITORING,32
CASE0000170,ALT00000032,INV_01,LOW,CLOSED_FALSE_POSITIVE,33
CASE0000171,ALT00000036,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,41
CASE0000172,ALT00006095,INV_03,MEDIUM,CLOSED_MONITORING,42
CASE0000173,ALT00005800,INV_01,HIGH,CLOSED_FALSE_POSITIVE,16
CASE0000174,ALT00008263,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,3
CASE0000175,ALT00008688,INV_04,LOW,CLOSED_MONITORING,22
CASE0000176,ALT00008212,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,25
CASE0000177,ALT00006127,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,35
CASE0000178,ALT00003379,INV_03,LOW,CLOSED_FALSE_POSITIVE,3
CASE0000179,ALT00005020,INV_02,MEDIUM,OPEN,6
CASE0000180,ALT00002819,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,44
CASE0000181,ALT00004050,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,42
CASE0000182,ALT00008594,INV_03,LOW,CLOSED_FALSE_POSITIVE,3
CASE0000183,ALT00005191,INV_01,LOW,CLOSED_FALSE_POSITIVE,11
CASE0000184,ALT00005983,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,35
CASE0000185,ALT00003521,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,22
CASE0000186,ALT00006727,INV_02,LOW,CLOSED_FALSE_POSITIVE,37
CASE0000187,ALT00005305,INV_02,HIGH,CLOSED_MONITORING,24
CASE0000188,ALT00000296,INV_03,LOW,CLOSED_FALSE_POSITIVE,44
CASE0000189,ALT00002725,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,16
CASE0000190,ALT00007766,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,2
CASE0000191,ALT00000081,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,34
CASE0000192,ALT00005583,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,15
CASE0000193,ALT00001954,INV_03,MEDIUM,CLOSED_SAR_FILED,15
CASE0000194,ALT00003394,INV_03,MEDIUM,OPEN,7
CASE0000195,ALT00008856,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,15
CASE0000196,ALT00004011,INV_01,LOW,CLOSED_FALSE_POSITIVE,31
CASE0000197,ALT00006045,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,30
CASE0000198,ALT00001311,INV_01,HIGH,CLOSED_FALSE_POSITIVE,13
CASE0000199,ALT00009839,INV_01,LOW,CLOSED_FALSE_POSITIVE,40
