TRANSACTION_ID,ACCOUNT_ID,TXN_TIMESTAMP,TXN_TYPE,TXN_AMOUNT,CURRENCY,NARRATIVE,BENEFICIARY_COUNTRY,CHANNEL,IP_ADDRESS,IS_TYPOLOGY,TYPOLOGY_TYPE
TXN000000001,ACCT100008457,2023-08-16 03:31:55.688527,NEFT,745.78,INR,,US,ATM,192.168.69.93,False,NONE
TXN000000002,ACCT100002274,2022-12-29 05:03:05.309829,POS,4516.53,INR,INSURANCE,IN,BRANCH,192.168.167.253,False,NONE
TXN000000003,ACCT100003676,2022-10-23 18:06:00.317294,CASH_WITHDRAWAL,1491.99,INR,DIVIDEND,US,ATM,192.168.31.217,False,NONE
TXN000000004,ACCT100005396,2023-08-18 04:40:02.673652,CASH_DEPOSIT,32574.57,INR,VENDOR_PAYMENT,IN,BRANCH,192.168.199.146,False,NONE
TXN000000005,ACCT100007041,2024-04-01 22:40:48.873264,IMPS,1154.1,USD,INSURANCE,IN,MOBILE,192.168.188.195,False,NONE
TXN000000006,ACCT100001820,2024-01-26 16:23:48.068839,CASH_DEPOSIT,24380.92,INR,VENDOR_PAYMENT,SG,WEB,192.168.31.180,False,NONE
TXN000000007,ACCT100010288,2024-03-23 06:49:15.033721,UPI,7710.43,USD,GROCERY,KY,ATM,192.168.13.153,False,NONE
TXN000000008,ACCT100001598,2022-05-31 12:05:41.429774,NEFT,2989.32,INR,DIVIDEND,CN,WEB,192.168.71.58,False,NONE
TXN000000009,ACCT100000612,2022-12-18 22:03:01.984988,NEFT,386.36,USD,GROCERY,IN,MOBILE,192.168.202.62,False,NONE
TXN000000010,ACCT100000829,2022-06-21 14:23:03.567094,UPI,905.58,USD,INVESTMENT,IN,ATM,192.168.16.35,False,NONE
TXN000000011,ACCT100004885,2022-09-27 10:48:02.427772,RTGS,1622.58,INR,INVESTMENT,IN,ATM,192.168.5.61,False,NONE
TXN000000012,ACCT100005193,2023-04-16 21:44:08.411541,IMPS,5203.53,INR,INSURANCE,GB,MOBILE,192.168.79.70,False,NONE
TXN000000013,ACCT100005227,2022-02-27 12:52:52.448130,RTGS,1562.01,AED,UTILITY,IN,WEB,192.168.32.145,False,NONE
TXN000000014,ACCT100001075,2024-05-16 17:04:52.724725,INTERNAL_TRANSFER,1984.71,INR,DIVIDEND,IN,WEB,192.168.87.145,False,NONE
TXN000000015,ACCT100011831,2023-05-10 12:22:55.155914,RTGS,1281.34,INR,INSURANCE,AE,ATM,192.168.146.40,False,NONE
TXN000000016,ACCT100007892,2022-10-15 21:34:56.767086,RTGS,2329.51,INR,INVESTMENT,CN,ATM,192.168.116.49,False,NONE
TXN000000017,ACCT100006949,2023-07-23 16:28:18.272500,CASH_DEPOSIT,1774.86,INR,,US,WEB,,False,NONE
TXN000000018,ACCT100004172,2024-04-10 11:31:11.547736,CASH_WITHDRAWAL,2629.52,INR,UTILITY,IN,ATM,192.168.235.203,False,NONE
TXN000000019,ACCT100004512,2022-08-22 00:47:18.985835,UPI,6277.72,USD,VENDOR_PAYMENT,MY,WEB,192.168.9.225,False,NONE
TXN000000020,ACCT100009526,2022-08-20 18:18:25.978402,IMPS,2565.44,USD,RENT,IN,ATM,192.168.202.101,False,NONE
TXN000000021,ACCT100006312,2022-07-30 05:16:13.702616,NEFT,6325.34,INR,VENDOR_PAYMENT,IN,MOBILE,,False,NONE
