ACCOUNT_ID,str_filed_date
ACCT100004507,2022-09-01 02:18:55.769613
ACCT100006913,2022-02-18 22:53:47.415083
ACCT100003258,2023-11-04 07:03:10.140968
ACCT100000107,2023-12-13 06:33:51.389731
ACCT100002548,2022-08-05 03:37:12.340993
ACCT100001585,2022-12-14 00:43:30.629697
ACCT100008786,2022-05-14 17:11:57.208641
ACCT100005926,2023-06-30 23:13:38.294018
ACCT100003815,2024-03-20 08:47:56.003774
ACCT100006066,2022-12-10 15:38:18.923188
ACCT100010404,2022-06-25 21:46:31.455132
ACCT100003599,2023-10-06 16:24:21.541113
ACCT100006573,2022-09-21 21:53:11.444398
ACCT100010739,2023-04-20 19:11:32.127141
ACCT100004041,2023-11-30 16:26:20.776023
ACCT100005931,2022-08-08 19:13:44.681573
ACCT100001797,2022-06-09 05:43:21.382429
ACCT100006253,2023-07-17 20:30:16.551676
ACCT100011170,2024-04-06 01:00:52.825042
ACCT100004809,2023-02-21 01:42:26.786266
ACCT100002928,2023-04-28 11:57:07.680776
ACCT100009978,2022-07-21 04:59:32.384343
ACCT100005311,2023-04-11 02:52:30.721242
ACCT100000950,2022-08-28 10:24:59.390159
ACCT100001134,2024-06-29 22:39:10.691140
ACCT100002706,2022-09-19 11:11:53.286524
ACCT100011681,2022-10-31 23:21:53.974810
ACCT100008480,2023-03-08 07:17:34.783352
ACCT100009639,2023-06-09 14:56:24.598640
ACCT100003751,2022-03-23 09:38:26.785694
ACCT100003900,2022-10-01 16:37:36.837555
ACCT100009441,2023-03-27 14:28:45.549412
ACCT100005805,2023-02-10 21:07:22.849347
ACCT100000994,2023-01-22 18:54:42.162782
ACCT100007351,2022-05-28 16:56:44.677248
ACCT100007261,2024-01-27 02:35:54.091730
ACCT100000242,2024-06-21 18:08:03.009386
ACCT100003503,2024-03-18 16:42:58.374276
ACCT100004346,2024-05-14 01:23:28.177084
ACCT100010845,2023-11-06 11:16:42.711884
ACCT100008884,2022-03-17 12:46:34.833945
ACCT100002580,2022-03-13 19:36:54.472277
ACCT100001114,2023-09-28 02:50:50.179199
ACCT100010148,2022-04-05 16:29:06.639864
ACCT100003347,2023-09-23 02:53:19.364523
