ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE
ALT00000001,TXN000111601,ACCT100004507,R002_STRUCTURING_SIGNAL,65,2022-08-12 02:18:55.769613
ALT00000002,TXN000111602,ACCT100006913,R002_STRUCTURING_SIGNAL,67,2022-01-29 22:53:47.415083
ALT00000003,TXN000111603,ACCT100003258,R002_STRUCTURING_SIGNAL,84,2023-10-15 07:03:10.140968
ALT00000004,TXN000111604,ACCT100000107,R003_LAYERING_SIGNAL,82,2023-11-23 06:33:51.389731
ALT00000005,TXN000111605,ACCT100002548,R004_MULE_SIGNAL,82,2022-07-16 03:37:12.340993
ALT00000006,TXN000111606,ACCT100001585,R002_STRUCTURING_SIGNAL,62,2022-11-24 00:43:30.629697
ALT00000007,TXN000111607,ACCT100008786,R002_STRUCTURING_SIGNAL,79,2022-04-24 17:11:57.208641
ALT00000008,TXN000111608,ACCT100005926,R004_MULE_SIGNAL,78,2023-06-10 23:13:38.294018
ALT00000009,TXN000111609,ACCT100003815,R003_LAYERING_SIGNAL,99,2024-02-29 08:47:56.003774
ALT00000010,TXN000111610,ACCT100006066,R004_MULE_SIGNAL,72,2022-11-20 15:38:18.923188
ALT00000011,TXN000111611,ACCT100010404,R002_STRUCTURING_SIGNAL,70,2022-06-05 21:46:31.455132
ALT00000012,TXN000111612,ACCT100003599,R005_RAPID_MVT,86,2023-09-16 16:24:21.541113
ALT00000013,TXN000111613,ACCT100006573,R003_LAYERING_SIGNAL,77,2022-09-01 21:53:11.444398
ALT00000014,TXN000111614,ACCT100010739,R004_MULE_SIGNAL,70,2023-03-31 19:11:32.127141
ALT00000015,TXN000111615,ACCT100004041,R005_RAPID_MVT,85,2023-11-10 16:26:20.776023
ALT00000016,TXN000111616,ACCT100005931,R005_RAPID_MVT,75,2022-07-19 19:13:44.681573
ALT00000017,TXN000111617,ACCT100001797,R005_RAPID_MVT,70,2022-05-20 05:43:21.382429
ALT00000018,TXN000111618,ACCT100006253,R005_RAPID_MVT,86,2023-06-27 20:30:16.551676
ALT00000019,TXN000111619,ACCT100011170,R002_STRUCTURING_SIGNAL,83,2024-03-17 01:00:52.825042
ALT00000020,TXN000111620,ACCT100004809,R004_MULE_SIGNAL,81,2023-02-01 01:42:26.786266
ALT00000021,TXN000111621,ACCT100002928,R004_MULE_SIGNAL,83,2023-04-08 11:57:07.680776
ALT00000022,TXN000111622,ACCT100009978,R004_MULE_SIGNAL,72,2022-07-01 04:59:32.384343
ALT00000023,TXN000111623,ACCT100005311,R002_STRUCTURING_SIGNAL,80,2023-03-22 02:52:30.721242
ALT00000024,TXN000111624,ACCT100000950,R004_MULE_SIGNAL,81,2022-08-08 10:24:59.390159
ALT00000025,TXN000111625,ACCT100001134,R002_STRUCTURING_SIGNAL,83,2024-06-09 22:39:10.691140
ALT00000026,TXN000111626,ACCT100002706,R003_LAYERING_SIGNAL,86,2022-08-30 11:11:53.286524
ALT00000027,TXN000111627,ACCT100011681,R003_LAYERING_SIGNAL,85,2022-10-11 23:21:53.974810
ALT00000028,TXN000111628,ACCT100008480,R004_MULE_SIGNAL,74,2023-02-16 07:17:34.783352
ALT00000029,TXN000111629,ACCT100009639,R004_MULE_SIGNAL,65,2023-05-20 14:56:24.598640
ALT00000030,TXN000111630,ACCT100003751,R002_STRUCTURING_SIGNAL,70,2022-03-03 09:38:26.785694
ALT00000031,TXN000111631,ACCT100003900,R002_STRUCTURING_SIGNAL,64,2022-09-11 16:37:36.837555
ALT00000032,TXN000111632,ACCT100009441,R003_LAYERING_SIGNAL,90,2023-03-07 14:28:45.549412
ALT00000033,TXN000111633,ACCT100005805,R003_LAYERING_SIGNAL,79,2023-01-21 21:07:22.849347
ALT00000034,TXN000111634,ACCT100000994,R002_STRUCTURING_SIGNAL,82,2023-01-02 18:54:42.162782
ALT00000035,TXN000111635,ACCT100007351,R003_LAYERING_SIGNAL,83,2022-05-08 16:56:44.677248
ALT00000036,TXN000111636,ACCT100007261,R003_LAYERING_SIGNAL,97,2024-01-07 02:35:54.091730
ALT00000037,TXN000111637,ACCT100000242,R002_STRUCTURING_SIGNAL,72,2024-06-01 18:08:03.009386
ALT00000038,TXN000111638,ACCT100003503,R003_LAYERING_SIGNAL,80,2024-02-27 16:42:58.374276
ALT00000039,TXN000111639,ACCT100004346,R005_RAPID_MVT,80,2024-04-24 01:23:28.177084
ALT00000040,TXN000111640,ACCT100010845,R005_RAPID_MVT,92,2023-10-17 11:16:42.711884
ALT00000041,TXN000111641,ACCT100008884,R003_LAYERING_SIGNAL,94,2022-02-25 12:46:34.833945
ALT00000042,TXN000111642,ACCT100002580,R005_RAPID_MVT,80,2022-02-21 19:36:54.472277
ALT00000043,TXN000111643,ACCT100001114,R002_STRUCTURING_SIGNAL,69,2023-09-08 02:50:50.179199
ALT00000044,TXN000111644,ACCT100010148,R003_LAYERING_SIGNAL,80,2022-03-16 16:29:06.639864
ALT00000045,TXN000111645,ACCT100003347,R004_MULE_SIGNAL,89,2023-09-03 02:53:19.364523
ALT00000046,TXN000111646,ACCT100007492,R005_RAPID_MVT,82,2022-10-16 00:53:53.589436
ALT00000047,TXN000111647,ACCT100010178,R002_STRUCTURING_SIGNAL,64,2024-06-28 14:12:28.421429
ALT00000048,TXN000111648,ACCT100005719,R003_LAYERING_SIGNAL,83,2024-03-13 11:12:51.456529
ALT00000049,TXN000111649,ACCT100007180,R004_MULE_SIGNAL,69,2024-01-30 12:59:58.877681
ALT00000050,TXN000111650,ACCT100004906,R002_STRUCTURING_SIGNAL,78,2024-04-28 19:54:50.566429
ALT00000051,TXN000111651,ACCT100001754,R004_MULE_SIGNAL,74,2023-11-08 08:11:54.162818
ALT00000052,TXN000111652,ACCT100011264,R003_LAYERING_SIGNAL,98,2023-08-01 18:58:43.439028
ALT00000053,TXN000111653,ACCT100001513,R004_MULE_SIGNAL,85,2023-08-01 19:59:42.561486
ALT00000054,TXN000111654,ACCT100002144,R002_STRUCTURING_SIGNAL,80,2023-08-04 09:50:48.772743
ALT00000055,TXN000111655,ACCT100009190,R005_RAPID_MVT,87,2022-01-09 19:25:05.924052
ALT00000056,TXN000111656,ACCT100009544,R003_LAYERING_SIGNAL,79,2023-05-19 08:24:31.374837
ALT00000057,TXN000111657,ACCT100000654,R004_MULE_SIGNAL,78,2024-03-29 22:05:17.710853
ALT00000058,TXN000111658,ACCT100009174,R002_STRUCTURING_SIGNAL,68,2024-03-16 10:43:16.005090
ALT00000059,TXN000111659,ACCT100002663,R003_LAYERING_SIGNAL,98,2024-06-08 07:46:07.334409
ALT00000060,TXN000111660,ACCT100005443,R002_STRUCTURING_SIGNAL,82,2023-12-14 18:05:54.066379
ALT00000061,TXN000111661,ACCT100006268,R003_LAYERING_SIGNAL,80,2024-03-05 13:03:16.349252
ALT00000062,TXN000111662,ACCT100005729,R003_LAYERING_SIGNAL,84,2022-10-06 00:41:35.244568
ALT00000063,TXN000111663,ACCT100006529,R003_LAYERING_SIGNAL,92,2022-10-27 01:07:09.483552
ALT00000064,TXN000111664,ACCT100006549,R004_MULE_SIGNAL,65,2023-09-12 00:59:02.903384
ALT00000065,TXN000111665,ACCT100004280,R002_STRUCTURING_SIGNAL,84,2022-06-12 16:12:24.238061
ALT00000066,TXN000111666,ACCT100009775,R002_STRUCTURING_SIGNAL,74,2023-01-31 21:18:07.262127
ALT00000067,TXN000111667,ACCT100001895,R005_RAPID_MVT,83,2022-12-17 21:54:46.636737
ALT00000068,TXN000111668,ACCT100000028,R002_STRUCTURING_SIGNAL,75,2023-04-19 15:32:18.603815
ALT00000069,TXN000111669,ACCT100010883,R003_LAYERING_SIGNAL,80,2024-04-18 19:44:02.401264
ALT00000070,TXN000111670,ACCT100008309,R002_STRUCTURING_SIGNAL,60,2022-10-09 18:11:59.476308
ALT00000071,TXN000111671,ACCT100002086,R004_MULE_SIGNAL,76,2022-06-24 18:23:30.455292
ALT00000072,TXN000111672,ACCT100006654,R003_LAYERING_SIGNAL,94,2023-05-15 04:05:57.220796
ALT00000073,TXN000111673,ACCT100009940,R003_LAYERING_SIGNAL,75,2023-08-20 10:29:01.523918
ALT00000074,TXN000111674,ACCT100010795,R003_LAYERING_SIGNAL,77,2022-03-19 05:58:10.613849
ALT00000075,TXN000111675,ACCT100003849,R004_MULE_SIGNAL,80,2023-09-05 22:00:16.347823
ALT00000076,TXN000111676,ACCT100007785,R003_LAYERING_SIGNAL,96,2023-07-11 20:53:38.929195
ALT00000077,TXN000111677,ACCT100003186,R005_RAPID_MVT,78,2023-10-17 09:54:54.347292
ALT00000078,TXN000111678,ACCT100001747,R003_LAYERING_SIGNAL,90,2023-12-11 03:23:01.584819
ALT00000079,TXN000111679,ACCT100001989,R005_RAPID_MVT,77,2023-02-20 20:04:52.867487
ALT00000080,TXN000111680,ACCT100010038,R004_MULE_SIGNAL,84,2024-01-13 11:18:08.194680
ALT00000081,TXN000111681,ACCT100007374,R005_RAPID_MVT,85,2022-08-25 02:57:50.456301
ALT00000082,TXN000111682,ACCT100007940,R004_MULE_SIGNAL,72,2023-07-25 23:13:40.174211
ALT00000083,TXN000111683,ACCT100004452,R004_MULE_SIGNAL,85,2022-11-02 22:58:13.946478
ALT00000084,TXN000111684,ACCT100011370,R003_LAYERING_SIGNAL,96,2022-05-20 04:56:03.654394
ALT00000085,TXN000111685,ACCT100006813,R005_RAPID_MVT,74,2022-02-26 17:22:38.986318
ALT00000086,TXN000111686,ACCT100006233,R002_STRUCTURING_SIGNAL,66,2023-03-11 12:41:05.541483
ALT00000087,TXN000111687,ACCT100008819,R005_RAPID_MVT,75,2023-11-12 23:40:57.311530
ALT00000088,TXN000111688,ACCT100007141,R003_LAYERING_SIGNAL,88,2023-03-19 10:04:35.588677
ALT00000089,TXN000111689,ACCT100002092,R005_RAPID_MVT,76,2024-06-12 10:30:19.139305
ALT00000090,TXN000111690,ACCT100010531,R002_STRUCTURING_SIGNAL,71,2023-01-26 11:11:22.545133
ALT00000091,TXN000111691,ACCT100006212,R002_STRUCTURING_SIGNAL,78,2022-10-26 05:14:19.356051
ALT00000092,TXN000111692,ACCT100004134,R005_RAPID_MVT,77,2024-01-31 14:29:32.077099
ALT00000093,TXN000111693,ACCT100003674,R002_STRUCTURING_SIGNAL,81,2023-08-16 06:45:01.637335
ALT00000094,TXN000111694,ACCT100004052,R002_STRUCTURING_SIGNAL,76,2022-07-01 14:49:19.053028
ALT00000095,TXN000111695,ACCT100009241,R003_LAYERING_SIGNAL,85,2024-05-13 09:45:34.321481
ALT00000096,TXN000111696,ACCT100009927,R004_MULE_SIGNAL,77,2023-07-08 04:51:33.143153
ALT00000097,TXN000111697,ACCT100009482,R003_LAYERING_SIGNAL,99,2022-01-24 09:25:59.142276
ALT00000098,TXN000111698,ACCT100001246,R005_RAPID_MVT,75,2023-06-24 09:37:39.498120
ALT00000099,TXN000111699,ACCT100011211,R002_STRUCTURING_SIGNAL,65,2023-07-01 23:23:58.366880
ALT00000100,TXN000111700,ACCT100008729,R002_STRUCTURING_SIGNAL,81,2023-01-26 06:03:24.772912
ALT00000101,TXN000111701,ACCT100006883,R004_MULE_SIGNAL,87,2024-01-20 03:26:35.495236
ALT00000102,TXN000111702,ACCT100002886,R005_RAPID_MVT,76,2023-10-31 11:42:01.897016
ALT00000103,TXN000111703,ACCT100004398,R005_RAPID_MVT,76,2022-10-21 14:52:02.648277
ALT00000104,TXN000111704,ACCT100003996,R004_MULE_SIGNAL,78,2023-11-15 16:24:48.333116
ALT00000105,TXN000111705,ACCT100005326,R005_RAPID_MVT,85,2022-06-15 15:44:47.892825
ALT00000106,TXN000111706,ACCT100009768,R004_MULE_SIGNAL,76,2023-10-01 18:40:53.462148
ALT00000107,TXN000111707,ACCT100008005,R003_LAYERING_SIGNAL,81,2023-05-21 18:22:21.684093
ALT00000108,TXN000111708,ACCT100001525,R005_RAPID_MVT,79,2022-09-26 01:10:00.299969
ALT00000109,TXN000111709,ACCT100006047,R004_MULE_SIGNAL,73,2023-03-08 03:22:02.374458
ALT00000110,TXN000111710,ACCT100011516,R004_MULE_SIGNAL,66,2023-02-18 08:41:11.137279
ALT00000111,TXN000111711,ACCT100005170,R002_STRUCTURING_SIGNAL,79,2022-04-19 21:56:41.506082
ALT00000112,TXN000111712,ACCT100004531,R003_LAYERING_SIGNAL,93,2023-10-23 02:19:35.270035
ALT00000113,TXN000111713,ACCT100003181,R004_MULE_SIGNAL,68,2022-09-27 21:07:57.622185
ALT00000114,TXN000111714,ACCT100002074,R002_STRUCTURING_SIGNAL,67,2022-09-07 21:32:34.255642
ALT00000115,TXN000111715,ACCT100010451,R004_MULE_SIGNAL,75,2024-03-02 04:02:08.221045
ALT00000116,TXN000111716,ACCT100007844,R004_MULE_SIGNAL,81,2023-02-06 06:24:35.288805
ALT00000117,TXN000111717,ACCT100001870,R004_MULE_SIGNAL,73,2024-01-19 22:44:11.287776
ALT00000118,TXN000111718,ACCT100002445,R002_STRUCTURING_SIGNAL,76,2024-01-09 22:48:37.280440
ALT00000119,TXN000111719,ACCT100009934,R003_LAYERING_SIGNAL,96,2023-06-28 01:43:02.452961
ALT00000120,TXN000111720,ACCT100004872,R005_RAPID_MVT,83,2024-02-23 14:41:02.333845
ALT00000121,TXN000111721,ACCT100001626,R002_STRUCTURING_SIGNAL,80,2024-05-13 06:06:43.703691
ALT00000122,TXN000111722,ACCT100002574,R004_MULE_SIGNAL,80,2022-08-07 12:24:44.080846
ALT00000123,TXN000111723,ACCT100007382,R002_STRUCTURING_SIGNAL,60,2023-09-21 00:24:37.846073
ALT00000124,TXN000111724,ACCT100011518,R003_LAYERING_SIGNAL,83,2024-02-23 02:26:29.666505
ALT00000125,TXN000111725,ACCT100010833,R004_MULE_SIGNAL,70,2024-01-03 08:35:37.657224
ALT00000126,TXN000111726,ACCT100002331,R003_LAYERING_SIGNAL,88,2022-03-07 01:18:16.822856
ALT00000127,TXN000111727,ACCT100002038,R004_MULE_SIGNAL,66,2023-03-03 23:36:44.719625
ALT00000128,TXN000111728,ACCT100008848,R004_MULE_SIGNAL,78,2023-03-26 20:20:19.232739
ALT00000129,TXN000111729,ACCT100004103,R005_RAPID_MVT,93,2022-01-24 13:30:36.025843
ALT00000130,TXN000111730,ACCT100009442,R002_STRUCTURING_SIGNAL,77,2022-02-06 15:37:31.085882
ALT00000131,TXN000111731,ACCT100009591,R005_RAPID_MVT,82,2023-02-02 02:11:21.686826
ALT00000132,TXN000111732,ACCT100005261,R005_RAPID_MVT,88,2023-09-03 11:47:56.587816
ALT00000133,TXN000111733,ACCT100010856,R005_RAPID_MVT,91,2024-05-11 01:42:41.576436
