ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,CASE_ID,PRIORITY,CASE_STATUS,RESOLUTION_DAYS,INVESTIGATOR_ID,IS_TRUE_POS,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,total_txn_volume,txn_count,avg_txn_amount,max_txn_amount,std_txn_amount,unique_channels,unique_beneficiary_countries,cash_txn_count,swift_txn_count,pct_high_risk_dest,velocity_ratio
ALT00000001,TXN000111601,ACCT100004507,R002_STRUCTURING_SIGNAL,65,2022-08-12 02:18:55.769613,CASE0000791,LOW,CLOSED_SAR_FILED,27.0,INV_01,1,CUST0006598,SAVINGS,ACTIVE,14928.75,INR,1,CN,SHELL_CO,250k+,2,0,0,0,89.2,637,MOBILE,458940.99,14,32781.499285714286,133717.06,49074.00903938152,4,7,4,1,21.428571428571427,4.078915973873603
ALT00000004,TXN000111604,ACCT100000107,R003_LAYERING_SIGNAL,82,2023-11-23 06:33:51.389731,CASE0000664,LOW,CLOSED_SAR_FILED,23.0,INV_03,1,CUST0004649,SAVINGS,ACTIVE,144838.19,INR,1,IN,BUSINESS_OWNER,100k-250k,7,0,0,0,75.7,53,THIRD_PARTY,259752.58000000002,13,19980.967692307695,121846.69,34200.44125088938,3,6,2,1,7.6923076923076925,6.097832399504198
ALT00000009,TXN000111609,ACCT100003815,R003_LAYERING_SIGNAL,99,2024-02-29 08:47:56.003774,CASE0000908,MEDIUM,CLOSED_SAR_FILED,5.0,INV_04,1,CUST0000789,SAVINGS,ACTIVE,1262.44,SGD,1,MY,SALARIED,100k-250k,3,0,0,0,92.0,48,MOBILE,280793.27,8,35099.15875,221056.8,75712.41139784969,4,4,1,1,12.5,6.29788604588576
ALT00000013,TXN000111613,ACCT100006573,R003_LAYERING_SIGNAL,77,2022-09-01 21:53:11.444398,CASE0001996,MEDIUM,CLOSED_SAR_FILED,27.0,INV_04,1,CUST0003374,SALARY,DORMANT,2915.95,AED,2,SG,SELF_EMPLOYED,0-50k,4,0,0,0,71.9,202,WEB,395526.47,14,28251.890714285713,144942.28,42055.8169648013,4,8,0,1,7.142857142857142,5.130175225811913
ALT00000015,TXN000111615,ACCT100004041,R005_RAPID_MVT,85,2023-11-10 16:26:20.776023,CASE0000437,LOW,CLOSED_SAR_FILED,34.0,INV_01,1,CUST0003286,NRE,ACTIVE,40194.34,AED,1,GB,SALARIED,100k-250k,1,0,0,0,87.7,285,BRANCH,278414.97,14,19886.78357142857,117015.91,29414.7309980489,4,7,3,0,21.428571428571427,5.883808498806716
ALT00000018,TXN000111618,ACCT100006253,R005_RAPID_MVT,86,2023-06-27 20:30:16.551676,CASE0002162,LOW,CLOSED_SAR_FILED,17.0,AUTO_SYS,1,CUST0006547,SALARY,ACTIVE,58017.14,INR,2,VG,SELF_EMPLOYED,0-50k,4,0,0,0,81.0,182,THIRD_PARTY,197933.26,16,12370.82875,104248.98,25124.61121636681,4,9,1,2,12.5,8.426319350726544
ALT00000020,TXN000111620,ACCT100004809,R004_MULE_SIGNAL,81,2023-02-01 01:42:26.786266,CASE0001352,LOW,CLOSED_SAR_FILED,14.0,INV_03,1,CUST0007986,NRE,ACTIVE,81934.62,USD,2,IN,,100k-250k,6,0,0,0,74.4,58,MOBILE,382765.4,12,31897.11666666667,104003.82,36928.39976901501,4,6,1,0,16.666666666666664,3.2605003325692685
ALT00000021,TXN000111621,ACCT100002928,R004_MULE_SIGNAL,83,2023-04-08 11:57:07.680776,CASE0001850,MEDIUM,CLOSED_SAR_FILED,40.0,INV_01,1,CUST0005198,NRO,ACTIVE,10689.44,USD,2,GB,SELF_EMPLOYED,50k-100k,1,0,0,0,90.7,129,BRANCH,57945.240000000005,11,5267.749090909091,12920.36,4248.3315701565825,4,7,1,0,27.27272727272727,2.452263293823064
ALT00000024,TXN000111624,ACCT100000950,R004_MULE_SIGNAL,81,2022-08-08 10:24:59.390159,CASE0001045,MEDIUM,CLOSED_SAR_FILED,33.0,INV_04,1,CUST0006055, NRO ,ACTIVE,76151.85,USD,1,AE,SALARIED,,6,0,0,0,58.3,25,MOBILE,517570.77,13,39813.13615384616,337583.19,90985.58027979374,4,6,2,1,15.384615384615385,8.478978137200862
ALT00000030,TXN000111630,ACCT100003751,R002_STRUCTURING_SIGNAL,70,2022-03-03 09:38:26.785694,CASE0000365,MEDIUM,CLOSED_SAR_FILED,39.0,INV_03,1,CUST0004958,SAVINGS,ACTIVE,21608.16,SGD,2,VG,STUDENT,0-50k,4,0,0,0,83.2,88,MOBILE,694965.48,9,77218.38666666666,324224.2,111521.54328810891,4,5,2,1,22.22222222222222,4.198740937940628
ALT00000031,TXN000111631,ACCT100003900,R002_STRUCTURING_SIGNAL,64,2022-09-11 16:37:36.837555,CASE0002233,MEDIUM,CLOSED_SAR_FILED,31.0,INV_04,1,CUST0006037,SAVINGS,ACTIVE,12763.01,AED,1,US,SALARIED,50k-100k,5,0,0,0,86.3,114,WEB,161097.9,20,8054.8949999999995,31332.2,7832.170598962837,4,7,2,0,15.0,3.8893505935715402
ALT00000032,TXN000111632,ACCT100009441,R003_LAYERING_SIGNAL,90,2023-03-07 14:28:45.549412,CASE0000170,MEDIUM,CLOSED_SAR_FILED,31.0,INV_01,1,CUST0003042,NRE,ACTIVE,70385.88,INR,2,IN,BUSINESS_OWNER,250k+,9,0,0,0,54.4,37,THIRD_PARTY,625444.25,16,39090.265625,403078.74,98334.29983461111,4,7,3,1,6.25,10.311222559707032
ALT00000034,TXN000111634,ACCT100000994,R002_STRUCTURING_SIGNAL,82,2023-01-02 18:54:42.162782,CASE0000028,HIGH,CLOSED_SAR_FILED,8.0,INV_03,1,CUST0006582,SALARY,ACTIVE,1237.73,SGD,2,GB,SALARIED,50k-100k,8,0,0,0,75.4,15,BRANCH,65160.05,11,5923.640909090909,26298.42,7991.278046379633,4,7,2,1,9.090909090909092,4.4388209181837635
ALT00000036,TXN000111636,ACCT100007261,R003_LAYERING_SIGNAL,97,2024-01-07 02:35:54.091730,CASE0000171,LOW,CLOSED_SAR_FILED,23.0,INV_04,1,CUST0006642,SALARY,ACTIVE,2246.17,USD,1,AE,BUSINESS_OWNER,50k-100k,6,0,0,0,81.1,161,MOBILE,577500.95,15,38500.06333333333,435185.1,110133.01205221021,4,7,1,1,13.333333333333334,11.303196907375458
ALT00000037,TXN000111637,ACCT100000242,R002_STRUCTURING_SIGNAL,72,2024-06-01 18:08:03.009386,CASE0000949,MEDIUM,CLOSED_SAR_FILED,37.0,INV_03,1,CUST0000001,SAVINGS,BLOCKED,28538.26,INR,1,IN,BUSINESS_OWNER,50k-100k,2,0,0,0,85.6,153,BRANCH,273622.37,12,22801.864166666666,142605.18,39206.96241584104,4,6,3,1,8.333333333333332,6.2538275436671205
ALT00000038,TXN000111638,ACCT100003503,R003_LAYERING_SIGNAL,80,2024-02-27 16:42:58.374276,CASE0002010,HIGH,CLOSED_SAR_FILED,27.0,INV_01,1,CUST0002031, SAVINGS ,ACTIVE,2106.87,INR,1,US,SALARIED,100k-250k,1,0,0,0,100.0,301,BRANCH,785026.46,9,87225.16222222222,456099.29,145910.28300287772,3,7,0,1,33.33333333333333,5.228927633409069
ALT00000040,TXN000111640,ACCT100010845,R005_RAPID_MVT,92,2023-10-17 11:16:42.711884,CASE0000044,LOW,CLOSED_SAR_FILED,44.0,INV_02,1,CUST0004361,SAVINGS,ACTIVE,259682.63,INR,1,NG,,100k-250k,1,0,0,0,93.8,135,THIRD_PARTY,202685.91999999998,13,15591.224615384614,92622.87,26322.345803123757,4,7,3,0,7.6923076923076925,5.940324250370945
ALT00000042,TXN000111642,ACCT100002580,R005_RAPID_MVT,80,2022-02-21 19:36:54.472277,CASE0002919,MEDIUM,CLOSED_SAR_FILED,26.0,INV_03,1,CUST0003373,SAVINGS,ACTIVE,116757.53,INR,1,IN,RETIRED,100k-250k,2,0,0,0,76.9,593,BRANCH,321433.22,14,22959.515714285713,111409.13,34178.79978026319,4,7,0,0,21.428571428571427,4.852205036957545
ALT00000046,TXN000111646,ACCT100007492,R005_RAPID_MVT,82,2022-10-16 00:53:53.589436,CASE0002400,MEDIUM,CLOSED_SAR_FILED,19.0,INV_04,1,CUST0006182,current,ACTIVE,89845.01,INR,1,US,,0-50k,2,0,0,0,84.7,316,BRANCH,224603.16999999998,12,18716.930833333332,155335.61,45216.73646419782,4,6,4,1,16.666666666666664,8.298759696417655
