STR_ID,ACCOUNT_ID,str_filed_date
STR0000001,ACCT100007304,2022-12-16 20:56:50.675259
STR0000002,ACCT100006382,2022-12-29 21:36:56.839868
STR0000003,ACCT100001681,2023-01-17 06:50:14.702773
STR0000004,ACCT100008089,2023-01-04 19:41:33.050565
STR0000005,ACCT100009939,2023-12-23 15:07:22.719244
STR0000006,ACCT100001130,2024-03-16 22:32:11.154035
STR0000007,ACCT100011342,2022-10-20 06:03:56.148017
STR0000008,ACCT100003267,2023-01-19 09:48:37.466846
STR0000009,ACCT100002823,2024-05-20 10:24:56.906088
STR0000010,ACCT100007089,2023-05-11 22:39:51.909956
STR0000011,ACCT100006338,2022-03-21 05:38:35.737888
STR0000012,ACCT100002126,2024-07-12 04:35:53.312839
STR0000013,ACCT100005170,2022-06-24 21:56:41.506082
STR0000014,ACCT100008565,2023-09-11 12:47:07.453820
STR0000015,ACCT100001682,2022-08-10 01:00:38.881610
STR0000016,ACCT100011985,2022-09-10 21:37:28.174812
STR0000017,ACCT100004978,2023-02-02 09:14:46.034796
STR0000018,ACCT100005999,2023-09-08 06:06:50.323414
STR0000019,ACCT100008148,2022-09-06 20:59:14.352980
STR0000020,ACCT100002671,2024-02-09 02:41:17.976264
STR0000021,ACCT100004116,2024-03-11 09:22:46.407303
STR0000022,ACCT100001233,2023-12-05 23:04:02.174643
STR0000023,ACCT100009105,2022-09-15 05:46:56.345409
STR0000024,ACCT100009374,2023-03-03 12:15:12.376848
STR0000025,ACCT100010541,2023-06-20 18:00:40.078612
STR0000026,ACCT100007193,2022-11-15 11:36:56.518148
STR0000027,ACCT100008920,2022-03-25 00:41:39.911595
STR0000028,ACCT100004353,2024-01-01 08:35:37.204944
STR0000029,ACCT100004696,2023-06-22 00:06:38.610424
STR0000030,ACCT100005978,2022-06-08 05:13:43.370510
STR0000031,ACCT100001728,2024-07-13 23:18:45.143719
STR0000032,ACCT100005550,2023-10-03 19:30:34.571090
STR0000033,ACCT100010029,2024-01-02 21:45:49.252493
STR0000034,ACCT100002471,2022-05-28 03:33:30.646974
STR0000035,ACCT100001697,2022-05-19 21:07:41.955867
STR0000036,ACCT100004962,2022-11-10 15:09:32.742175
STR0000037,ACCT100011633,2022-08-23 08:00:47.976823
STR0000038,ACCT100008767,2023-03-16 05:33:33.548028
