ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,ACCT_ALERT_COUNT,ALERT_HOUR,ALERT_IS_WEEKEND,RULE_RISK_PROFILE,FINAL_LABEL,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES,OPEN_DATE,EXPECTED_MONTHLY_TXN,ACCOUNT_RISK_RATING,NUM_LINKED_ACCOUNTS,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,YEARS_AS_CUSTOMER,NUM_PRODUCTS_HELD,FATF_HIGH_RISK_NATIONALITY,CDD_TIER,KYC_REVIEW_OVERDUE,SHELL_CO_INDICATOR,CORRESPONDENT_BANK_FLAG,ACCOUNT_AGE_DAYS,w7_vol,w7_cnt,w7_avg_amt,w7_max_amt,w7_std_amt,w30_vol,w30_cnt,w30_avg_amt,w30_max_amt,w30_std_amt,w90_vol,w90_cnt,w90_avg_amt,w90_max_amt,w90_std_amt,w365_vol,w365_cnt,w365_avg_amt,w365_max_amt,w365_std_amt,vol_spike_30_vs_90,cnt_spike_30_vs_90,vol_spike_7_vs_30,cnt_spike_7_vs_30,avg_spike_30_vs_90,counterparty_hhi,top_dest_concentration,pct_hr_dest_30d,pct_fatf_dest_30d,unique_dest_30d,structuring_txn_cnt,pct_just_below_10k,swift_cnt_30d,layering_score,velocity_per_hour_7d,txn_span_hours_7d,pass_through_ratio_30d,net_flow_30d,credit_vol_30d,debit_vol_30d,pct_offhour_txns_30d,pct_weekend_txns_30d,actual_vs_expected_vol,cash_intensity_30d,cash_intensity_7d,round_txn_cnt_30d,pct_round_txns_30d,KYC_STALE_FLAG,KYC_INCOMPLETE_FLAG,KYC_RISK_SCORE,COMBINED_RISK_FLAGS,IS_OFFSHORE_NAT,IS_HIGH_RISK_ACCT,IS_DORMANT,IS_NEW_ACCOUNT,IS_THIRD_PARTY_ONBOARD,HIGH_RISK_OCC,MULTI_SIGNATORY_RISK,LOG_BALANCE,LOG_W30_VOL,LOG_W90_VOL,LOG_W30_MAX,RISK_SCORE_BAND,BALANCE_TO_W30_AVG,BALANCE_TO_W90_VOL,COMBINED_ACCT_CUST_RISK,PEER_GROUP,zscore_vol_vs_peer,zscore_avg_vs_peer,zscore_cnt_vs_peer,ratio_vol_vs_peer,zscore_vol_vs_pop,zscore_avg_vs_pop,zscore_cnt_vs_pop
ALT00000009,TXN000119860,ACCT100005274,R003_LAYERING_SIGNAL,90,2023-11-06 18:46:08.759782,2,18,0,4,1,CUST0001615,SAVINGS,ACTIVE,17094.27,INR,1,2017-10-09,7618.91,4,1,SG,SHELL_CO,50K-100K,2,0,0,0,100.0,272,WEB,18,1,0,SIMPLIFIED,0,1,0,2219,0.0,0.0,0.0,0.0,0.0,18667.5,2.0,9333.75,14571.27,7406.971817200333,18667.5,2.0,9333.75,14571.27,7406.971817200333,54678.979999999996,5.0,10935.795999999998,21034.7,7261.033680202151,0.9999464338323915,0.6666666666666666,0.0,0.0,0.9998928734031441,0.5,0.5,50.0,50.0,2.0,0.0,0.0,1.0,2.0,0,0.0,0.2810975915214307,10475.04,14571.27,4096.23,0.0,33.33333333333333,2.4498320846309207,0.0,0.0,0.0,0.0,0,0,10.533333333333333,6,0,0,0,0,0,1,0,9.746557096040515,9.834592890512184,9.834592890512184,9.58687568664195,3,1.831250970834784,0.9156745319656105,2.8,SHELL_CO_50K-100K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000014,TXN000119102,ACCT100009511,R003_LAYERING_SIGNAL,77,2022-06-13 09:47:39.434662,1,9,0,4,1,CUST0002374,SALARY,ACTIVE,6042.0,INR,1,2021-01-02,19490.04,1,1,VG,SELF_EMPLOYED,0-50K,3,1,0,0,85.9,33,WEB,8,2,1,SIMPLIFIED,0,0,0,527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,15.189999999999998,9,1,0,0,0,0,0,0,8.706655856361559,0.0,0.0,0.0,2,6042.0,6042.0,2.2,SELF_EMPLOYED_0-50K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000020,TXN000119920,ACCT100004215,R004_MULE_SIGNAL,77,2024-03-14 10:40:52.621396,1,10,0,3,1,CUST0004490,SAVINGS,BLOCKED,13887.54,USD,1,2019-02-27,9390.83,5,1,IN,RETIRED,0-50K,4,0,0,0,96.5,307,MOBILE,2,2,0,SIMPLIFIED,0,0,0,1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.65,1.0,1341.65,1341.65,0.0,74627.72,7.0,10661.102857142858,34519.51,12525.107314635026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18.516666666666666,0,0,0,0,0,0,0,0,9.538819318632706,0.0,7.202400551985058,0.0,2,13887.54,10.343380627862809,4.4,RETIRED_0-50K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000023,TXN000118739,ACCT100010543,R005_RAPID_MVT,75,2022-09-13 19:37:08.726022,2,19,0,3,1,CUST0005223,SALARY,DORMANT,837.32,INR,1,2019-04-27,3358.99,3,2,CN,RETIRED,50K-100K,1,0,0,0,84.7,10,BRANCH,18,1,0,SIMPLIFIED,0,0,0,1235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21517.79,2.0,10758.895,19102.7,11799.922192796443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.286666666666665,0,0,0,1,0,0,0,0,6.731399889166687,0.0,0.0,0.0,2,837.32,837.32,1.8,RETIRED_50K-100K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000024,TXN000119454,ACCT100009849,R004_MULE_SIGNAL,86,2023-12-07 07:13:46.443383,1,7,0,3,1,CUST0006585,SALARY,ACTIVE,6615.33,INR,1,2020-07-24,4179.69,3,1,AE,BUSINESS_OWNER,100K-250K,4,0,0,0,82.6,40,BRANCH,2,3,0,SIMPLIFIED,0,0,0,1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10829.14,3.0,3609.713333333333,9575.8,5173.17036116474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.62666666666667,0,0,0,0,0,0,0,0,8.797296114540623,0.0,0.0,0.0,3,6615.33,6615.33,3.6,BUSINESS_OWNER_100K-250K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000025,TXN000118696,ACCT100000870,R002_STRUCTURING_SIGNAL,64,2023-09-03 14:26:14.512418,1,14,1,3,1,CUST0000037,SALARY,ACTIVE,16681.27,INR,2,2016-11-12,5833.4,3,4,IN,SALARIED,100K-250K,2,0,0,0,89.1,170,BRANCH,16,1,0,SIMPLIFIED,0,0,0,2486,0.0,0.0,0.0,0.0,0.0,20712.24,2.0,10356.12,13179.78,3993.258267530414,24591.08,4.0,6147.77,13179.78,5378.75336049163,51884.15,8.0,6485.51875,13179.78,4582.6246402765355,0.8422321332721754,0.4,0.0,0.0,1.6842588029801082,0.5,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20712.24,20712.24,0.0,0.0,33.33333333333333,3.550020567667627,0.0,0.0,0.0,0.0,0,0,13.193333333333335,0,0,0,0,0,0,0,1,9.722101757780278,9.93852838831448,10.110179718863522,9.486514986882028,1,1.6106089337576468,0.6783187920663888,2.4,SALARIED_100K-250K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000028,TXN000118731,ACCT100004768,R003_LAYERING_SIGNAL,91,2022-05-02 23:10:47.483546,1,23,0,4,1,CUST0006138,NRE,ACTIVE,1393213.32,INR,1,2018-02-12,1224449.6,6,4,IN,SALARIED,50K-100K,8,0,0,0,62.0,37,THIRD_PARTY,12,2,0,ENHANCED,0,0,0,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,39.81666666666667,0,0,0,0,0,1,0,0,14.147124095916709,0.0,0.0,0.0,4,1393213.32,1393213.32,7.2,SALARIED_50K-100K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000030,TXN000119783,ACCT100004992,R003_LAYERING_SIGNAL,82,2022-03-28 03:38:03.244550,1,3,0,4,1,CUST0004174,SHELL,ACTIVE,47810.5,INR,1,2020-08-31,260725.93,9,4,IN,SHELL_CO,UNKNOWN,3,0,0,1,85.4,143,WEB,6,4,0,SIMPLIFIED,0,1,0,574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,17.22333333333333,9,0,1,0,0,0,1,0,10.775021475317489,0.0,0.0,0.0,3,47810.5,47810.5,5.4,SHELL_CO_UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000032,TXN000119499,ACCT100001954,R002_STRUCTURING_SIGNAL,78,2022-04-24 01:09:44.410528,1,1,1,3,0,CUST0001307,SAVINGS,DORMANT,6206.87,INR,1,2017-05-02,21374.19,3,1,IN,SALARIED,0-50K,5,0,0,0,74.8,143,BRANCH,2,4,0,STANDARD,0,0,0,1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6074.92,1.0,6074.92,6074.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,27.463333333333335,0,0,0,1,0,0,0,0,8.733573120922145,0.0,0.0,0.0,2,6206.87,6206.87,4.2,SALARIED_0-50K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000034,TXN000119545,ACCT100006722,R005_RAPID_MVT,70,2023-02-25 05:30:46.737305,3,5,1,3,0,CUST0005237,CURRENT,ACTIVE,16204.41,INR,1,2021-11-11,9429.8,2,1,SG,SALARIED,100K-250K,5,0,0,0,83.2,106,BRANCH,3,1,0,STANDARD,0,0,0,471,0.0,0.0,0.0,0.0,0.0,2390.83,1.0,2390.83,2390.83,0.0,8271.33,2.0,4135.665,5880.5,2467.5693211032594,31150.64,5.0,6230.128,18344.55,7031.454208207573,0.28901530765818095,0.3333333333333333,0.0,0.0,0.5779607485740325,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2390.83,0.0,2390.83,0.0,50.0,0.25351295754336856,0.0,0.0,0.0,0.0,0,0,23.486666666666665,0,0,0,0,0,0,0,0,9.693100416088663,7.7798140423108,9.020671489569503,7.7798140423108,2,6.774900390077891,1.9588689039242873,3.8,SALARIED_100K-250K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
