ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,ACCT_ALERT_COUNT,ALERT_HOUR,ALERT_IS_WEEKEND,RULE_RISK_PROFILE,FINAL_LABEL,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES,OPEN_DATE,EXPECTED_MONTHLY_TXN,ACCOUNT_RISK_RATING,NUM_LINKED_ACCOUNTS,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,YEARS_AS_CUSTOMER,NUM_PRODUCTS_HELD,FATF_HIGH_RISK_NATIONALITY,CDD_TIER,KYC_REVIEW_OVERDUE,SHELL_CO_INDICATOR,CORRESPONDENT_BANK_FLAG,ACCOUNT_AGE_DAYS
ALT00000009,TXN000119860,ACCT100005274,R003_LAYERING_SIGNAL,90,2023-11-06 18:46:08.759782,2,18,0,4,1,CUST0001615, SAVINGS ,ACTIVE,17094.27,INR,1,2017-10-09,7618.91,4,1,SG,SHELL_CO,50k-100k,2,0,0,0,100.0,272,WEB,18,1,0,SIMPLIFIED,0,1,0,2219
ALT00000014,TXN000119102,ACCT100009511,R003_LAYERING_SIGNAL,77,2022-06-13 09:47:39.434662,1,9,0,4,1,CUST0002374,SALARY,ACTIVE,6042.0,INR,1,2021-01-02,19490.04,1,1,VG,SELF_EMPLOYED,0-50k,3,1,0,0,85.9,33,WEB,8,2,1,SIMPLIFIED,0,0,0,527
ALT00000020,TXN000119920,ACCT100004215,R004_MULE_SIGNAL,77,2024-03-14 10:40:52.621396,1,10,0,3,1,CUST0004490,SAVINGS,BLOCKED,13887.54,USD,1,2019-02-27,9390.83,5,1,IN,RETIRED,0-50k,4,0,0,0,96.5,307,MOBILE,2,2,0,SIMPLIFIED,0,0,0,1842
ALT00000023,TXN000118739,ACCT100010543,R005_RAPID_MVT,75,2022-09-13 19:37:08.726022,2,19,0,3,1,CUST0005223,SALARY,DORMANT,837.32,INR,1,2019-04-27,3358.99,3,2,CN,RETIRED,50k-100k,1,0,0,0,84.7,10,BRANCH,18,1,0,SIMPLIFIED,0,0,0,1235
ALT00000024,TXN000119454,ACCT100009849,R004_MULE_SIGNAL,86,2023-12-07 07:13:46.443383,1,7,0,3,1,CUST0006585,SALARY,ACTIVE,6615.33,INR,1,2020-07-24,4179.69,3,1,AE,BUSINESS_OWNER,100k-250k,4,0,0,0,82.6,40,BRANCH,2,3,0,SIMPLIFIED,0,0,0,1231
ALT00000025,TXN000118696,ACCT100000870,R002_STRUCTURING_SIGNAL,64,2023-09-03 14:26:14.512418,1,14,1,3,1,CUST0000037,SALARY,ACTIVE,16681.27,INR,2,2016-11-12,5833.4,3,4,IN,SALARIED,100k-250k,2,0,0,0,89.1,170,BRANCH,16,1,0,SIMPLIFIED,0,0,0,2486
ALT00000028,TXN000118731,ACCT100004768,R003_LAYERING_SIGNAL,91,2022-05-02 23:10:47.483546,1,23,0,4,1,CUST0006138,NRE,ACTIVE,1393213.32,INR,1,2018-02-12,1224449.6,6,4,IN,SALARIED,50k-100k,8,0,0,0,62.0,37,THIRD_PARTY,12,2,0,ENHANCED,0,0,0,1540
ALT00000030,TXN000119783,ACCT100004992,R003_LAYERING_SIGNAL,82,2022-03-28 03:38:03.244550,1,3,0,4,1,CUST0004174,SHELL,ACTIVE,47810.5,INR,1,2020-08-31,260725.93,9,4,IN,SHELL_CO,,3,0,0,1,85.4,143,WEB,6,4,0,SIMPLIFIED,0,1,0,574
ALT00000032,TXN000119499,ACCT100001954,R002_STRUCTURING_SIGNAL,78,2022-04-24 01:09:44.410528,1,1,1,3,0,CUST0001307,SAVINGS,DORMANT,6206.87,INR,1,2017-05-02,21374.19,3,1,IN,SALARIED,0-50k,5,0,0,0,74.8,143,BRANCH,2,4,0,STANDARD,0,0,0,1818
ALT00000034,TXN000119545,ACCT100006722,R005_RAPID_MVT,70,2023-02-25 05:30:46.737305,3,5,1,3,0,CUST0005237,CURRENT,ACTIVE,16204.41,INR,1,2021-11-11,9429.8,2,1,SG,SALARIED,100k-250k,5,0,0,0,83.2,106,BRANCH,3,1,0,STANDARD,0,0,0,471
