STR_ID,ACCOUNT_ID,str_filed_date,JURISDICTION,STR_CATEGORY
STR0000001,ACCT100004962,2023-02-09 23:02:31.034298,FinCEN,MULE
STR0000002,ACCT100004406,2022-10-19 07:56:02.350178,FIU-IND,MULE
STR0000003,ACCT100011637,2023-09-14 05:57:05.207571,FINTRAC,LAYERING
STR0000004,ACCT100003092,2022-08-17 22:08:59.604794,FIU-IND,FRAUD
STR0000005,ACCT100007056,2022-02-23 18:48:07.344243,FinCEN,STRUCTURING
STR0000006,ACCT100001664,2022-05-21 02:53:35.809372,FIU-IND,FRAUD
STR0000007,ACCT100003339,2022-10-26 00:25:03.480181,FINTRAC,FRAUD
STR0000008,ACCT100010154,2022-04-22 23:37:30.995171,FIU-IND,LAYERING
STR0000009,ACCT100003576,2022-06-25 18:11:51.329373,FinCEN,FRAUD
STR0000010,ACCT100005240,2022-11-09 11:16:37.699739,FIU-IND,STRUCTURING
STR0000011,ACCT100006886,2023-01-05 22:30:04.600423,FIU-IND,MULE
STR0000012,ACCT100009582,2023-06-22 19:13:39.448047,FIU-IND,STRUCTURING
STR0000013,ACCT100011035,2023-07-17 11:32:50.360003,FIU-IND,MULE
STR0000014,ACCT100001824,2023-06-22 09:06:10.051607,FIU-IND,LAYERING
STR0000015,ACCT100004692,2022-09-15 05:43:06.009753,FinCEN,MULE
STR0000016,ACCT100002558,2022-07-02 02:09:24.271806,FIU-IND,MULE
STR0000017,ACCT100006663,2023-09-25 17:38:19.069172,FIU-IND,STRUCTURING
STR0000018,ACCT100000400,2024-05-31 12:07:39.006106,FIU-IND,STRUCTURING
STR0000019,ACCT100000045,2022-03-03 02:40:05.221963,FIU-IND,STRUCTURING
STR0000020,ACCT100000854,2024-05-21 18:31:34.195936,FINTRAC,STRUCTURING
STR0000021,ACCT100002149,2023-06-05 21:13:24.797681,FIU-IND,FRAUD
STR0000022,ACCT100011972,2022-09-02 04:16:34.640179,FIU-IND,STRUCTURING
STR0000023,ACCT100006838,2022-05-16 09:00:40.231421,FinCEN,MULE
STR0000024,ACCT100003071,2023-04-07 14:56:10.094280,FinCEN,LAYERING
STR0000025,ACCT100001706,2023-09-20 12:48:40.349729,FinCEN,LAYERING
STR0000026,ACCT100006233,2023-10-27 02:28:21.981600,FinCEN,LAYERING
STR0000027,ACCT100011315,2022-12-15 19:42:33.439415,FinCEN,LAYERING
STR0000028,ACCT100009552,2022-04-25 03:59:53.883862,FIU-IND,STRUCTURING
STR0000029,ACCT100009975,2022-03-08 14:44:19.227687,FIU-IND,LAYERING
STR0000030,ACCT100011024,2022-03-04 16:47:02.270445,FIU-IND,FRAUD
STR0000031,ACCT100000235,2022-06-29 05:33:23.201032,AUSTRAC,LAYERING
STR0000032,ACCT100001094,2023-07-27 14:09:35.621287,FinCEN,FRAUD
STR0000033,ACCT100006672,2023-01-22 08:14:09.030993,FinCEN,FRAUD
STR0000034,ACCT100005453,2023-05-15 08:42:33.117160,FIU-IND,OTHER
STR0000035,ACCT100010704,2022-12-16 01:36:46.502083,FinCEN,FRAUD
STR0000036,ACCT100004276,2023-06-13 06:29:52.124472,FinCEN,FRAUD
STR0000037,ACCT100003238,2023-06-09 01:41:32.717702,FIU-IND,FRAUD
STR0000038,ACCT100002481,2022-02-05 18:38:17.368746,FIU-IND,OTHER
STR0000039,ACCT100002936,2023-08-04 09:58:20.305493,FIU-IND,MULE
STR0000040,ACCT100006808,2022-07-09 00:11:40.200700,FinCEN,FRAUD
STR0000041,ACCT100011879,2023-02-22 16:24:23.898646,FIU-IND,STRUCTURING
STR0000042,ACCT100004982,2023-01-02 15:59:50.246774,FinCEN,FRAUD
STR0000043,ACCT100004836,2023-07-13 21:53:49.664290,FINTRAC,STRUCTURING
STR0000044,ACCT100009458,2023-02-26 08:18:33.247326,FinCEN,LAYERING
STR0000045,ACCT100008088,2022-05-12 15:26:11.082068,FIU-IND,FRAUD
STR0000046,ACCT100006359,2022-07-09 01:26:03.008273,FINTRAC,LAYERING
STR0000047,ACCT100009452,2024-06-27 14:13:34.963467,FIU-IND,STRUCTURING
STR0000048,ACCT100001323,2022-02-23 18:49:37.867787,FIU-IND,FRAUD
STR0000049,ACCT100000120,2023-11-08 14:23:45.009041,FIU-IND,MULE
STR0000050,ACCT100011652,2022-05-18 05:00:45.107910,FINTRAC,FRAUD
STR0000051,ACCT100008730,2022-04-05 15:11:26.566682,FIU-IND,STRUCTURING
STR0000052,ACCT100004618,2022-12-11 11:29:19.373785,FIU-IND,LAYERING
STR0000053,ACCT100006103,2022-02-12 10:22:18.754332,FinCEN,OTHER
STR0000054,ACCT100009228,2022-09-01 02:31:02.494922,FIU-IND,LAYERING
STR0000055,ACCT100008336,2023-09-25 14:18:54.137969,FIU-IND,MULE
STR0000056,ACCT100000324,2023-06-04 14:34:20.313095,FinCEN,FRAUD
STR0000057,ACCT100009400,2023-09-23 12:50:00.097986,FinCEN,STRUCTURING
STR0000058,ACCT100009337,2022-07-02 09:38:51.953327,FinCEN,LAYERING
STR0000059,ACCT100011415,2023-07-08 20:18:19.946464,FIU-IND,STRUCTURING
STR0000060,ACCT100000758,2022-09-25 01:14:14.581424,AUSTRAC,LAYERING
STR0000061,ACCT100001183,2023-10-05 06:15:16.557374,FIU-IND,FRAUD
STR0000062,ACCT100003415,2022-12-31 16:07:54.884804,AUSTRAC,MULE
STR0000063,ACCT100010532,2022-08-07 12:08:55.225891,FIU-IND,MULE
STR0000064,ACCT100000712,2022-04-06 04:10:05.752686,FIU-IND,OTHER
STR0000065,ACCT100008311,2023-06-10 11:21:45.997844,FIU-IND,STRUCTURING
STR0000066,ACCT100005027,2023-10-10 21:32:18.711645,FIU-IND,MULE
STR0000067,ACCT100004547,2024-08-26 21:07:57.202125,FinCEN,STRUCTURING
STR0000068,ACCT100005811,2022-05-17 17:51:08.573642,FIU-IND,LAYERING
STR0000069,ACCT100010461,2023-02-03 20:01:41.626586,FIU-IND,LAYERING
