Threshold,TP,TN,FP,FN,Event Loss %,Suppression Rate %,Precision,Recall
0.1,97,170,1414,4,3.96,10.33,0.0642,0.9604
0.15,92,408,1176,9,8.91,24.75,0.0726,0.9109
0.2,86,657,927,15,14.85,39.88,0.0849,0.8515
0.25,74,903,681,27,26.73,55.19,0.098,0.7327
0.3,63,1195,389,38,37.62,73.18,0.1394,0.6238
0.35,49,1413,171,52,51.49,86.94,0.2227,0.4851
0.4,44,1534,50,57,56.44,94.42,0.4681,0.4356
0.45,44,1574,10,57,56.44,96.8,0.8148,0.4356
0.5,43,1579,5,58,57.43,97.15,0.8958,0.4257
0.55,43,1579,5,58,57.43,97.15,0.8958,0.4257
0.6,43,1579,5,58,57.43,97.15,0.8958,0.4257
0.65,43,1579,5,58,57.43,97.15,0.8958,0.4257
0.7,41,1579,5,60,59.41,97.27,0.8913,0.4059
0.75,38,1579,5,63,62.38,97.45,0.8837,0.3762
0.8,28,1579,5,73,72.28,98.04,0.8485,0.2772
0.85,22,1581,3,79,78.22,98.52,0.88,0.2178
0.9,9,1583,1,92,91.09,99.41,0.9,0.0891
