Threshold,TP,TN,FP,FN,Event Loss %,Suppression Rate %,Precision,Recall
0.1,32,176,56,13,28.89,68.23,0.3636,0.7111
0.15,29,187,45,16,35.56,73.29,0.3919,0.6444
0.2,29,201,31,16,35.56,78.34,0.4833,0.6444
0.25,29,209,23,16,35.56,81.23,0.5577,0.6444
0.3,29,214,18,16,35.56,83.03,0.617,0.6444
0.35,27,217,15,18,40.0,84.84,0.6429,0.6
0.4,26,218,14,19,42.22,85.56,0.65,0.5778
0.45,25,220,12,20,44.44,86.64,0.6757,0.5556
0.5,25,222,10,20,44.44,87.36,0.7143,0.5556
0.55,25,222,10,20,44.44,87.36,0.7143,0.5556
0.6,24,224,8,21,46.67,88.45,0.75,0.5333
0.65,23,225,7,22,48.89,89.17,0.7667,0.5111
0.7,22,226,6,23,51.11,89.89,0.7857,0.4889
0.75,22,226,6,23,51.11,89.89,0.7857,0.4889
0.8,18,227,5,27,60.0,91.7,0.7826,0.4
0.85,15,230,2,30,66.67,93.86,0.8824,0.3333
0.9,11,230,2,34,75.56,95.31,0.8462,0.2444
