ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES,EXPECTED_MONTHLY_TXN,ACCOUNT_RISK_RATING,NUM_LINKED_ACCOUNTS,DEBIT_CARD_ISSUED,INTERNET_BANKING
ACCT100000001,CUST0002108,NRO,DORMANT,2013-11-06,61451.47,INR,2,80314.09,4,3,1,1
ACCT100000002,CUST0007582,NRE,ACTIVE,2021-11-23,1524760.28,INR,1,50038.99,6,1,1,1
ACCT100000003,CUST0005517,SAVINGS,ACTIVE,2021-01-22,5535.75,USD,1,19055.02,5,1,1,1
ACCT100000004,CUST0000148,NRO,ACTIVE,2014-06-13,429631.01,INR,1,75323.97,4,2,1,1
ACCT100000005,CUST0007624,CURRENT,ACTIVE,2017-02-22,310474.66,INR,1,26422.3,3,4,1,0
ACCT100000006,CUST0001672,TRUST,DORMANT,2020-01-09,252771.71,INR,2,133073.48,9,2,1,1
ACCT100000007,CUST0005603,NRE,ACTIVE,2015-01-15,36283.22,INR,1,157268.97,7,2,1,1
ACCT100000008,CUST0006220,SAVINGS,ACTIVE,2013-03-19,1223.67,INR,1,50311.88,5,4,1,0
ACCT100000009,CUST0001429,CURRENT,DORMANT,2017-11-26,820624.85,INR,1,587746.22,4,1,0,0
ACCT100000010,CUST0006285,CURRENT,ACTIVE,2021-07-25,217755.81,INR,2,11946.95,1,1,1,0
ACCT100000011,CUST0005878,SALARY,ACTIVE,2018-06-30,21813.7,USD,2,3707.9,1,2,1,1
ACCT100000012,CUST0005150,CURRENT,ACTIVE,2012-02-13,7928.09,INR,1,5820.57,4,3,1,1
ACCT100000013,CUST0000478,SAVINGS,ACTIVE,2021-09-18,146644.46,INR,3,36923.94,5,1,1,1
ACCT100000014,CUST0007729,NRE,ACTIVE,2017-02-27,141252.75,GBP,2,63076.74,4,2,1,0
ACCT100000015,CUST0005306,SALARY,ACTIVE,2013-06-16,11217.08,USD,1,36313.12,5,2,1,0
ACCT100000016,CUST0005934,NRE,ACTIVE,2018-11-01,4273183.49,INR,2,205685.39,5,2,1,1
ACCT100000017,CUST0004098,SALARY,ACTIVE,2021-01-04,17563.4,AED,3,1066.41,3,1,0,1
ACCT100000018,CUST0000915,SALARY,ACTIVE,2013-10-05,54196.77,INR,1,8167.21,1,1,1,1
ACCT100000019,CUST0003867,SAVINGS,ACTIVE,2018-01-04,2010.95,USD,2,6080.48,4,3,1,1
ACCT100000020,CUST0001159,SAVINGS,ACTIVE,2013-04-09,13106.36,INR,1,40717.51,1,3,1,1
ACCT100000021,CUST0002738,NRE,ACTIVE,2018-08-28,82232.58,INR,2,5637.28,5,1,1,1
ACCT100000022,CUST0005339,NRO,DORMANT,2015-12-11,55154.95,SGD,1,14388.25,6,1,1,1
ACCT100000023,CUST0001333,CURRENT,BLOCKED,2016-03-12,55068.01,SGD,1,59366.11,4,1,1,1
ACCT100000024,CUST0007242,SHELL,ACTIVE,2016-11-15,1225291.1,USD,1,238712.86,10,3,1,0
ACCT100000025,CUST0001833,SAVINGS,BLOCKED,2012-10-11,18777.52,INR,2,3339.53,2,3,1,1
ACCT100000026,CUST0005260,SALARY,CLOSED,2020-07-25,9483.71,SGD,1,1743.86,1,2,1,1
ACCT100000027,CUST0006545,SALARY,ACTIVE,2014-05-08,7069.62,INR,1,8990.38,3,1,1,1
ACCT100000028,CUST0004040,SALARY,ACTIVE,2012-05-04,43865.07,USD,1,6327.6,1,3,1,1
ACCT100000029,CUST0007992,CURRENT,ACTIVE,2014-09-21,221168.05,USD,1,19866.81,2,1,1,1
ACCT100000030,CUST0003661,SAVINGS,DORMANT,2012-09-12,8932.5,INR,1,63624.55,3,1,0,1
ACCT100000031,CUST0004216,CURRENT,ACTIVE,2013-10-15,1525141.38,INR,1,20235.33,3,3,0,1
ACCT100000032,CUST0006677,SAVINGS,ACTIVE,2015-12-01,247.09,INR,1,13428.39,1,3,1,1
ACCT100000033,CUST0007676,SAVINGS,ACTIVE,2018-09-04,34662.85,INR,1,4369.91,3,1,1,1
ACCT100000034,CUST0002889,SALARY,ACTIVE,2016-11-25,882.2,INR,1,4665.99,1,1,1,1
ACCT100000035,CUST0003813,SHELL,DORMANT,2012-12-20,2973500.74,INR,1,131147.69,8,4,0,1
ACCT100000036,CUST0006414,SALARY,ACTIVE,2019-06-26,170973.57,INR,2,993.36,5,2,1,1
ACCT100000037,CUST0007532,SAVINGS,ACTIVE,2013-06-05,40443.94,GBP,2,14168.95,2,1,1,1
ACCT100000038,CUST0004118,CURRENT,ACTIVE,2019-10-28,818281.09,AED,3,33563.24,4,1,1,1
ACCT100000039,CUST0001929,SALARY,CLOSED,2018-06-03,16655.1,INR,1,4503.65,2,5,0,1
ACCT100000040,CUST0005126,SALARY,ACTIVE,2017-09-28,139448.49,USD,2,4321.43,5,3,1,1
ACCT100000041,CUST0002170,nre,ACTIVE,2018-04-08,67699.21,INR,1,16695.41,5,3,1,1
ACCT100000042,CUST0007852,SAVINGS,ACTIVE,2021-01-26,6848.28,SGD,2,3636.88,1,1,1,1
ACCT100000043,CUST0002038,CURRENT,ACTIVE,2019-12-16,58554.79,INR,1,9968.35,3,2,0,1
ACCT100000044,CUST0001040,CURRENT,ACTIVE,2014-07-05,1294270.04,AED,1,2213.31,1,1,1,1
ACCT100000045,CUST0001762,SAVINGS,ACTIVE,2018-04-02,65031.91,USD,1,60272.27,1,1,1,1
ACCT100000046,CUST0002348,SAVINGS,CLOSED,2014-11-08,877.97,AED,3,4882.84,3,1,1,1
ACCT100000047,CUST0002845,TRUST,ACTIVE,2021-09-26,1622012.78,INR,2,97017.81,10,2,1,1
ACCT100000048,CUST0004629,CURRENT,ACTIVE,2016-06-14,307731.83,INR,1,84423.35,3,3,1,1
