ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,ACCT_ALERT_COUNT,ALERT_HOUR,ALERT_IS_WEEKEND,RULE_RISK_PROFILE
ALT00000001,TXN000119792,ACCT100006188,R002_STRUCTURING_SIGNAL,70,2022-06-03 09:29:47.193159,1,9,0,3
ALT00000002,TXN000119144,ACCT100009370,R005_RAPID_MVT,71,2023-12-17 00:13:17.521514,1,0,1,3
ALT00000003,TXN000119070,ACCT100000353,R004_MULE_SIGNAL,86,2022-06-10 09:45:24.498352,1,9,0,3
ALT00000004,TXN000118363,ACCT100008783,R002_STRUCTURING_SIGNAL,66,2022-01-15 23:20:33.146267,1,23,1,3
ALT00000005,TXN000119472,ACCT100011429,R004_MULE_SIGNAL,70,2023-02-05 11:22:39.912372,3,11,1,3
ALT00000006,TXN000118271,ACCT100005420,R005_RAPID_MVT,86,2022-11-17 11:59:07.352722,1,11,0,3
ALT00000007,TXN000118448,ACCT100007055,R002_STRUCTURING_SIGNAL,74,2024-01-05 10:03:02.051232,2,10,0,3
ALT00000008,TXN000118523,ACCT100001227,R002_STRUCTURING_SIGNAL,72,2023-06-24 05:12:32.290504,3,5,1,3
ALT00000009,TXN000119860,ACCT100007594,R004_MULE_SIGNAL,80,2022-03-19 15:21:54.520906,2,15,1,3
ALT00000010,TXN000119205,ACCT100003029,R003_LAYERING_SIGNAL,90,2022-08-18 19:28:45.288630,1,19,0,4
ALT00000011,TXN000119863,ACCT100008700,R005_RAPID_MVT,70,2022-11-28 09:48:01.568230,1,9,0,3
ALT00000012,TXN000119110,ACCT100009812,R002_STRUCTURING_SIGNAL,65,2023-04-01 02:43:48.725514,1,2,1,3
ALT00000013,TXN000119426,ACCT100002099,R002_STRUCTURING_SIGNAL,72,2023-12-06 19:46:42.479476,1,19,0,3
ALT00000014,TXN000119102,ACCT100004820,R003_LAYERING_SIGNAL,77,2022-04-24 02:26:45.004951,2,2,1,4
ALT00000015,TXN000118792,ACCT100003312,R004_MULE_SIGNAL,67,2024-04-12 01:34:06.573348,1,1,0,3
ALT00000016,TXN000119474,ACCT100004730,R003_LAYERING_SIGNAL,80,2022-07-08 23:37:13.018866,2,23,0,4
ALT00000017,TXN000118755,ACCT100001016,R004_MULE_SIGNAL,77,2023-07-25 02:19:27.265013,2,2,0,3
ALT00000018,TXN000119262,ACCT100007700,R004_MULE_SIGNAL,69,2022-05-13 13:30:49.410305,2,13,0,3
