CUSTOMER_ID,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,YEARS_AS_CUSTOMER,NUM_PRODUCTS_HELD,FATF_HIGH_RISK_NATIONALITY,IS_ACTIVE,CDD_TIER,KYC_REVIEW_OVERDUE,LAST_TRANSACTION_DAYS_AGO,CORRESPONDENT_BANK_FLAG,SHELL_CO_INDICATOR
CUST0000001,IN,BUSINESS_OWNER,50k-100k,2,0,0,0,85.6,153,BRANCH,1,1,0,1,SIMPLIFIED,0,315,0,0
CUST0000002,IN,BUSINESS_OWNER,0-50k,9,0,1,1,77.6,179,BRANCH,14,3,0,1,ENHANCED,0,167,0,0
CUST0000003,US,SALARIED,50k-100k,5,0,0,0,86.2,43,THIRD_PARTY,14,2,0,1,STANDARD,0,342,0,0
CUST0000004,IN,POLITICIAN,100k-250k,4,0,0,0,72.2,162,MOBILE,11,2,0,1,SIMPLIFIED,0,398,0,0
CUST0000005,NG,SELF_EMPLOYED,100k-250k,1,0,0,0,89.0,122,BRANCH,10,3,1,1,SIMPLIFIED,0,437,1,0
CUST0000006,IN,SALARIED,0-50k,1,0,0,0,100.0,87,WEB,4,2,0,1,SIMPLIFIED,0,126,1,0
CUST0000007,US,BUSINESS_OWNER,0-50k,1,0,0,0,100.0,393,BRANCH,8,3,0,1,SIMPLIFIED,1,194,0,0
CUST0000008,IN,SALARIED,50k-100k,7,0,0,0,60.9,318,MOBILE,11,5,0,1,STANDARD,0,574,0,0
CUST0000009,US,BUSINESS_OWNER,,4,0,0,0,89.6,14,WEB,1,1,0,1,SIMPLIFIED,0,378,0,0
CUST0000010,IN,SALARIED,,5,0,0,0,82.1,764,THIRD_PARTY,2,1,0,1,STANDARD,1,679,0,0
CUST0000011,IN,RETIRED,0-50k,1,0,0,0,80.5,47,BRANCH,5,4,0,1,SIMPLIFIED,0,310,0,0
CUST0000012,IN,SELF_EMPLOYED,100k-250k,9,0,0,0,60.8,43,BRANCH,19,3,0,1,ENHANCED,0,351,0,0
CUST0000013,IN,BUSINESS_OWNER,50k-100k,6,1,0,0,74.9,518,MOBILE,18,1,0,1,STANDARD,1,72,0,0
CUST0000014,NG,SALARIED,,2,0,0,0,92.4,105,BRANCH,7,1,1,1,SIMPLIFIED,0,446,0,0
CUST0000015,IN,BUSINESS_OWNER,100k-250k,1,0,0,0,85.4,294,BRANCH,16,4,0,1,SIMPLIFIED,0,60,0,0
CUST0000016,US,BUSINESS_OWNER,50k-100k,1,0,0,0,89.9,61,MOBILE,8,2,0,1,SIMPLIFIED,0,341,1,0
CUST0000017,NG,SELF_EMPLOYED,,2,0,0,0,87.0,371,BRANCH,0,4,1,1,SIMPLIFIED,1,577,0,0
CUST0000018,GB,BUSINESS_OWNER,100k-250k,3,0,0,0,83.7,321,WEB,12,4,0,1,SIMPLIFIED,0,556,0,0
CUST0000019,NG,SELF_EMPLOYED,50k-100k,3,0,0,1,83.8,131,MOBILE,17,1,1,1,SIMPLIFIED,0,633,0,0
CUST0000020,VG,STUDENT,0-50k,2,1,1,0,90.9,219,MOBILE,19,5,1,1,SIMPLIFIED,0,223,0,0
CUST0000021,US,SELF_EMPLOYED,,4,0,0,0,86.5,598,WEB,19,3,0,1,SIMPLIFIED,1,330,0,0
CUST0000022,SG,RETIRED,0-50k,1,0,0,0,100.0,108,MOBILE,11,4,0,1,SIMPLIFIED,0,503,1,0
CUST0000023,IN,RETIRED,250k+,2,0,0,0,99.0,122,WEB,11,3,0,1,SIMPLIFIED,0,25,0,0
