ACCOUNT_ID,str_filed_date
ACCT100005213,2022-07-26 09:03:41.610573
ACCT100010310,2022-04-01 14:27:43.046489
ACCT100006610,2022-05-09 20:23:01.122310
ACCT100001321,2024-04-28 12:42:26.653400
ACCT100002112,2022-11-05 10:11:03.713868
ACCT100005278,2022-08-16 16:20:18.595068
ACCT100002977,2023-10-03 04:22:14.785242
ACCT100010034,2022-02-14 18:07:21.092814
ACCT100007170,2023-09-13 04:24:06.427783
ACCT100009202,2023-07-21 16:38:43.636706
ACCT100005376,2023-10-23 14:53:48.392398
ACCT100001403,2022-08-17 21:00:31.267254
ACCT100002794,2022-03-04 11:05:19.081257
ACCT100009437,2023-07-03 07:13:30.687229
ACCT100001095,2022-05-02 07:54:30.623816
ACCT100001687,2022-04-11 06:20:53.519678
ACCT100011095,2022-10-17 03:02:25.841696
ACCT100005337,2023-06-13 09:36:08.719927
ACCT100001196,2022-09-01 04:47:36.266358
ACCT100001981,2023-01-10 16:37:39.168141
ACCT100009570,2022-03-23 07:57:57.367726
ACCT100001007,2023-04-06 22:49:14.990208
ACCT100006351,2022-05-14 01:34:34.805203
ACCT100004910,2022-02-21 19:46:39.562225
ACCT100009530,2022-03-26 04:54:49.479196
ACCT100005619,2024-04-27 23:00:18.382395
ACCT100004720,2023-02-16 02:58:13.089585
ACCT100002047,2022-03-08 22:04:36.907997
ACCT100002016,2023-06-01 19:12:10.166196
ACCT100011483,2024-04-25 20:54:57.899584
ACCT100005790,2023-05-19 08:12:35.189288
ACCT100008896,2023-02-11 05:45:23.496427
ACCT100011230,2023-04-02 10:54:55.646068
ACCT100001019,2023-02-06 02:43:46.027889
ACCT100006998,2023-11-14 00:35:37.522757
ACCT100004857,2024-04-10 09:17:22.942971
ACCT100008944,2022-10-31 05:53:56.662706
ACCT100002283,2023-05-02 06:19:15.593419
ACCT100004003,2022-11-12 11:34:44.938068
ACCT100001277,2022-05-31 21:20:53.711384
ACCT100004709,2022-11-09 13:21:03.958362
ACCT100008215,2022-10-14 18:18:52.837122
ACCT100001278,2024-06-13 18:28:50.984215
ACCT100008296,2023-03-27 21:01:00.851780
ACCT100011310,2023-05-05 03:49:26.486724
ACCT100010780,2023-09-19 20:54:14.348886
ACCT100008422,2024-06-23 06:14:45.001844
ACCT100000580,2022-05-03 03:02:40.355099
ACCT100011665,2023-08-23 20:49:48.373188
ACCT100000866,2023-06-08 20:33:20.588545
ACCT100002017,2022-07-06 02:06:24.630348
ACCT100011770,2024-06-10 22:38:54.458184
ACCT100007292,2023-03-13 02:01:26.229586
ACCT100003579,2023-07-21 21:41:10.545954
ACCT100001845,2023-06-29 12:11:26.117442
ACCT100011400,2023-10-23 07:26:37.989327
ACCT100002690,2023-12-18 10:40:30.772491
ACCT100006779,2024-03-08 17:12:41.816177
ACCT100009603,2022-06-18 05:53:23.786537
ACCT100009633,2023-07-26 19:39:06.578975
ACCT100007778,2022-08-22 06:35:56.037374
ACCT100005876,2024-05-25 11:45:45.530723
ACCT100003447,2022-07-31 15:03:44.149117
ACCT100011066,2022-11-12 21:19:38.148220
ACCT100009560,2023-01-13 03:10:43.759676
ACCT100000301,2023-07-14 00:41:34.248178
ACCT100000619,2022-02-19 18:45:42.010025
ACCT100005155,2024-03-11 01:09:52.998773
ACCT100008256,2024-01-24 15:33:07.918375
ACCT100002814,2023-10-26 10:25:56.823628
ACCT100008562,2022-05-15 12:42:07.812282
ACCT100009937,2022-06-29 17:28:35.904109
ACCT100010516,2022-03-04 00:00:54.585473
ACCT100010376,2022-06-16 09:42:59.658833
ACCT100011429,2022-12-05 16:35:12.894358
ACCT100001618,2022-02-06 20:44:15.029417
ACCT100005345,2023-03-01 19:21:52.127296
ACCT100003128,2023-03-16 17:22:05.904485
ACCT100000026,2022-08-17 09:29:17.963106
ACCT100004193,2022-04-02 10:07:06.401775
ACCT100005577,2023-04-20 20:51:55.541939
ACCT100006619,2022-07-05 22:11:38.439240
ACCT100004656,2024-06-22 23:22:09.260065
ACCT100011223,2022-09-13 16:57:06.186578
ACCT100005757,2022-01-12 14:24:19.478077
ACCT100008595,2023-05-06 19:59:45.570628
ACCT100001392,2023-03-04 02:55:54.448976
ACCT100010028,2023-07-11 18:21:59.007274
ACCT100003926,2024-06-09 05:49:41.684988
ACCT100000196,2023-01-01 08:50:22.348425
ACCT100004130,2022-08-07 19:22:00.570244
ACCT100005955,2022-03-16 23:33:08.746257
ACCT100002127,2022-03-01 14:42:47.202918
ACCT100001784,2023-01-03 15:28:02.213702
ACCT100006881,2022-05-29 05:43:40.359799
ACCT100003571,2022-05-16 09:14:14.672162
ACCT100010500,2023-03-31 07:24:59.691546
ACCT100007872,2022-03-28 12:24:20.742809
ACCT100006414,2023-01-03 07:09:40.450142
ACCT100004752,2022-12-16 14:12:31.468649
ACCT100009662,2023-05-29 17:18:28.934820
ACCT100001659,2022-11-21 14:44:59.105364
ACCT100006798,2022-06-03 09:12:53.424901
ACCT100001891,2022-05-02 07:36:50.676921
ACCT100005833,2022-04-24 09:06:09.318976
ACCT100004557,2023-08-05 09:01:25.790439
ACCT100007847,2023-05-20 22:54:10.480511
ACCT100002670,2024-03-24 19:56:58.144079
ACCT100002296,2023-12-01 10:07:27.701916
ACCT100009574,2023-01-04 20:51:18.480378
ACCT100008921,2022-04-04 18:43:15.907162
ACCT100006036,2023-07-07 10:01:22.830815
ACCT100000365,2023-09-12 03:00:21.720502
ACCT100004279,2023-10-15 17:23:56.576003
ACCT100008774,2023-10-07 22:03:11.785502
ACCT100009237,2024-07-19 16:42:15.240845
ACCT100001965,2022-06-15 01:10:34.639779
ACCT100000561,2022-06-25 16:09:42.828606
ACCT100007361,2022-02-04 17:01:42.691742
ACCT100011407,2023-04-04 10:57:57.283938
ACCT100007757,2022-09-13 18:27:07.784604
ACCT100010416,2022-07-15 18:50:15.960362
ACCT100008572,2023-05-05 20:37:17.824781
ACCT100009196,2023-01-06 00:10:05.309661
ACCT100006948,2023-06-05 09:20:34.982160
ACCT100007530,2022-02-13 19:58:31.757800
ACCT100008508,2022-10-29 23:38:58.198447
ACCT100001347,2022-05-22 02:37:22.076105
ACCT100006141,2022-05-12 01:52:00.231464
ACCT100001461,2022-11-17 22:57:37.581784
ACCT100003748,2022-12-02 22:08:36.603391
ACCT100007988,2024-02-19 19:00:39.034279
ACCT100008728,2023-03-25 22:03:25.854745
ACCT100006315,2022-05-24 06:14:24.064750
ACCT100011970,2022-06-22 04:27:05.247128
ACCT100004358,2022-03-26 21:25:10.095523
ACCT100010962,2024-04-09 10:31:12.094809
ACCT100008731,2023-06-30 18:22:14.321024
ACCT100005670,2024-06-01 03:46:16.691542
ACCT100011093,2022-04-25 05:57:55.098785
ACCT100008836,2022-06-20 06:43:44.747459
ACCT100010073,2024-05-18 10:45:29.345286
ACCT100009753,2022-06-06 11:02:35.191952
ACCT100008788,2024-01-13 00:37:04.680484
ACCT100005271,2022-07-21 22:10:05.129473
ACCT100011442,2022-07-05 01:52:32.167820
ACCT100003868,2022-06-17 23:17:21.134721
ACCT100003463,2024-08-01 19:57:00.480471
ACCT100000673,2023-02-20 10:15:05.195452
ACCT100002121,2022-09-08 05:44:10.012867
ACCT100004423,2024-08-07 10:56:18.737947
ACCT100011656,2024-03-01 05:22:57.841108
ACCT100011496,2022-07-02 06:01:48.318022
ACCT100008492,2022-09-21 07:54:37.079138
ACCT100010553,2022-02-13 20:17:44.603949
ACCT100011890,2024-04-15 21:15:16.669988
ACCT100000871,2024-04-22 09:33:29.472914
ACCT100006398,2023-03-09 10:32:44.588834
ACCT100003015,2023-01-19 05:18:36.265647
ACCT100011491,2023-03-05 20:17:21.937117
ACCT100005772,2023-09-21 11:46:42.519312
ACCT100004527,2022-08-24 07:18:32.654573
ACCT100010639,2023-12-07 05:27:19.096215
ACCT100011233,2022-12-29 04:09:53.089154
ACCT100003279,2023-07-11 04:30:56.223908
ACCT100006245,2024-02-13 20:49:54.071465
ACCT100009228,2022-08-08 02:31:02.494922
ACCT100006854,2022-07-18 07:36:24.766638
ACCT100010705,2022-05-31 15:31:23.592882
ACCT100003502,2023-03-01 21:28:17.285446
ACCT100006292,2023-05-14 09:03:44.723679
ACCT100003031,2024-01-04 13:28:15.227112
ACCT100008168,2024-06-03 09:09:31.822375
ACCT100001670,2023-11-06 03:25:40.103643
ACCT100009320,2023-01-25 14:08:23.834365
ACCT100011896,2022-10-22 23:37:30.357876
ACCT100005249,2022-02-20 10:45:57.910642
ACCT100005872,2023-11-24 23:03:36.557975
ACCT100000513,2022-08-21 23:37:55.163865
ACCT100009528,2022-04-20 16:23:35.771134
ACCT100010909,2022-03-16 02:52:29.861848
ACCT100007783,2022-04-09 23:47:39.206334
ACCT100010613,2023-04-03 02:29:22.946702
ACCT100005793,2022-07-30 02:43:47.816641
ACCT100011232,2022-10-23 09:25:15.792968
ACCT100000900,2024-06-18 11:21:31.937998
ACCT100010877,2023-03-18 04:28:41.422061
ACCT100004360,2023-09-22 19:12:39.814254
ACCT100001287,2023-01-03 03:10:07.206028
ACCT100005551,2023-11-04 15:19:52.179551
ACCT100010185,2023-01-23 00:59:52.875223
ACCT100009236,2022-11-03 06:19:43.455388
ACCT100006285,2022-03-18 22:11:16.142172
ACCT100001996,2023-06-18 15:53:20.110310
ACCT100006224,2023-09-21 01:04:39.157683
ACCT100004136,2024-01-16 09:27:19.842057
ACCT100005979,2022-06-13 13:44:05.365505
ACCT100002740,2022-12-03 21:03:51.304482
ACCT100007492,2022-11-17 00:53:53.589436
ACCT100005153,2022-09-07 12:21:10.585482
ACCT100003376,2023-11-18 07:49:28.799424
ACCT100000622,2022-08-30 02:28:02.936560
ACCT100005489,2024-03-11 06:36:21.453540
ACCT100000876,2023-08-02 08:15:32.814053
ACCT100008511,2022-05-17 04:14:53.497696
ACCT100004988,2024-07-17 02:35:32.010960
ACCT100006690,2022-06-23 07:00:09.650161
ACCT100010025,2022-10-30 08:46:09.585926
ACCT100006590,2022-04-26 10:17:50.459764
ACCT100007978,2022-02-20 08:46:09.781725
ACCT100005609,2022-10-10 01:24:34.880397
ACCT100000629,2022-05-19 19:31:22.998451
ACCT100005924,2022-08-31 01:32:04.800616
ACCT100010762,2022-03-07 08:46:36.104308
