Threshold,TP,TN,FP,FN,Event_Loss_Pct,Suppression_Rate_Pct,Precision,Recall,F1
0.05,94,263,1349,2,2.08,15.52,0.0651,0.9792,0.1222
0.06,94,345,1267,2,2.08,20.32,0.0691,0.9792,0.129
0.07,93,425,1187,3,3.12,25.06,0.0727,0.9687,0.1352
0.08,93,472,1140,3,3.12,27.81,0.0754,0.9687,0.14
0.09,89,536,1076,7,7.29,31.79,0.0764,0.9271,0.1412
0.1,88,588,1024,8,8.33,34.89,0.0791,0.9167,0.1457
0.11,86,644,968,10,10.42,38.29,0.0816,0.8958,0.1496
0.12,86,698,914,10,10.42,41.45,0.086,0.8958,0.1569
0.13,85,749,863,11,11.46,44.5,0.0897,0.8854,0.1628
0.14,83,789,823,13,13.54,46.96,0.0916,0.8646,0.1657
0.15,80,833,779,16,16.67,49.71,0.0931,0.8333,0.1675
0.16,77,878,734,19,19.79,52.52,0.0949,0.8021,0.1698
0.17,73,930,682,23,23.96,55.8,0.0967,0.7604,0.1716
0.18,71,967,645,25,26.04,58.08,0.0992,0.7396,0.1749
0.19,71,1000,612,25,26.04,60.01,0.104,0.7396,0.1823
0.2,71,1029,583,25,26.04,61.71,0.1086,0.7396,0.1893
0.21,70,1056,556,26,27.08,63.35,0.1118,0.7292,0.1939
0.22,68,1088,524,28,29.17,65.34,0.1149,0.7083,0.1977
0.23,67,1115,497,29,30.21,66.98,0.1188,0.6979,0.203
0.24,66,1140,472,30,31.25,68.5,0.1227,0.6875,0.2082
0.25,63,1168,444,33,34.38,70.32,0.1243,0.6562,0.209
0.26,62,1194,418,34,35.42,71.9,0.1292,0.6458,0.2153
0.27,62,1213,399,34,35.42,73.01,0.1345,0.6458,0.2226
0.28,61,1241,371,35,36.46,74.71,0.1412,0.6354,0.2311
0.29,59,1268,344,37,38.54,76.41,0.1464,0.6146,0.2365
0.3,59,1288,324,37,38.54,77.58,0.154,0.6146,0.2463
0.31,58,1313,299,38,39.58,79.1,0.1625,0.6042,0.2561
0.32,56,1332,280,40,41.67,80.33,0.1667,0.5833,0.2593
0.33,56,1354,258,40,41.67,81.62,0.1783,0.5833,0.2732
0.34,55,1367,245,41,42.71,82.44,0.1833,0.5729,0.2778
0.35,55,1380,232,41,42.71,83.2,0.1916,0.5729,0.2872
0.36,54,1393,219,42,43.75,84.02,0.1978,0.5625,0.2927
0.37,53,1416,196,43,44.79,85.42,0.2129,0.5521,0.3072
0.38,53,1432,180,43,44.79,86.36,0.2275,0.5521,0.3222
0.39,52,1444,168,44,45.83,87.12,0.2364,0.5417,0.3291
0.4,51,1449,163,45,46.88,87.47,0.2383,0.5312,0.329
0.41,51,1464,148,45,46.88,88.35,0.2563,0.5312,0.3458
0.42,49,1477,135,47,48.96,89.23,0.2663,0.5104,0.35
0.43,49,1484,128,47,48.96,89.64,0.2768,0.5104,0.359
0.44,48,1488,124,48,50.0,89.93,0.2791,0.5,0.3582
0.45,47,1495,117,49,51.04,90.4,0.2866,0.4896,0.3615
0.46,46,1502,110,50,52.08,90.87,0.2949,0.4792,0.3651
0.47,46,1513,99,50,52.08,91.51,0.3172,0.4792,0.3817
0.48,46,1519,93,50,52.08,91.86,0.3309,0.4792,0.3915
0.49,44,1526,86,52,54.17,92.39,0.3385,0.4583,0.3894
0.5,44,1531,81,52,54.17,92.68,0.352,0.4583,0.3982
0.51,44,1536,76,52,54.17,92.97,0.3667,0.4583,0.4074
0.52,43,1542,70,53,55.21,93.38,0.3805,0.4479,0.4115
0.53,43,1551,61,53,55.21,93.91,0.4135,0.4479,0.43
0.54,43,1558,54,53,55.21,94.32,0.4433,0.4479,0.4456
0.55,43,1564,48,53,55.21,94.67,0.4725,0.4479,0.4599
0.56,43,1568,44,53,55.21,94.91,0.4943,0.4479,0.4699
0.57,43,1573,39,53,55.21,95.2,0.5244,0.4479,0.4831
0.58,43,1577,35,53,55.21,95.43,0.5513,0.4479,0.4943
0.59,43,1578,34,53,55.21,95.49,0.5584,0.4479,0.4971
0.6,43,1581,31,53,55.21,95.67,0.5811,0.4479,0.5059
0.61,43,1582,30,53,55.21,95.73,0.589,0.4479,0.5089
0.62,43,1585,27,53,55.21,95.9,0.6143,0.4479,0.5181
0.63,43,1587,25,53,55.21,96.02,0.6324,0.4479,0.5244
0.64,43,1588,24,53,55.21,96.08,0.6418,0.4479,0.5276
0.65,43,1590,22,53,55.21,96.19,0.6615,0.4479,0.5342
0.66,43,1592,20,53,55.21,96.31,0.6825,0.4479,0.5409
0.67,43,1595,17,53,55.21,96.49,0.7167,0.4479,0.5513
0.68,43,1596,16,53,55.21,96.55,0.7288,0.4479,0.5548
0.69,43,1597,15,53,55.21,96.6,0.7414,0.4479,0.5584
0.7,42,1598,14,54,56.25,96.72,0.75,0.4375,0.5526
0.71,42,1599,13,54,56.25,96.78,0.7636,0.4375,0.5563
0.72,42,1601,11,54,56.25,96.9,0.7925,0.4375,0.5638
0.73,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.74,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.75,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.76,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.77,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.78,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.79,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.8,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.81,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
0.82,42,1602,10,54,56.25,96.96,0.8077,0.4375,0.5676
