Threshold,TP,TN,FP,FN,Event_Loss_Pct,Suppression_Rate_Pct,Precision,Recall,F1
0.05,72,1207,405,24,25.0,72.07,0.1509,0.75,0.2513
0.06,69,1325,287,27,28.12,79.16,0.1938,0.7187,0.3053
0.07,66,1384,228,30,31.25,82.79,0.2245,0.6875,0.3385
0.08,62,1411,201,34,35.42,84.6,0.2357,0.6458,0.3454
0.09,62,1434,178,34,35.42,85.95,0.2583,0.6458,0.369
0.1,62,1460,152,34,35.42,87.47,0.2897,0.6458,0.4
0.11,61,1478,134,35,36.46,88.58,0.3128,0.6354,0.4192
0.12,60,1486,126,36,37.5,89.11,0.3226,0.625,0.4255
0.13,59,1493,119,37,38.54,89.58,0.3315,0.6146,0.4307
0.14,59,1501,111,37,38.54,90.05,0.3471,0.6146,0.4436
0.15,59,1504,108,37,38.54,90.22,0.3533,0.6146,0.4487
0.16,59,1509,103,37,38.54,90.52,0.3642,0.6146,0.4574
0.17,59,1518,94,37,38.54,91.04,0.3856,0.6146,0.4739
0.18,59,1523,89,37,38.54,91.33,0.3986,0.6146,0.4836
0.19,59,1528,84,37,38.54,91.63,0.4126,0.6146,0.4937
0.2,59,1529,83,37,38.54,91.69,0.4155,0.6146,0.4958
0.21,59,1530,82,37,38.54,91.74,0.4184,0.6146,0.4979
0.22,59,1532,80,37,38.54,91.86,0.4245,0.6146,0.5021
0.23,58,1532,80,38,39.58,91.92,0.4203,0.6042,0.4957
0.24,58,1533,79,38,39.58,91.98,0.4234,0.6042,0.4979
0.25,58,1534,78,38,39.58,92.04,0.4265,0.6042,0.5
0.26,57,1536,76,39,40.62,92.21,0.4286,0.5937,0.4978
0.27,57,1536,76,39,40.62,92.21,0.4286,0.5937,0.4978
0.28,57,1537,75,39,40.62,92.27,0.4318,0.5937,0.5
0.29,57,1541,71,39,40.62,92.51,0.4453,0.5937,0.5089
0.3,57,1542,70,39,40.62,92.56,0.4488,0.5937,0.5112
0.31,56,1543,69,40,41.67,92.68,0.448,0.5833,0.5068
0.32,55,1544,68,41,42.71,92.8,0.4472,0.5729,0.5023
0.33,53,1544,68,43,44.79,92.92,0.438,0.5521,0.4885
0.34,52,1546,66,44,45.83,93.09,0.4407,0.5417,0.486
0.35,52,1546,66,44,45.83,93.09,0.4407,0.5417,0.486
0.36,51,1549,63,45,46.88,93.33,0.4474,0.5312,0.4857
0.37,51,1549,63,45,46.88,93.33,0.4474,0.5312,0.4857
0.38,50,1549,63,46,47.92,93.38,0.4425,0.5208,0.4785
0.39,50,1550,62,46,47.92,93.44,0.4464,0.5208,0.4808
0.4,49,1550,62,47,48.96,93.5,0.4414,0.5104,0.4734
0.41,48,1552,60,48,50.0,93.68,0.4444,0.5,0.4706
0.42,47,1552,60,49,51.04,93.74,0.4393,0.4896,0.4631
0.43,46,1553,59,50,52.08,93.85,0.4381,0.4792,0.4577
0.44,45,1554,58,51,53.12,93.97,0.4369,0.4687,0.4523
0.45,45,1555,57,51,53.12,94.03,0.4412,0.4687,0.4545
0.46,45,1558,54,51,53.12,94.2,0.4545,0.4687,0.4615
0.47,45,1559,53,51,53.12,94.26,0.4592,0.4687,0.4639
0.48,45,1562,50,51,53.12,94.44,0.4737,0.4687,0.4712
0.49,45,1563,49,51,53.12,94.5,0.4787,0.4687,0.4737
0.5,45,1563,49,51,53.12,94.5,0.4787,0.4687,0.4737
0.51,45,1563,49,51,53.12,94.5,0.4787,0.4687,0.4737
0.52,45,1564,48,51,53.12,94.56,0.4839,0.4687,0.4762
0.53,45,1564,48,51,53.12,94.56,0.4839,0.4687,0.4762
0.54,45,1565,47,51,53.12,94.61,0.4891,0.4687,0.4787
0.55,45,1565,47,51,53.12,94.61,0.4891,0.4687,0.4787
0.56,44,1566,46,52,54.17,94.73,0.4889,0.4583,0.4731
0.57,44,1567,45,52,54.17,94.79,0.4944,0.4583,0.4757
0.58,44,1567,45,52,54.17,94.79,0.4944,0.4583,0.4757
0.59,44,1570,42,52,54.17,94.96,0.5116,0.4583,0.4835
0.6,44,1571,41,52,54.17,95.02,0.5176,0.4583,0.4862
0.61,44,1571,41,52,54.17,95.02,0.5176,0.4583,0.4862
0.62,44,1572,40,52,54.17,95.08,0.5238,0.4583,0.4889
0.63,44,1575,37,52,54.17,95.26,0.5432,0.4583,0.4972
0.64,44,1576,36,52,54.17,95.32,0.55,0.4583,0.5
0.65,44,1577,35,52,54.17,95.37,0.557,0.4583,0.5029
0.66,43,1579,33,53,55.21,95.55,0.5658,0.4479,0.5
0.67,43,1579,33,53,55.21,95.55,0.5658,0.4479,0.5
0.68,43,1579,33,53,55.21,95.55,0.5658,0.4479,0.5
0.69,43,1580,32,53,55.21,95.61,0.5733,0.4479,0.5029
0.7,43,1580,32,53,55.21,95.61,0.5733,0.4479,0.5029
0.71,43,1580,32,53,55.21,95.61,0.5733,0.4479,0.5029
0.72,43,1581,31,53,55.21,95.67,0.5811,0.4479,0.5059
0.73,43,1581,31,53,55.21,95.67,0.5811,0.4479,0.5059
0.74,43,1581,31,53,55.21,95.67,0.5811,0.4479,0.5059
0.75,43,1581,31,53,55.21,95.67,0.5811,0.4479,0.5059
0.76,41,1581,31,55,57.29,95.78,0.5694,0.4271,0.4881
0.77,41,1582,30,55,57.29,95.84,0.5775,0.4271,0.491
0.78,41,1582,30,55,57.29,95.84,0.5775,0.4271,0.491
0.79,41,1583,29,55,57.29,95.9,0.5857,0.4271,0.494
0.8,40,1586,26,56,58.33,96.14,0.6061,0.4167,0.4938
0.81,40,1587,25,56,58.33,96.19,0.6154,0.4167,0.4969
0.82,40,1590,22,56,58.33,96.37,0.6452,0.4167,0.5063
0.83,40,1591,21,56,58.33,96.43,0.6557,0.4167,0.5096
0.84,39,1593,19,57,59.38,96.6,0.6724,0.4062,0.5065
0.85,36,1593,19,60,62.5,96.78,0.6545,0.375,0.4768
0.86,35,1596,16,61,63.54,97.01,0.6863,0.3646,0.4762
0.87,34,1599,13,62,64.58,97.25,0.7234,0.3542,0.4755
0.88,34,1600,12,62,64.58,97.31,0.7391,0.3542,0.4789
0.89,32,1601,11,64,66.67,97.48,0.7442,0.3333,0.4604
0.9,29,1604,8,67,69.79,97.83,0.7838,0.3021,0.4361
0.91,27,1606,6,69,71.88,98.07,0.8182,0.2812,0.4186
0.92,24,1606,6,72,75.0,98.24,0.8,0.25,0.381
0.93,20,1608,4,76,79.17,98.59,0.8333,0.2083,0.3333
0.94,17,1609,3,79,82.29,98.83,0.85,0.1771,0.2931
0.95,14,1610,2,82,85.42,99.06,0.875,0.1458,0.25
