TRANSACTION_ID,ACCOUNT_ID,TXN_TIMESTAMP,TXN_HOUR,TXN_TYPE,TXN_AMOUNT,CURRENCY,NARRATIVE,BENEFICIARY_COUNTRY,CHANNEL,TXN_DIRECTION,IS_TYPOLOGY,TYPOLOGY_TYPE,TXN_DAY_OF_WEEK,IS_WEEKEND,IS_OFF_HOURS
TXN000000001,ACCT100004321,2022-09-30 00:46:49.573651,0,UPI,204.68,AED,LOAN_EMI,CN,ATM,CREDIT,False,NONE,4,0,1
TXN000000002,ACCT100011431,2023-11-04 04:57:15.273182,4,NEFT,443.31,INR,INVESTMENT,IN,BRANCH,CREDIT,False,NONE,5,1,1
TXN000000003,ACCT100011870,2022-08-14 14:24:42.464936,14,SWIFT,2468.06,INR,,GB,MOBILE,DEBIT,False,NONE,6,1,0
TXN000000004,ACCT100001778,2022-07-04 21:19:08.983942,21,INTERNAL_TRANSFER,3810.27,USD,TRANSFER,VG,BRANCH,DEBIT,False,NONE,0,0,1
TXN000000005,ACCT100009160,2024-05-10 07:57:23.954782,7,NEFT,12451.9,INR,DIVIDEND,US,ATM,DEBIT,False,NONE,4,0,1
TXN000000006,ACCT100005985,2022-06-19 20:04:32.876545,20,UPI,11362.83,INR,UTILITY,SG,MOBILE,DEBIT,False,NONE,6,1,0
TXN000000007,ACCT100004875,2023-01-16 03:28:25.447246,3,IMPS,3377.95,AED,INSURANCE,IN,ATM,DEBIT,False,NONE,0,0,1
TXN000000008,ACCT100003474,2023-03-27 05:44:25.185424,5,UPI,168.89,INR,RENT,IN,ATM,CREDIT,False,NONE,0,0,1
TXN000000009,ACCT100007739,2022-12-13 08:15:34.461390,8,UPI,882.69,USD,DIVIDEND,AE,MOBILE,CREDIT,False,NONE,1,0,0
TXN000000010,ACCT100009545,2022-11-27 18:42:23.751375,18,RTGS,824.58,USD,SALARY,SG,WEB,DEBIT,False,NONE,6,1,0
TXN000000011,ACCT100010792,2022-09-20 20:18:17.423408,20,INTERNAL_TRANSFER,1379.51,AED,DIVIDEND,CN,MOBILE,CREDIT,False,NONE,1,0,0
TXN000000012,ACCT100004093,2022-12-22 11:19:43.843404,11,IMPS,4292.91,INR,INVESTMENT,US,BRANCH,CREDIT,False,NONE,3,0,0
TXN000000013,ACCT100009371,2024-04-24 09:32:10.078218,9,RTGS,11013.85,INR,,GB,WEB,DEBIT,False,NONE,2,0,0
TXN000000014,ACCT100002847,2024-06-29 09:04:14.349149,9,NEFT,23302.84,USD,SALARY,CN,BRANCH,CREDIT,False,NONE,5,1,0
TXN000000015,ACCT100007623,2023-01-01 04:33:15.766248,4,NEFT,9264.6,INR, DIVIDEND ,KY,ATM,CREDIT,False,NONE,6,1,1
TXN000000016,ACCT100011015,2022-02-07 05:36:44.113261,5,UPI,8450.72,INR,LOAN_EMI,IN,MOBILE,CREDIT,False,NONE,0,0,1
TXN000000017,ACCT100011024,2024-01-21 12:25:39.993943,12,UPI,5818.56,INR,TRANSFER,IN,ATM,CREDIT,False,NONE,6,1,0
TXN000000018,ACCT100009180,2023-10-03 03:47:28.826942,3,RTGS,8530.02,INR,DIVIDEND,US,BRANCH,CREDIT,False,NONE,1,0,1
TXN000000019,ACCT100006466,2023-08-24 13:40:37.948777,13,SWIFT,10329.45,INR,INSURANCE,IN,MOBILE,CREDIT,False,NONE,3,0,0
TXN000000020,ACCT100011954,2023-02-20 20:51:16.598185,20,UPI,4483.39,INR,VENDOR_PAYMENT,CN,ATM,CREDIT,False,NONE,0,0,0
TXN000000021,ACCT100011238,2022-08-24 00:09:53.084598,0,POS,1569.06,INR,INSURANCE,IN,MOBILE,DEBIT,False,NONE,2,0,1
TXN000000022,ACCT100003410,2022-12-03 18:15:59.447007,18,RTGS,3829.17,USD,,US,MOBILE,CREDIT,False,NONE,5,1,0
TXN000000023,ACCT100010485,2024-03-19 07:24:51.939750,7,NEFT,5042.75,INR, INSURANCE ,IN,BRANCH,DEBIT,False,NONE,1,0,1
TXN000000024,ACCT100010066,2024-03-01 23:57:01.708255,23,NEFT,1346.48,USD,TRANSFER,NG,MOBILE,DEBIT,False,NONE,4,0,1
TXN000000025,ACCT100001931,2024-06-25 23:56:07.839416,23,CHEQUE,27971.17,USD,UTILITY,MY,BRANCH,CREDIT,False,NONE,1,0,1
TXN000000026,ACCT100001356,2024-02-27 18:36:20.286781,18,NEFT,1012.12,INR,LOAN_EMI,IN,MOBILE,DEBIT,False,NONE,1,0,0
TXN000000027,ACCT100004343,2022-04-14 17:17:14.881700,17,CASH_DEPOSIT,458.61,USD,,VG,MOBILE,CREDIT,False,NONE,3,0,0
TXN000000028,ACCT100005072,2023-08-08 23:18:14.508586,23,UPI,7430.24,INR,INSURANCE,US,BRANCH,CREDIT,False,NONE,1,0,1
TXN000000029,ACCT100009971,2023-03-14 09:05:17.493392,9,IMPS,5666.88,INR,INVESTMENT,SG,BRANCH,CREDIT,False,NONE,1,0,0
TXN000000030,ACCT100010633,2024-01-30 07:23:59.696548,7,IMPS,148364.76,INR,LOAN_EMI,CN,BRANCH,DEBIT,False,NONE,1,0,1
TXN000000031,ACCT100010904,2023-10-27 07:16:17.896488,7,CASH_DEPOSIT,2540.76,INR,RENT,AE,BRANCH,CREDIT,False,NONE,4,0,1
TXN000000032,ACCT100008935,2022-10-03 02:23:23.094525,2,CASH_WITHDRAWAL,3973.29,USD,UTILITY,SG,ATM,DEBIT,False,NONE,0,0,1
TXN000000033,ACCT100006742,2023-12-08 00:38:06.521459,0,UPI,4767.68,INR,TRANSFER,AE,WEB,DEBIT,False,NONE,4,0,1
TXN000000034,ACCT100000159,2023-11-08 02:40:45.619085,2,UPI,8436.61,INR,VENDOR_PAYMENT,IN,WEB,DEBIT,False,NONE,2,0,1
TXN000000035,ACCT100010486,2023-05-01 04:18:02.136742,4,RTGS,4337.35,INR,INVESTMENT,SG,BRANCH,DEBIT,False,NONE,0,0,1
TXN000000036,ACCT100000210,2024-01-17 02:39:10.490464,2,UPI,1182.54,INR,,AE,ATM,CREDIT,False,NONE,2,0,1
TXN000000037,ACCT100004855,2022-06-14 15:33:48.732554,15,UPI,9445.06,INR,TRANSFER,VG,MOBILE,DEBIT,False,NONE,1,0,0
TXN000000038,ACCT100003739,2022-10-19 18:36:16.127693,18,INTERNAL_TRANSFER,34814.36,USD,GROCERY,AE,BRANCH,CREDIT,False,NONE,2,0,0
TXN000000039,ACCT100004642,2023-03-27 12:15:33.593956,12,RTGS,433.31,AED,INSURANCE,IN,ATM,CREDIT,False,NONE,0,0,0
TXN000000040,ACCT100010275,2024-01-28 16:17:52.389733,16,UPI,584.49,USD,TRANSFER,KY,BRANCH,CREDIT,False,NONE,6,1,0
TXN000000041,ACCT100007828,2024-03-26 17:40:04.287567,17,CASH_DEPOSIT,1116.8,INR,UTILITY,MY,BRANCH,DEBIT,False,NONE,1,0,0
TXN000000042,ACCT100009925,2022-01-18 17:09:27.808961,17,IMPS,2996.29,INR,RENT,SG,WEB,CREDIT,False,NONE,1,0,0
TXN000000043,ACCT100003210,2022-02-11 21:51:01.851803,21,NEFT,2378.39,INR,LOAN_EMI,IN,MOBILE,DEBIT,False,NONE,4,0,1
TXN000000044,ACCT100011477,2024-03-08 02:25:57.123941,2,IMPS,8665.77,INR,INVESTMENT,SG,MOBILE,DEBIT,False,NONE,4,0,1
TXN000000045,ACCT100002628,2022-02-12 00:49:12.721500,0,CASH_DEPOSIT,4567.61,INR,INSURANCE,IN,BRANCH,CREDIT,False,NONE,5,1,1
TXN000000046,ACCT100005622,2024-04-26 14:11:30.783662,14,UPI,6935.69,INR,VENDOR_PAYMENT,GB,WEB,DEBIT,False,NONE,4,0,0
TXN000000047,ACCT100008316,2023-04-20 13:27:13.743932,13,UPI,6182.09,INR,INVESTMENT,IN,BRANCH,CREDIT,False,NONE,3,0,0
TXN000000048,ACCT100001899,2023-04-22 08:28:02.023535,8,IMPS,13672.41,INR,GROCERY,KY,ATM,CREDIT,False,NONE,5,1,0
TXN000000049,ACCT100011673,2022-05-04 08:10:14.412229,8,RTGS,5259.33,INR,DIVIDEND,IN,MOBILE,CREDIT,False,NONE,2,0,0
TXN000000050,ACCT100004368,2022-11-24 05:04:27.745109,5,UPI,1718.77,INR,TRANSFER,IN,BRANCH,DEBIT,False,NONE,3,0,1
TXN000000051,ACCT100004567,2024-01-24 16:15:42.894129,16,NEFT,448.35,INR,SALARY,VG,BRANCH,DEBIT,False,NONE,2,0,0
TXN000000052,ACCT100001461,2023-10-05 05:45:23.918230,5,CASH_DEPOSIT,14516.16,INR,LOAN_EMI,IN,MOBILE,DEBIT,False,NONE,3,0,1
TXN000000053,ACCT100007407,2022-01-05 01:04:28.510383,1,NEFT,3818.05,AED,INSURANCE,IN,BRANCH,DEBIT,False,NONE,2,0,1
TXN000000054,ACCT100006133,2023-05-14 08:58:31.049617,8,UPI,1097.88,USD,INSURANCE,IN,BRANCH,DEBIT,False,NONE,6,1,0
TXN000000055,ACCT100004467,2022-12-21 14:16:58.858155,14,IMPS,5481.79,USD,,US,BRANCH,CREDIT,False,NONE,2,0,0
TXN000000056,ACCT100006952,2022-01-01 00:40:30.594957,0,NEFT,2046.72,INR,,KY,BRANCH,DEBIT,False,NONE,5,1,1
TXN000000057,ACCT100002143,2024-02-02 04:48:57.970323,4,UPI,146089.04,INR,loan_emi,IN,BRANCH,CREDIT,False,NONE,4,0,1
TXN000000058,ACCT100007939,2023-11-03 17:39:11.677569,17,UPI,479.84,USD,LOAN_EMI,IN,ATM,DEBIT,False,NONE,4,0,0
TXN000000059,ACCT100003249,2023-04-11 00:54:12.814546,0,CASH_WITHDRAWAL,3615.97,INR,RENT,IN,BRANCH,DEBIT,False,NONE,1,0,1
TXN000000060,ACCT100006122,2022-08-17 03:36:10.349383,3,UPI,85910.32,INR,,IN,WEB,CREDIT,False,NONE,2,0,1
TXN000000061,ACCT100006983,2022-10-04 01:33:04.477507,1,RTGS,2512.0,INR,GROCERY,AE,WEB,CREDIT,False,NONE,1,0,1
TXN000000062,ACCT100004959,2022-01-10 12:05:12.090099,12,NEFT,4970.95,INR,RENT,AE,BRANCH,CREDIT,False,NONE,0,0,0
TXN000000063,ACCT100004465,2024-03-08 03:14:42.994369,3,NEFT,6247.09,INR,LOAN_EMI,AE,MOBILE,CREDIT,False,NONE,4,0,1
TXN000000064,ACCT100010993,2023-06-09 20:14:30.616967,20,NEFT,18296.24,INR,INVESTMENT,IN,WEB,CREDIT,False,NONE,4,0,0
TXN000000065,ACCT100010136,2024-03-01 16:30:18.274315,16,UPI,10222.84,USD,VENDOR_PAYMENT,IN,ATM,DEBIT,False,NONE,4,0,0
TXN000000066,ACCT100005478,2022-05-01 02:17:43.860060,2,UPI,58.45,INR,,CN,ATM,CREDIT,False,NONE,6,1,1
TXN000000067,ACCT100004760,2024-03-10 01:12:18.423764,1,UPI,12442.03,AED,RENT,US,MOBILE,DEBIT,False,NONE,6,1,1
TXN000000068,ACCT100009239,2022-03-29 02:48:17.692110,2,UPI,3661.61,USD, VENDOR_PAYMENT ,US,WEB,CREDIT,False,NONE,1,0,1
TXN000000069,ACCT100010756,2022-12-10 11:52:40.112977,11,NEFT,19908.73,INR,SALARY,NG,ATM,DEBIT,False,NONE,5,1,0
TXN000000070,ACCT100006588,2022-06-07 00:49:26.469841,0,UPI,20596.32,AED,VENDOR_PAYMENT,IN,WEB,CREDIT,False,NONE,1,0,1
TXN000000071,ACCT100000310,2022-12-21 20:41:12.186218,20,UPI,1084.2,USD,INVESTMENT,AE,BRANCH,DEBIT,False,NONE,2,0,0
TXN000000072,ACCT100006582,2023-08-19 17:55:53.029272,17,RTGS,1024.31,USD,VENDOR_PAYMENT,IN,WEB,DEBIT,False,NONE,5,1,0
TXN000000073,ACCT100010634,2023-05-28 16:35:43.415111,16,INTERNAL_TRANSFER,5359.74,INR,,GB,MOBILE,CREDIT,False,NONE,6,1,0
TXN000000074,ACCT100005030,2023-10-08 10:08:46.817368,10,IMPS,7811.19,INR,INSURANCE,IN,ATM,DEBIT,False,NONE,6,1,0
TXN000000075,ACCT100010341,2022-05-10 06:41:30.799954,6,UPI,968.31,INR,INSURANCE,IN,WEB,CREDIT,False,NONE,1,0,1
TXN000000076,ACCT100010467,2022-06-30 08:51:29.016262,8,IMPS,2256.13,INR,UTILITY,US,ATM,DEBIT,False,NONE,3,0,0
TXN000000077,ACCT100004158,2023-07-23 11:22:11.365753,11,CHEQUE,25229.33,INR,SALARY,SG,MOBILE,CREDIT,False,NONE,6,1,0
TXN000000078,ACCT100010207,2022-07-24 10:06:36.924385,10,UPI,7771.94,INR,RENT,IN,ATM,DEBIT,False,NONE,6,1,0
TXN000000079,ACCT100003503,2023-06-21 11:44:22.080552,11,CASH_WITHDRAWAL,54444.92,USD,SALARY,VG,ATM,DEBIT,False,NONE,2,0,0
TXN000000080,ACCT100000974,2023-09-08 07:55:10.056878,7,CHEQUE,6925.07,USD,DIVIDEND,AE,ATM,DEBIT,False,NONE,4,0,1
TXN000000081,ACCT100000490,2023-08-16 20:22:41.752157,20,CASH_WITHDRAWAL,8387.76,INR,INVESTMENT,US,MOBILE,DEBIT,False,NONE,2,0,0
TXN000000082,ACCT100009255,2023-07-10 02:29:26.349162,2,NEFT,13009.81,INR,DIVIDEND,GB,WEB,DEBIT,False,NONE,0,0,1
TXN000000083,ACCT100006389,2023-12-25 13:26:41.598720,13,UPI,10967.21,INR, TRANSFER ,SG,MOBILE,DEBIT,False,NONE,0,0,0
TXN000000084,ACCT100003262,2024-06-08 22:31:52.844688,22,NEFT,2582.17,INR,INVESTMENT,VG,ATM,DEBIT,False,NONE,5,1,1
