ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE
ALT0000001,TXN00477453,ACCT100093181,ML_PATTERN_DETECTED,51,2024-06-03 12:38:32.956654
ALT0000002,TXN00484646,ACCT100045193,ML_PATTERN_DETECTED,57,2023-01-13 01:04:38.437686
ALT0000003,TXN00477334,ACCT100009557,ML_PATTERN_DETECTED,76,2023-08-22 09:30:30.194222
ALT0000004,TXN00478222,ACCT100094794,ML_PATTERN_DETECTED,59,2024-07-23 02:02:09.652257
ALT0000005,TXN00475700,ACCT100067564,ML_PATTERN_DETECTED,81,2023-01-14 21:06:52.006165
ALT0000006,TXN00480923,ACCT100071531,ML_PATTERN_DETECTED,72,2023-04-09 19:58:28.804191
ALT0000007,TXN00483640,ACCT100045277,ML_PATTERN_DETECTED,70,2024-08-10 10:22:51.869846
ALT0000008,TXN00493378,ACCT100083038,ML_PATTERN_DETECTED,70,2024-03-12 16:34:34.252806
ALT0000009,TXN00490367,ACCT100039232,ML_PATTERN_DETECTED,98,2024-08-27 14:51:25.107274
ALT0000010,TXN00492645,ACCT100016816,ML_PATTERN_DETECTED,70,2024-02-27 09:05:32.792864
ALT0000011,TXN00483790,ACCT100045808,ML_PATTERN_DETECTED,53,2023-05-22 16:32:20.772620
ALT0000012,TXN00493172,ACCT100083622,ML_PATTERN_DETECTED,61,2024-02-15 10:02:33.394940
ALT0000013,TXN00475907,ACCT100002108,ML_PATTERN_DETECTED,55,2023-11-23 22:23:43.793608
ALT0000014,TXN00496607,ACCT100076273,ML_PATTERN_DETECTED,87,2024-11-25 09:06:50.650924
ALT0000015,TXN00475911,ACCT100040955,ML_PATTERN_DETECTED,51,2024-02-11 12:17:59.476292
ALT0000016,TXN00487268,ACCT100044652,ML_PATTERN_DETECTED,81,2023-10-26 06:27:30.206118
ALT0000017,TXN00488273,ACCT100066152,ML_PATTERN_DETECTED,76,2023-01-26 03:19:54.698915
ALT0000018,TXN00485070,ACCT100031609,ML_PATTERN_DETECTED,58,2024-08-30 09:07:38.839783
ALT0000019,TXN00475622,ACCT100026163,ML_PATTERN_DETECTED,91,2024-12-16 17:48:20.813640
ALT0000020,TXN00492455,ACCT100076532,ML_PATTERN_DETECTED,67,2023-11-29 20:52:53.190207
ALT0000021,TXN00480065,ACCT100004923,ML_PATTERN_DETECTED,75,2024-06-15 03:05:08.785971
ALT0000022,TXN00490782,ACCT100037352,ML_PATTERN_DETECTED,87,2023-12-14 07:55:50.819813
ALT0000023,TXN00485979,ACCT100091037,ML_PATTERN_DETECTED,61,2023-02-07 17:45:58.283416
ALT0000024,TXN00495608,ACCT100027801,ML_PATTERN_DETECTED,92,2023-01-10 22:16:31.886067
ALT0000025,TXN00496810,ACCT100083634,ML_PATTERN_DETECTED,55,2024-07-12 21:12:48.728150
ALT0000026,TXN00499264,ACCT100094107,ML_PATTERN_DETECTED,92,2024-04-05 17:11:56.642350
ALT0000027,TXN00488234,ACCT100042782,ML_PATTERN_DETECTED,57,2024-06-28 01:42:03.834046
ALT0000028,TXN00493420,ACCT100094675,ML_PATTERN_DETECTED,87,2023-04-25 03:59:00.591547
ALT0000029,TXN00498696,ACCT100038887,ML_PATTERN_DETECTED,98,2024-12-03 00:19:32.906626
ALT0000030,TXN00487289,ACCT100046819,ML_PATTERN_DETECTED,60,2024-09-30 12:13:10.726033
ALT0000031,TXN00491313,ACCT100051290,ML_PATTERN_DETECTED,63,2023-10-09 18:38:25.495608
ALT0000032,TXN00492191,ACCT100062893,ML_PATTERN_DETECTED,54,2023-05-21 02:28:58.946628
ALT0000033,TXN00493669,ACCT100073055,ML_PATTERN_DETECTED,54,2023-09-24 07:19:48.188200
ALT0000034,TXN00489600,ACCT100042035,ML_PATTERN_DETECTED,79,2023-09-27 12:03:07.391830
