CASE_ID,ALERT_ID,INVESTIGATOR_ID,CASE_STATUS
CASE000001,ALT0005333,INV_01,CLOSED_SAR_FILED
CASE000002,ALT0005235,INV_01,CLOSED_FALSE_POSITIVE
CASE000003,ALT0003958,AUTO_SYS,OPEN
CASE000004,ALT0005730,AUTO_SYS,OPEN
CASE000005,ALT0005384,INV_01,CLOSED_FALSE_POSITIVE
CASE000006,ALT0001863,INV_03,CLOSED_FALSE_POSITIVE
CASE000007,ALT0008685,INV_03,CLOSED_SAR_FILED
CASE000008,ALT0006126,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000009,ALT0006134,INV_01,CLOSED_FALSE_POSITIVE
CASE000010,ALT0009251,INV_03,CLOSED_FALSE_POSITIVE
CASE000011,ALT0006714,INV_01,CLOSED_FALSE_POSITIVE
CASE000012,ALT0006589,INV_01,CLOSED_FALSE_POSITIVE
CASE000013,ALT0003645,INV_03,CLOSED_FALSE_POSITIVE
CASE000014,ALT0003600,INV_02,OPEN
CASE000015,ALT0006688,INV_01,CLOSED_SAR_FILED
CASE000016,ALT0009271,AUTO_SYS,OPEN
CASE000017,ALT0005896,INV_03,CLOSED_FALSE_POSITIVE
CASE000018,ALT0009481,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000019,ALT0009316,INV_03,CLOSED_FALSE_POSITIVE
CASE000020,ALT0002673,INV_02,OPEN
CASE000021,ALT0001106,INV_03,CLOSED_FALSE_POSITIVE
CASE000022,ALT0007524,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000023,ALT0009627,INV_02,CLOSED_FALSE_POSITIVE
CASE000024,ALT0009933,INV_03,CLOSED_FALSE_POSITIVE
CASE000025,ALT0001174,INV_01,CLOSED_FALSE_POSITIVE
CASE000026,ALT0003185,INV_02,CLOSED_FALSE_POSITIVE
CASE000027,ALT0009215,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000028,ALT0001868,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000029,ALT0004564,INV_02,CLOSED_FALSE_POSITIVE
CASE000030,ALT0009041,INV_03,CLOSED_FALSE_POSITIVE
CASE000031,ALT0006297,INV_02,OPEN
CASE000032,ALT0004462,INV_01,OPEN
CASE000033,ALT0005297,INV_03,OPEN
CASE000034,ALT0004152,INV_02,CLOSED_FALSE_POSITIVE
CASE000035,ALT0009158,INV_02,CLOSED_SAR_FILED
CASE000036,ALT0002207,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000037,ALT0008662,INV_01,CLOSED_FALSE_POSITIVE
CASE000038,ALT0001160,INV_02,CLOSED_SAR_FILED
CASE000039,ALT0004803,INV_01,CLOSED_FALSE_POSITIVE
CASE000040,ALT0007479,INV_02,OPEN
CASE000041,ALT0001603,INV_02,CLOSED_FALSE_POSITIVE
CASE000042,ALT0008548,INV_03,CLOSED_FALSE_POSITIVE
CASE000043,ALT0001806,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000044,ALT0003390,INV_01,CLOSED_FALSE_POSITIVE
CASE000045,ALT0000295,INV_02,CLOSED_FALSE_POSITIVE
CASE000046,ALT0001278,INV_03,CLOSED_FALSE_POSITIVE
CASE000047,ALT0002380,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000048,ALT0007011,AUTO_SYS,CLOSED_SAR_FILED
CASE000049,ALT0007259,INV_02,CLOSED_FALSE_POSITIVE
CASE000050,ALT0009648,AUTO_SYS,OPEN
CASE000051,ALT0008824,INV_01,CLOSED_FALSE_POSITIVE
CASE000052,ALT0007482,INV_01,CLOSED_FALSE_POSITIVE
CASE000053,ALT0007959,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000054,ALT0007675,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000055,ALT0009792,INV_02,CLOSED_SAR_FILED
CASE000056,ALT0003346,INV_03,CLOSED_FALSE_POSITIVE
CASE000057,ALT0001698,INV_03,CLOSED_FALSE_POSITIVE
CASE000058,ALT0001366,INV_02,OPEN
CASE000059,ALT0002142,INV_02,CLOSED_FALSE_POSITIVE
CASE000060,ALT0000274,INV_01,CLOSED_FALSE_POSITIVE
CASE000061,ALT0009724,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000062,ALT0009579,INV_03,CLOSED_FALSE_POSITIVE
CASE000063,ALT0009953,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000064,ALT0003745,INV_02,CLOSED_FALSE_POSITIVE
CASE000065,ALT0005069,INV_02,CLOSED_FALSE_POSITIVE
CASE000066,ALT0004976,INV_01,CLOSED_FALSE_POSITIVE
CASE000067,ALT0005635,INV_02,CLOSED_FALSE_POSITIVE
CASE000068,ALT0004933,INV_02,CLOSED_FALSE_POSITIVE
CASE000069,ALT0000309,INV_02,CLOSED_FALSE_POSITIVE
CASE000070,ALT0001555,INV_01,CLOSED_FALSE_POSITIVE
CASE000071,ALT0004307,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000072,ALT0007138,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000073,ALT0002364,INV_03,CLOSED_FALSE_POSITIVE
CASE000074,ALT0005630,INV_03,OPEN
CASE000075,ALT0000652,INV_03,CLOSED_FALSE_POSITIVE
CASE000076,ALT0003073,INV_01,CLOSED_FALSE_POSITIVE
CASE000077,ALT0002915,INV_02,OPEN
CASE000078,ALT0000992,INV_02,CLOSED_FALSE_POSITIVE
CASE000079,ALT0008347,INV_02,CLOSED_FALSE_POSITIVE
CASE000080,ALT0008470,INV_02,CLOSED_FALSE_POSITIVE
CASE000081,ALT0007119,INV_03,CLOSED_FALSE_POSITIVE
CASE000082,ALT0002651,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000083,ALT0005466,INV_02,OPEN
CASE000084,ALT0006681,INV_01,CLOSED_FALSE_POSITIVE
CASE000085,ALT0003717,INV_03,CLOSED_FALSE_POSITIVE
CASE000086,ALT0004165,INV_02,CLOSED_FALSE_POSITIVE
CASE000087,ALT0003234,INV_02,CLOSED_FALSE_POSITIVE
CASE000088,ALT0006765,INV_03,OPEN
CASE000089,ALT0005945,AUTO_SYS,OPEN
CASE000090,ALT0004937,INV_01,CLOSED_FALSE_POSITIVE
CASE000091,ALT0005161,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000092,ALT0003246,INV_03,CLOSED_FALSE_POSITIVE
CASE000093,ALT0001742,INV_02,OPEN
CASE000094,ALT0003220,INV_02,CLOSED_FALSE_POSITIVE
CASE000095,ALT0004543,INV_02,OPEN
CASE000096,ALT0008668,INV_01,CLOSED_SAR_FILED
CASE000097,ALT0009586,INV_03,CLOSED_FALSE_POSITIVE
CASE000098,ALT0007672,INV_03,CLOSED_FALSE_POSITIVE
CASE000099,ALT0004301,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000100,ALT0005396,INV_01,CLOSED_FALSE_POSITIVE
CASE000101,ALT0005610,INV_02,CLOSED_FALSE_POSITIVE
CASE000102,ALT0008444,INV_01,CLOSED_FALSE_POSITIVE
CASE000103,ALT0005144,INV_02,CLOSED_FALSE_POSITIVE
CASE000104,ALT0009593,INV_01,CLOSED_FALSE_POSITIVE
CASE000105,ALT0008734,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000106,ALT0000241,INV_02,CLOSED_FALSE_POSITIVE
CASE000107,ALT0001383,INV_02,CLOSED_SAR_FILED
CASE000108,ALT0001901,INV_03,OPEN
CASE000109,ALT0004761,INV_02,OPEN
CASE000110,ALT0006233,INV_01,CLOSED_FALSE_POSITIVE
CASE000111,ALT0008764,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000112,ALT0002448,INV_01,CLOSED_SAR_FILED
CASE000113,ALT0002608,INV_01,OPEN
CASE000114,ALT0006459,INV_01,CLOSED_SAR_FILED
CASE000115,ALT0003942,INV_02,CLOSED_FALSE_POSITIVE
CASE000116,ALT0003319,INV_01,OPEN
CASE000117,ALT0005625,INV_02,CLOSED_FALSE_POSITIVE
CASE000118,ALT0005612,INV_01,CLOSED_FALSE_POSITIVE
CASE000119,ALT0001477,INV_01,OPEN
CASE000120,ALT0000069,INV_03,CLOSED_FALSE_POSITIVE
CASE000121,ALT0004003,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000122,ALT0007787,INV_01,CLOSED_FALSE_POSITIVE
CASE000123,ALT0003615,INV_03,CLOSED_SAR_FILED
CASE000124,ALT0006069,INV_01,CLOSED_FALSE_POSITIVE
CASE000125,ALT0009409,INV_02,OPEN
CASE000126,ALT0009396,INV_03,CLOSED_FALSE_POSITIVE
CASE000127,ALT0001301,INV_01,CLOSED_FALSE_POSITIVE
CASE000128,ALT0004186,INV_03,CLOSED_FALSE_POSITIVE
CASE000129,ALT0004055,INV_01,CLOSED_FALSE_POSITIVE
CASE000130,ALT0009883,INV_01,OPEN
CASE000131,ALT0004361,INV_02,CLOSED_FALSE_POSITIVE
CASE000132,ALT0008974,INV_01,CLOSED_SAR_FILED
CASE000133,ALT0008961,INV_03,OPEN
CASE000134,ALT0000119,INV_02,CLOSED_SAR_FILED
CASE000135,ALT0003832,INV_02,CLOSED_SAR_FILED
CASE000136,ALT0003296,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000137,ALT0001710,INV_03,CLOSED_FALSE_POSITIVE
CASE000138,ALT0003022,AUTO_SYS,OPEN
CASE000139,ALT0005771,INV_01,CLOSED_SAR_FILED
CASE000140,ALT0009523,INV_01,CLOSED_FALSE_POSITIVE
CASE000141,ALT0009286,AUTO_SYS,OPEN
CASE000142,ALT0009936,INV_03,CLOSED_FALSE_POSITIVE
CASE000143,ALT0006418,INV_02,CLOSED_FALSE_POSITIVE
CASE000144,ALT0005359,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000145,ALT0001315,INV_02,CLOSED_FALSE_POSITIVE
CASE000146,ALT0001085,INV_01,CLOSED_FALSE_POSITIVE
CASE000147,ALT0002466,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000148,ALT0005755,INV_02,CLOSED_FALSE_POSITIVE
CASE000149,ALT0005196,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000150,ALT0008892,INV_03,CLOSED_FALSE_POSITIVE
CASE000151,ALT0000227,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000152,ALT0008378,INV_01,CLOSED_FALSE_POSITIVE
CASE000153,ALT0008053,AUTO_SYS,OPEN
CASE000154,ALT0004686,INV_03,CLOSED_FALSE_POSITIVE
CASE000155,ALT0007817,INV_03,OPEN
CASE000156,ALT0009927,INV_01,CLOSED_SAR_FILED
CASE000157,ALT0001593,INV_03,CLOSED_SAR_FILED
CASE000158,ALT0003189,INV_02,OPEN
CASE000159,ALT0007255,INV_01,CLOSED_FALSE_POSITIVE
CASE000160,ALT0001586,INV_02,CLOSED_FALSE_POSITIVE
CASE000161,ALT0003123,INV_03,OPEN
CASE000162,ALT0002382,INV_02,OPEN
CASE000163,ALT0009596,INV_02,OPEN
CASE000164,ALT0009028,INV_01,CLOSED_FALSE_POSITIVE
CASE000165,ALT0008533,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000166,ALT0003757,AUTO_SYS,OPEN
CASE000167,ALT0001286,INV_03,CLOSED_FALSE_POSITIVE
CASE000168,ALT0008547,INV_01,CLOSED_SAR_FILED
CASE000169,ALT0008994,INV_02,CLOSED_FALSE_POSITIVE
CASE000170,ALT0003127,INV_02,CLOSED_FALSE_POSITIVE
CASE000171,ALT0006031,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000172,ALT0002738,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000173,ALT0002918,INV_01,CLOSED_SAR_FILED
CASE000174,ALT0002381,INV_03,CLOSED_FALSE_POSITIVE
CASE000175,ALT0005061,INV_01,CLOSED_FALSE_POSITIVE
CASE000176,ALT0002655,INV_01,CLOSED_FALSE_POSITIVE
CASE000177,ALT0008814,INV_01,CLOSED_SAR_FILED
CASE000178,ALT0009738,INV_01,CLOSED_FALSE_POSITIVE
CASE000179,ALT0005917,INV_01,CLOSED_FALSE_POSITIVE
CASE000180,ALT0005816,INV_02,CLOSED_FALSE_POSITIVE
CASE000181,ALT0002108,INV_02,CLOSED_FALSE_POSITIVE
CASE000182,ALT0008442,INV_01,CLOSED_FALSE_POSITIVE
CASE000183,ALT0009934,INV_02,OPEN
CASE000184,ALT0003952,INV_02,OPEN
CASE000185,ALT0000855,INV_02,OPEN
CASE000186,ALT0005110,AUTO_SYS,OPEN
CASE000187,ALT0008117,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000188,ALT0004348,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000189,ALT0003305,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000190,ALT0008514,INV_03,CLOSED_FALSE_POSITIVE
CASE000191,ALT0000664,INV_02,CLOSED_FALSE_POSITIVE
CASE000192,ALT0004438,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000193,ALT0002136,AUTO_SYS,OPEN
CASE000194,ALT0005578,INV_03,CLOSED_FALSE_POSITIVE
CASE000195,ALT0004917,INV_01,OPEN
CASE000196,ALT0008835,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000197,ALT0000373,INV_03,CLOSED_FALSE_POSITIVE
CASE000198,ALT0000337,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000199,ALT0008102,INV_02,CLOSED_FALSE_POSITIVE
CASE000200,ALT0004691,INV_03,CLOSED_FALSE_POSITIVE
CASE000201,ALT0007974,INV_02,CLOSED_FALSE_POSITIVE
CASE000202,ALT0006317,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000203,ALT0007619,INV_02,CLOSED_FALSE_POSITIVE
CASE000204,ALT0001938,AUTO_SYS,CLOSED_SAR_FILED
CASE000205,ALT0002176,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000206,ALT0000526,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000207,ALT0005121,INV_03,CLOSED_FALSE_POSITIVE
CASE000208,ALT0007248,INV_02,CLOSED_FALSE_POSITIVE
CASE000209,ALT0001621,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000210,ALT0005877,INV_01,CLOSED_FALSE_POSITIVE
CASE000211,ALT0008318,INV_02,OPEN
