CUSTOMER_ID,PEP_STATUS,ONBOARDING_CHANNEL,INCOME_BRACKET,KYC_RISK,STATE_CODE,IS_ACTIVE
CUST0000001,False,WEB,50k-100k,LOW,TN,True
CUST0000002,False,MOBILE_APP,250k+,LOW,UP,True
CUST0000003,False,THIRD_PARTY,50k-100k,MEDIUM,RJ,True
CUST0000004,False,MOBILE_APP,250k+,MEDIUM,GJ,True
CUST0000005,False,MOBILE_APP,250k+,MEDIUM,RJ,True
CUST0000006,False,MOBILE_APP,50k-100k,HIGH,KA,False
CUST0000007,False,BRANCH,0-50k,HIGH,GJ,True
CUST0000008,False,WEB,0-50k,LOW,MH,True
CUST0000009,False,MOBILE_APP,50k-100k,LOW,UP,False
CUST0000010,False,MOBILE_APP,250k+,LOW,RJ,True
CUST0000011,False,MOBILE_APP,250k+,MEDIUM,UP,True
CUST0000012,False,WEB,250k+,LOW,WB,True
CUST0000013,False,THIRD_PARTY,50k-100k,MEDIUM,TN,True
CUST0000014,False,BRANCH,50k-100k,LOW,RJ,True
CUST0000015,False,BRANCH,50k-100k,HIGH,WB,True
CUST0000016,False,MOBILE_APP,100k-250k,LOW,WB,True
CUST0000017,False,THIRD_PARTY,0-50k,MEDIUM,GJ,True
CUST0000018,False,THIRD_PARTY,250k+,LOW,UP,True
CUST0000019,False,THIRD_PARTY,100k-250k,MEDIUM,KA,True
CUST0000020,False,THIRD_PARTY,250k+,LOW,UP,True
CUST0000021,False,MOBILE_APP,100k-250k,LOW,UP,True
CUST0000022,False,BRANCH,,HIGH,UP,True
CUST0000023,False,WEB,250k+,LOW,MH,True
CUST0000024,False,MOBILE_APP,0-50k,LOW,UP,True
CUST0000025,False,WEB,250k+,MEDIUM,RJ,True
CUST0000026,False,BRANCH,,LOW,DL,True
CUST0000027,False,MOBILE_APP,250k+,LOW,TN,True
CUST0000028,False,MOBILE_APP,50k-100k,MEDIUM,DL,True
CUST0000029,False,THIRD_PARTY,250k+,HIGH,WB,True
CUST0000030,False,WEB,,HIGH,GJ,True
CUST0000031,False,WEB,50k-100k,MEDIUM,KA,True
CUST0000032,False,WEB,100k-250k,MEDIUM,WB,True
CUST0000033,False,THIRD_PARTY,50k-100k,LOW,WB,True
CUST0000034,False,THIRD_PARTY,100k-250k,LOW,WB,True
CUST0000035,False,THIRD_PARTY,0-50k,LOW,WB,True
CUST0000036,False,THIRD_PARTY,,LOW,WB,True
CUST0000037,False,MOBILE_APP,0-50k,LOW,WB,True
CUST0000038,False,BRANCH,,LOW,GJ,True
CUST0000039,False,BRANCH,100k-250k,LOW,TN,True
CUST0000040,False,BRANCH,50k-100k,LOW,UP,True
CUST0000041,False,WEB,100k-250k,LOW,GJ,True
CUST0000042,False,WEB,0-50k,LOW,RJ,True
CUST0000043,False,BRANCH,50k-100k,MEDIUM,GJ,True
CUST0000044,False,MOBILE_APP,0-50k,LOW,UP,False
CUST0000045,False,THIRD_PARTY,250k+,MEDIUM,TN,True
CUST0000046,False,BRANCH,250k+,LOW,UP,True
CUST0000047,False,WEB,250k+,LOW,DL,True
CUST0000048,False,WEB,100k-250k,LOW,DL,True
CUST0000049,False,THIRD_PARTY,250k+,MEDIUM,GJ,True
CUST0000050,False,WEB,100k-250k,LOW,DL,True
CUST0000051,False,WEB,100k-250k,LOW,GJ,True
CUST0000052,False,THIRD_PARTY,0-50k,LOW,MH,True
CUST0000053,False,THIRD_PARTY,,LOW,GJ,True
CUST0000054,False,BRANCH,0-50k,LOW,KA,True
CUST0000055,False,BRANCH,50k-100k,LOW,DL,True
CUST0000056,False,THIRD_PARTY,100k-250k,MEDIUM,RJ,True
CUST0000057,False,MOBILE_APP,0-50k,MEDIUM,GJ,True
