ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,IS_STR,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,CURRENT_BALANCE,PEP_STATUS,INCOME_BRACKET,KYC_RISK,ONBOARDING_CHANNEL,total_txn_volume,txn_count,avg_txn_size,unique_channels
ALT0000001,TXN00477453,ACCT100093181,ML_PATTERN_DETECTED,51,2024-06-03 12:38:32.956654,0,CUST0012980,NRO,ACTIVE,7664.53,False,100k-250k,LOW,MOBILE_APP,27422.809999999998,6,4570.468333333333,2
ALT0000002,TXN00484646,ACCT100045193,ML_PATTERN_DETECTED,57,2023-01-13 01:04:38.437686,0,CUST0023968,NRE,ACTIVE,346788.6,False,0-50k,LOW,MOBILE_APP,371407.94,3,123802.64666666667,2
ALT0000003,TXN00477334,ACCT100009557,ML_PATTERN_DETECTED,76,2023-08-22 09:30:30.194222,0,CUST0003384,SALARY,ACTIVE,740272.66,False,100k-250k,LOW,THIRD_PARTY,752842.26,5,150568.452,2
ALT0000004,TXN00478222,ACCT100094794,ML_PATTERN_DETECTED,59,2024-07-23 02:02:09.652257,0,CUST0065130,NRO,ACTIVE,212892.05,False,100k-250k,LOW,WEB,345505.57,4,86376.3925,1
ALT0000005,TXN00475700,ACCT100067564,ML_PATTERN_DETECTED,81,2023-01-14 21:06:52.006165,0,CUST0053851,NRO,ACTIVE,188886.39,False,50k-100k,MEDIUM,WEB,35405.270000000004,8,4425.6587500000005,4
ALT0000006,TXN00480923,ACCT100071531,ML_PATTERN_DETECTED,72,2023-04-09 19:58:28.804191,0,CUST0069279,CURRENT,ACTIVE,31375.72,True,50k-100k,LOW,WEB,47039.66,5,9407.932,3
ALT0000007,TXN00483640,ACCT100045277,ML_PATTERN_DETECTED,70,2024-08-10 10:22:51.869846,0,CUST0047756,SALARY,ACTIVE,9978.16,False,100k-250k,MEDIUM,BRANCH,31389.309999999998,8,3923.6637499999997,4
ALT0000008,TXN00493378,ACCT100083038,ML_PATTERN_DETECTED,70,2024-03-12 16:34:34.252806,0,CUST0012664,SALARY,ACTIVE,42394.38,False,250k+,LOW,MOBILE_APP,26821.45,6,4470.241666666667,4
ALT0000009,TXN00490367,ACCT100039232,ML_PATTERN_DETECTED,98,2024-08-27 14:51:25.107274,1,CUST0026395,CURRENT,ACTIVE,12153.73,False,250k+,MEDIUM,MOBILE_APP,106666.57,6,17777.76166666667,3
ALT0000010,TXN00492645,ACCT100016816,ML_PATTERN_DETECTED,70,2024-02-27 09:05:32.792864,0,CUST0019241,NRE,DORMANT,103905.41,False,50k-100k,LOW,WEB,495018.95,8,61877.36875,4
ALT0000011,TXN00483790,ACCT100045808,ML_PATTERN_DETECTED,53,2023-05-22 16:32:20.772620,0,CUST0010634,CURRENT,ACTIVE,8258.39,False,250k+,MEDIUM,THIRD_PARTY,260832.03,4,65208.0075,3
ALT0000012,TXN00493172,ACCT100083622,ML_PATTERN_DETECTED,61,2024-02-15 10:02:33.394940,0,CUST0026767,SALARY,ACTIVE,14092.29,False,100k-250k,LOW,THIRD_PARTY,322625.87,4,80656.4675,3
ALT0000013,TXN00475907,ACCT100002108,ML_PATTERN_DETECTED,55,2023-11-23 22:23:43.793608,0,CUST0054659,SAVINGS,ACTIVE,2020.36,False,0-50k,MEDIUM,THIRD_PARTY,368049.13,7,52578.44714285714,4
ALT0000014,TXN00496607,ACCT100076273,ML_PATTERN_DETECTED,87,2024-11-25 09:06:50.650924,1,CUST0000232,CURRENT,ACTIVE,97432.53,False,,MEDIUM,MOBILE_APP,130369.95999999999,10,13036.996,4
ALT0000015,TXN00475911,ACCT100040955,ML_PATTERN_DETECTED,51,2024-02-11 12:17:59.476292,0,CUST0000020, SALARY ,ACTIVE,10854.76,False,250k+,LOW,THIRD_PARTY,364111.5,6,60685.25,2
ALT0000016,TXN00487268,ACCT100044652,ML_PATTERN_DETECTED,81,2023-10-26 06:27:30.206118,0,CUST0001879,NRO,ACTIVE,30719.4,False,50k-100k,LOW,WEB,385432.05,5,77086.41,3
ALT0000017,TXN00488273,ACCT100066152,ML_PATTERN_DETECTED,76,2023-01-26 03:19:54.698915,0,CUST0063291,CURRENT,ACTIVE,131712.54,False,,HIGH,WEB,558775.3300000001,7,79825.04714285715,4
ALT0000018,TXN00485070,ACCT100031609,ML_PATTERN_DETECTED,58,2024-08-30 09:07:38.839783,0,CUST0027301,CURRENT,ACTIVE,31445.39,False,50k-100k,LOW,WEB,623549.46,5,124709.89199999999,2
ALT0000019,TXN00475622,ACCT100026163,ML_PATTERN_DETECTED,91,2024-12-16 17:48:20.813640,1,CUST0026592,SAVINGS,ACTIVE,25000.46,False,250k+,LOW,MOBILE_APP,64432.08,11,5857.461818181819,4
ALT0000020,TXN00492455,ACCT100076532,ML_PATTERN_DETECTED,67,2023-11-29 20:52:53.190207,0,CUST0048746,SAVINGS,ACTIVE,1575.62,False,50k-100k,HIGH,THIRD_PARTY,411856.45,9,45761.82777777778,3
ALT0000021,TXN00480065,ACCT100004923,ML_PATTERN_DETECTED,75,2024-06-15 03:05:08.785971,1,CUST0039917,NRE,ACTIVE,41914.36,False,50k-100k,MEDIUM,BRANCH,164649.72,4,41162.43,2
ALT0000022,TXN00490782,ACCT100037352,ML_PATTERN_DETECTED,87,2023-12-14 07:55:50.819813,1,CUST0006654,NRE,ACTIVE,12643.84,False,50k-100k,MEDIUM,WEB,412941.56,8,51617.695,3
ALT0000023,TXN00485979,ACCT100091037,ML_PATTERN_DETECTED,61,2023-02-07 17:45:58.283416,0,CUST0016096,NRO,ACTIVE,150359.11,False,0-50k,LOW,BRANCH,250735.38999999998,5,50147.077999999994,3
ALT0000024,TXN00495608,ACCT100027801,ML_PATTERN_DETECTED,92,2023-01-10 22:16:31.886067,0,CUST0052793,CURRENT,ACTIVE,3797.23,True,100k-250k,HIGH,THIRD_PARTY,764164.16,6,127360.69333333334,4
ALT0000025,TXN00496810,ACCT100083634,ML_PATTERN_DETECTED,55,2024-07-12 21:12:48.728150,0,CUST0025644,NRE,ACTIVE,9408.51,False,,HIGH,THIRD_PARTY,212565.69,9,23618.41,3
ALT0000026,TXN00499264,ACCT100094107,ML_PATTERN_DETECTED,92,2024-04-05 17:11:56.642350,0,CUST0049151,SALARY,DORMANT,224590.41,False,50k-100k,LOW,MOBILE_APP,260691.71999999997,5,52138.344,3
ALT0000027,TXN00488234,ACCT100042782,ML_PATTERN_DETECTED,57,2024-06-28 01:42:03.834046,0,CUST0037682,SAVINGS,DORMANT,8779.6,False,50k-100k,LOW,THIRD_PARTY,388410.99,9,43156.776666666665,4
ALT0000028,TXN00493420,ACCT100094675,ML_PATTERN_DETECTED,87,2023-04-25 03:59:00.591547,1,CUST0017419,CURRENT,ACTIVE,19050.68,False,100k-250k,MEDIUM,BRANCH,613449.16,7,87635.5942857143,4
ALT0000029,TXN00498696,ACCT100038887,ML_PATTERN_DETECTED,98,2024-12-03 00:19:32.906626,0,CUST0007018,SALARY,ACTIVE,1594.14,False,50k-100k,LOW,BRANCH,521315.12,5,104263.024,3
ALT0000030,TXN00487289,ACCT100046819,ML_PATTERN_DETECTED,60,2024-09-30 12:13:10.726033,0,CUST0014290,SAVINGS,ACTIVE,57546.63,False,,LOW,WEB,244154.15,3,81384.71666666666,2
ALT0000031,TXN00491313,ACCT100051290,ML_PATTERN_DETECTED,63,2023-10-09 18:38:25.495608,0,CUST0017929,SAVINGS,ACTIVE,102417.94,False,250k+,LOW,WEB,473192.78,9,52576.97555555556,3
