STR_ID,CASE_ID,ALERT_ID,ACCOUNT_ID,IS_STR,FILED_DATE
STR000001,NO_CASE_GENERATED,ALT0000009,ACCT100039232,1,2024-09-05
STR000002,CASE000562,ALT0000014,ACCT100076273,1,2024-12-08
STR000003,NO_CASE_GENERATED,ALT0000019,ACCT100026163,1,2024-12-28
STR000004,CASE002466,ALT0000021,ACCT100004923,1,2024-06-28
STR000005,CASE002631,ALT0000022,ACCT100037352,1,2023-12-18
STR000006,CASE002101,ALT0000028,ACCT100094675,1,2023-04-28
STR000007,CASE001622,ALT0000038,ACCT100021790,1,2024-07-14
STR000008,NO_CASE_GENERATED,ALT0000051,ACCT100038683,1,2023-05-24
STR000009,NO_CASE_GENERATED,ALT0000060,ACCT100065120,1,2024-02-24
STR000010,NO_CASE_GENERATED,ALT0000061,ACCT100090704,1,2023-02-13
STR000011,NO_CASE_GENERATED,ALT0000064,ACCT100099928,1,2024-04-30
STR000012,NO_CASE_GENERATED,ALT0000066,ACCT100028607,1,2023-02-23
STR000013,CASE002112,ALT0000070,ACCT100038696,1,2023-10-02
STR000014,NO_CASE_GENERATED,ALT0000075,ACCT100001857,1,2024-06-19
STR000015,NO_CASE_GENERATED,ALT0000082,ACCT100085526,1,2024-05-21
STR000016,NO_CASE_GENERATED,ALT0000083,ACCT100054815,1,2024-08-17
STR000017,NO_CASE_GENERATED,ALT0000084,ACCT100013279,1,2023-10-09
STR000018,CASE001836,ALT0000085,ACCT100094889,1,2023-07-04
STR000019,CASE001565,ALT0000086,ACCT100075839,1,2023-06-01
STR000020,NO_CASE_GENERATED,ALT0000089,ACCT100052642,1,2024-04-22
STR000021,NO_CASE_GENERATED,ALT0000091,ACCT100054795,1,2024-01-20
STR000022,NO_CASE_GENERATED,ALT0000099,ACCT100006924,1,2023-09-24
STR000023,NO_CASE_GENERATED,ALT0000110,ACCT100098844,1,2024-05-01
STR000024,CASE001984,ALT0000111,ACCT100090186,1,2024-03-16
STR000025,NO_CASE_GENERATED,ALT0000113,ACCT100016767,1,2023-04-20
STR000026,CASE002188,ALT0000114,ACCT100021989,1,2024-10-26
STR000027,CASE000134,ALT0000119,ACCT100005203,1,2024-06-18
STR000028,NO_CASE_GENERATED,ALT0000120,ACCT100049527,1,2023-04-24
STR000029,NO_CASE_GENERATED,ALT0000126,ACCT100079378,1,2024-03-29
STR000030,CASE000808,ALT0000128,ACCT100004195,1,2023-06-08
STR000031,NO_CASE_GENERATED,ALT0000142,ACCT100091675,1,2024-12-31
