ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,OPEN_DATE,ACCOUNT_RISK
ACCT000001,CUST005239,CURRENT,2016-02-10,LOW
ACCT000002,CUST000913,CURRENT,2018-05-12,LOW
ACCT000003,CUST000205,NRO,2022-09-03,LOW
ACCT000004,CUST002254,NRE,2019-12-02,HIGH
ACCT000005,CUST002007,NRO,2015-04-28,LOW
ACCT000006,CUST001829,NRO,2022-02-03,HIGH
ACCT000007,CUST001144,NRE,2021-08-11,MEDIUM
ACCT000008,CUST000840,NRE,2019-01-12,HIGH
ACCT000009,CUST005544,NRO,2020-08-26,MEDIUM
ACCT000010,CUST004468,NRO,2020-10-04,LOW
ACCT000011,CUST000713,SAVINGS,2021-05-14,MEDIUM
ACCT000012,CUST004838,SAVINGS,2020-12-23,LOW
ACCT000013,CUST003457,SAVINGS,2021-01-22,HIGH
ACCT000014,CUST000261,CURRENT,2020-04-01,HIGH
ACCT000015,CUST000245,CURRENT,2016-08-01,LOW
ACCT000016,CUST000768,CURRENT,2019-12-23,MEDIUM
ACCT000017,CUST001792,NRO,2021-08-17,HIGH
ACCT000018,CUST001906,SAVINGS,2022-01-03,LOW
ACCT000019,CUST004140,SAVINGS,2017-12-30,LOW
ACCT000020,CUST004932,NRO,2018-09-21,LOW
ACCT000021,CUST000218,NRE,2022-01-26,MEDIUM
ACCT000022,CUST004598,NRO,2016-10-14,MEDIUM
ACCT000023,CUST001629,NRE,2018-08-30,HIGH
ACCT000024,CUST005866,SAVINGS,2021-09-30,LOW
ACCT000025,CUST005324,SAVINGS,2019-12-04,HIGH
ACCT000026,CUST005746,NRO,2021-08-07,LOW
ACCT000027,CUST004465,NRE,2019-07-18,HIGH
ACCT000028,CUST003437,CURRENT,2020-04-08,LOW
ACCT000029,CUST001806,NRE,2018-01-24,LOW
ACCT000030,CUST003680,NRE,2019-03-10,LOW
ACCT000031,CUST004828,CURRENT,2021-04-12,MEDIUM
ACCT000032,CUST002279,NRO,2016-09-08,LOW
