CASE_ID,CASE_DATE,CASE_STATUS,CASE_RISK
CASE002206,2024-04-09,CLOSED,HIGH
CASE002072,2024-10-16,OPEN,HIGH
CASE004745,2024-06-03,ESCALATED,HIGH
CASE004507,2024-12-16,ESCALATED,MEDIUM
CASE000214,2023-04-11,CLOSED,MEDIUM
CASE000656,2024-01-01,ESCALATED,HIGH
CASE003961,2024-03-11,OPEN,HIGH
CASE003080,2024-11-13,CLOSED,HIGH
CASE001164,2024-07-25,CLOSED,CRITICAL
CASE004049,2024-11-30,CLOSED,HIGH
CASE001599,2024-12-01,ESCALATED,CRITICAL
CASE000361,2023-07-28,CLOSED,CRITICAL
CASE003569,2024-08-30,ESCALATED,HIGH
CASE001978,2024-08-04,CLOSED,HIGH
CASE000357,2023-02-14,ESCALATED,HIGH
CASE002603,2024-06-04,CLOSED,MEDIUM
CASE000686,2023-07-20,ESCALATED,HIGH
CASE000980,2024-10-11,ESCALATED,CRITICAL
CASE000251,2024-03-29,ESCALATED,CRITICAL
CASE002520,2023-10-01,CLOSED,CRITICAL
CASE003862,2023-04-28,ESCALATED,CRITICAL
CASE002240,2024-05-18,ESCALATED,CRITICAL
CASE001911,2024-08-05,CLOSED,CRITICAL
CASE002184,2024-10-06,CLOSED,MEDIUM
CASE004829,2024-11-26,OPEN,HIGH
CASE004034,2023-03-06,ESCALATED,CRITICAL
CASE001063,2023-06-27,ESCALATED,MEDIUM
CASE002372,2023-06-30,ESCALATED,HIGH
CASE003688,2024-01-04,OPEN,CRITICAL
CASE000437,2023-05-16,CLOSED,CRITICAL
CASE002585,2024-07-18,CLOSED,MEDIUM
CASE002380,2024-12-28,OPEN,CRITICAL
CASE004407,2023-12-07,CLOSED,MEDIUM
CASE000319,2023-01-15,CLOSED,HIGH
CASE000036,2024-09-30,CLOSED,MEDIUM
CASE000732,2023-08-23,OPEN,HIGH
CASE003337,2024-03-15,ESCALATED,HIGH
CASE004571,2024-06-13,ESCALATED,MEDIUM
CASE003971,2024-10-06,OPEN,HIGH
CASE002086,2023-10-25,ESCALATED,MEDIUM
CASE001667,2024-04-18,ESCALATED,MEDIUM
CASE001370,2024-06-09,OPEN,MEDIUM
CASE003111,2024-06-20,ESCALATED,MEDIUM
CASE002790,2024-12-03,OPEN,HIGH
CASE000909,2023-03-08,OPEN,MEDIUM
CASE002981,2024-01-19,OPEN,CRITICAL
CASE004871,2024-01-16,OPEN,HIGH
CASE003834,2024-06-09,CLOSED,HIGH
CASE004516,2024-12-28,ESCALATED,HIGH
CASE002017,2023-05-01,OPEN,MEDIUM
CASE003810,2023-02-01,CLOSED,CRITICAL
CASE004797,2023-10-29,OPEN,HIGH
CASE003550,2024-02-07,CLOSED,MEDIUM
CASE000064,2023-09-15,OPEN,HIGH
CASE000556,2023-03-12,OPEN,MEDIUM
CASE001189,2023-06-05,CLOSED,HIGH
CASE002681,2024-04-11,CLOSED,HIGH
CASE001804,2023-09-04,OPEN,MEDIUM
CASE002944,2024-10-18,ESCALATED,HIGH
CASE004897,2024-03-26,ESCALATED,HIGH
CASE001506,2024-03-27,OPEN,MEDIUM
CASE001039,2023-08-26,CLOSED,MEDIUM
CASE000875,2024-08-04,ESCALATED,MEDIUM
CASE004924,2023-12-25,ESCALATED,HIGH
CASE000528,2024-05-18,ESCALATED,CRITICAL
CASE000834,2023-08-07,OPEN,CRITICAL
CASE004412,2023-06-20,ESCALATED,CRITICAL
CASE000915,2023-01-03,OPEN,HIGH
CASE001268,2023-04-20,OPEN,MEDIUM
CASE000339,2023-03-09,CLOSED,HIGH
CASE000079,2024-06-08,OPEN,MEDIUM
CASE002973,2023-09-05,ESCALATED,MEDIUM
CASE002209,2023-06-18,ESCALATED,HIGH
CASE003044,2023-02-05,ESCALATED,CRITICAL
CASE004339,2024-09-30,OPEN,CRITICAL
CASE002516,2023-11-16,OPEN,HIGH
CASE000700,2023-01-08,ESCALATED,HIGH
CASE000380,2023-08-21,ESCALATED,MEDIUM
CASE002549,2024-08-18,ESCALATED,HIGH
CASE004021,2024-01-03,OPEN,MEDIUM
CASE003917,2023-03-08,OPEN,MEDIUM
CASE003398,2024-06-29,ESCALATED,MEDIUM
CASE000678,2023-03-29,OPEN,CRITICAL
CASE001118,2023-05-14,ESCALATED,CRITICAL
CASE000205,2023-12-21,ESCALATED,MEDIUM
CASE002530,2023-06-07,CLOSED,HIGH
CASE001420,2024-08-24,ESCALATED,MEDIUM
CASE001142,2024-03-28,OPEN,CRITICAL
CASE000574,2024-03-09,CLOSED,CRITICAL
CASE003839,2024-09-22,OPEN,CRITICAL
CASE003328,2024-06-01,ESCALATED,CRITICAL
CASE001336,2024-11-27,ESCALATED,HIGH
CASE002636,2023-10-08,CLOSED,CRITICAL
CASE004771,2023-02-21,OPEN,CRITICAL
CASE002068,2023-07-26,CLOSED,CRITICAL
CASE003678,2023-09-12,CLOSED,HIGH
CASE000605,2023-01-26,ESCALATED,HIGH
CASE003349,2023-07-13,ESCALATED,CRITICAL
CASE002180,2023-06-24,OPEN,CRITICAL
CASE004448,2023-11-16,ESCALATED,CRITICAL
CASE003444,2023-12-09,OPEN,CRITICAL
CASE003611,2023-08-17,OPEN,MEDIUM
CASE003137,2023-01-19,CLOSED,HIGH
CASE003944,2023-06-05,CLOSED,HIGH
CASE000210,2023-04-25,CLOSED,HIGH
CASE001041,2024-08-30,ESCALATED,HIGH
CASE000226,2024-08-06,OPEN,CRITICAL
CASE004505,2023-03-14,ESCALATED,MEDIUM
CASE004226,2024-10-19,OPEN,CRITICAL
CASE002302,2023-05-29,CLOSED,HIGH
CASE002301,2023-06-17,OPEN,CRITICAL
CASE003021,2024-06-06,ESCALATED,CRITICAL
CASE000197,2023-04-16,CLOSED,HIGH
CASE003226,2024-03-24,OPEN,CRITICAL
CASE003815,2024-02-10,OPEN,CRITICAL
CASE004019,2023-04-02,OPEN,MEDIUM
CASE004815,2024-02-09,OPEN,HIGH
CASE003951,2024-07-25,OPEN,CRITICAL
CASE000745,2024-02-17,OPEN,CRITICAL
CASE002599,2023-06-14,OPEN,MEDIUM
CASE003156,2024-03-17,ESCALATED,CRITICAL
CASE000170,2023-03-30,CLOSED,HIGH
CASE004574,2023-10-27,OPEN,CRITICAL
CASE002921,2023-01-04,ESCALATED,CRITICAL
CASE004927,2024-05-21,ESCALATED,MEDIUM
CASE004386,2024-02-11,OPEN,HIGH
CASE003669,2024-07-11,ESCALATED,CRITICAL
CASE000696,2024-01-12,ESCALATED,MEDIUM
