CUSTOMER_ID,AVG_TXN,STATE,CUSTOMER_TYPE,OCCUPATION,KYC_RISK
CUST000001,37657,TN,INDIVIDUAL,TRADER,LOW
CUST000002,52415,MH,INDIVIDUAL,SELF_EMPLOYED,HIGH
CUST000003,58790,UP,CORPORATE,RETIRED,LOW
CUST000004,31813,DL,INDIVIDUAL,TRADER,MEDIUM
CUST000005,30793,TN,INDIVIDUAL,STUDENT,LOW
CUST000006,52899,WB,INDIVIDUAL,STUDENT,LOW
CUST000007,37060,KA,CORPORATE,TRADER,HIGH
CUST000008,21892,MH,INDIVIDUAL,TRADER,MEDIUM
CUST000009,10583,RJ,CORPORATE,STUDENT,HIGH
CUST000010,51245,GJ,CORPORATE,SELF_EMPLOYED,HIGH
CUST000011,29691,GJ,CORPORATE,SELF_EMPLOYED,LOW
CUST000012,58119,UP,CORPORATE,SELF_EMPLOYED,LOW
CUST000013,47181,UP,INDIVIDUAL,STUDENT,MEDIUM
CUST000014,37253,DL,INDIVIDUAL,SELF_EMPLOYED,MEDIUM
CUST000015,29255,DL,INDIVIDUAL,EMPLOYEE,MEDIUM
CUST000016,16047,WB,INDIVIDUAL,RETIRED,MEDIUM
CUST000017,11045,TN,CORPORATE,STUDENT,MEDIUM
CUST000018,53123,GJ,CORPORATE,TRADER,MEDIUM
CUST000019,46691,RJ,CORPORATE,RETIRED,MEDIUM
CUST000020,12658,UP,INDIVIDUAL,EMPLOYEE,MEDIUM
CUST000021,35069,UP,INDIVIDUAL,SELF_EMPLOYED,LOW
CUST000022,9527,MH,INDIVIDUAL,STUDENT,HIGH
CUST000023,4753,KA,CORPORATE,RETIRED,HIGH
CUST000024,24427,KA,CORPORATE,RETIRED,HIGH
CUST000025,9313,DL,CORPORATE,STUDENT,LOW
CUST000026,22238,UP,CORPORATE,RETIRED,MEDIUM
CUST000027,38549,WB,INDIVIDUAL,EMPLOYEE,MEDIUM
CUST000028,10807,RJ,CORPORATE,TRADER,MEDIUM
CUST000029,32003,UP,INDIVIDUAL,EMPLOYEE,LOW
CUST000030,39481,GJ,INDIVIDUAL,STUDENT,MEDIUM
CUST000031,11813,GJ,CORPORATE,STUDENT,LOW
CUST000032,40280,UP,CORPORATE,STUDENT,HIGH
CUST000033,58990,KA,INDIVIDUAL,STUDENT,MEDIUM
CUST000034,35420,RJ,CORPORATE,TRADER,MEDIUM
CUST000035,7025,MH,INDIVIDUAL,SELF_EMPLOYED,MEDIUM
CUST000036,25863,MH,CORPORATE,STUDENT,LOW
CUST000037,31059,WB,CORPORATE,STUDENT,MEDIUM
CUST000038,6699,TN,INDIVIDUAL,SELF_EMPLOYED,HIGH
CUST000039,23453,DL,INDIVIDUAL,TRADER,LOW
CUST000040,25124,KA,INDIVIDUAL,RETIRED,MEDIUM
CUST000041,5449,UP,CORPORATE,RETIRED,HIGH
CUST000042,30601,GJ,INDIVIDUAL,STUDENT,HIGH
CUST000043,4457,WB,CORPORATE,RETIRED,MEDIUM
CUST000044,24130,DL,CORPORATE,EMPLOYEE,HIGH
CUST000045,47244,TN,CORPORATE,STUDENT,HIGH
CUST000046,56179,WB,INDIVIDUAL,RETIRED,MEDIUM
CUST000047,26811,RJ,INDIVIDUAL,STUDENT,HIGH
CUST000048,58530,DL,INDIVIDUAL,TRADER,MEDIUM
CUST000049,6115,GJ,CORPORATE,SELF_EMPLOYED,HIGH
CUST000050,51685,DL,INDIVIDUAL,RETIRED,MEDIUM
CUST000051,20915,DL,CORPORATE,STUDENT,LOW
CUST000052,25761,DL,CORPORATE,RETIRED,MEDIUM
CUST000053,31371,WB,INDIVIDUAL,STUDENT,MEDIUM
CUST000054,19466,UP,INDIVIDUAL,EMPLOYEE,HIGH
CUST000055,49093,KA,CORPORATE,SELF_EMPLOYED,HIGH
CUST000056,56995,UP,CORPORATE,RETIRED,HIGH
CUST000057,58887,RJ,INDIVIDUAL,RETIRED,LOW
CUST000058,26873,UP,INDIVIDUAL,SELF_EMPLOYED,LOW
CUST000059,51918,GJ,CORPORATE,STUDENT,MEDIUM
CUST000060,59373,DL,INDIVIDUAL,STUDENT,MEDIUM
CUST000061,56982,GJ,INDIVIDUAL,TRADER,HIGH
CUST000062,42402,TN,CORPORATE,SELF_EMPLOYED,LOW
CUST000063,12827,TN,INDIVIDUAL,SELF_EMPLOYED,MEDIUM
CUST000064,33419,UP,CORPORATE,STUDENT,HIGH
CUST000065,5425,TN,INDIVIDUAL,TRADER,LOW
CUST000066,4909,GJ,CORPORATE,RETIRED,LOW
CUST000067,45224,MH,CORPORATE,EMPLOYEE,LOW
CUST000068,59333,DL,CORPORATE,RETIRED,MEDIUM
CUST000069,59830,DL,CORPORATE,TRADER,HIGH
CUST000070,46085,DL,CORPORATE,SELF_EMPLOYED,LOW
CUST000071,10335,DL,CORPORATE,STUDENT,LOW
CUST000072,18602,DL,CORPORATE,TRADER,HIGH
CUST000073,51315,RJ,INDIVIDUAL,STUDENT,LOW
CUST000074,12455,DL,INDIVIDUAL,SELF_EMPLOYED,MEDIUM
CUST000075,31801,RJ,CORPORATE,RETIRED,LOW
CUST000076,35136,WB,INDIVIDUAL,TRADER,HIGH
CUST000077,30772,UP,INDIVIDUAL,TRADER,LOW
CUST000078,26789,UP,CORPORATE,TRADER,LOW
CUST000079,45296,MH,INDIVIDUAL,SELF_EMPLOYED,MEDIUM
CUST000080,39223,RJ,CORPORATE,TRADER,HIGH
CUST000081,10998,TN,CORPORATE,STUDENT,LOW
CUST000082,28754,GJ,CORPORATE,EMPLOYEE,LOW
CUST000083,22491,TN,INDIVIDUAL,STUDENT,HIGH
CUST000084,23786,RJ,INDIVIDUAL,TRADER,LOW
CUST000085,56949,UP,CORPORATE,STUDENT,MEDIUM
CUST000086,50014,RJ,INDIVIDUAL,SELF_EMPLOYED,HIGH
CUST000087,20102,DL,CORPORATE,STUDENT,HIGH
CUST000088,50790,WB,CORPORATE,EMPLOYEE,LOW
CUST000089,45033,KA,CORPORATE,SELF_EMPLOYED,LOW
CUST000090,29257,TN,CORPORATE,TRADER,HIGH
CUST000091,8389,DL,INDIVIDUAL,SELF_EMPLOYED,HIGH
CUST000092,49764,KA,CORPORATE,TRADER,MEDIUM
CUST000093,34350,KA,CORPORATE,SELF_EMPLOYED,HIGH
CUST000094,41864,WB,CORPORATE,SELF_EMPLOYED,LOW
CUST000095,30164,WB,INDIVIDUAL,STUDENT,MEDIUM
CUST000096,57701,TN,INDIVIDUAL,EMPLOYEE,HIGH
CUST000097,45408,TN,INDIVIDUAL,STUDENT,LOW
CUST000098,20156,KA,INDIVIDUAL,STUDENT,HIGH
CUST000099,31108,GJ,INDIVIDUAL,EMPLOYEE,MEDIUM
CUST000100,14149,DL,INDIVIDUAL,RETIRED,MEDIUM
CUST000101,53682,UP,CORPORATE,EMPLOYEE,LOW
CUST000102,49764,TN,INDIVIDUAL,TRADER,MEDIUM
