ALERT_ID,CASE_ID,ACCOUNT_ID,CUSTOMER_ID,TRANSACTION_ID,ALERT_SCORE,ALERT_DATE,IS_STR,ACCOUNT_TYPE,ACCOUNT_RISK,CUSTOMER_TYPE,KYC_RISK,AVG_TXN
AL0000001,CASE004122,ACCT008733,CUST005502,TXN0000625,69,2023-03-31,0,NRO,HIGH,INDIVIDUAL,LOW,39300
AL0000002,CASE002468,ACCT002403,CUST002616,TXN0000690,79,2024-09-15,0,CURRENT,HIGH,CORPORATE,MEDIUM,55937
AL0000003,CASE001418,ACCT004374,CUST002842,TXN0000723,86,2024-05-19,1,NRO,MEDIUM,CORPORATE,HIGH,9005
AL0000004,CASE001146,ACCT005373,CUST001664,TXN0000741,93,2023-05-16,1,CURRENT,MEDIUM,CORPORATE,LOW,13006
AL0000005,CASE000743,ACCT002936,CUST004720,TXN0000752,77,2023-09-25,0,CURRENT,LOW,CORPORATE,MEDIUM,52002
AL0000006,CASE003219,ACCT002829,CUST003650,TXN0000808,67,2024-10-22,0,NRO,HIGH,INDIVIDUAL,MEDIUM,52428
AL0000007,CASE000501,ACCT002584,CUST004595,TXN0000817,95,2024-08-01,1,SAVINGS,LOW,INDIVIDUAL,MEDIUM,19097
AL0000008,CASE000623,ACCT002932,CUST004128,TXN0000823,85,2024-08-06,0,NRO,LOW,INDIVIDUAL,MEDIUM,54006
AL0000009,CASE003111,ACCT000597,CUST002325,TXN0000829,93,2023-10-25,1,SAVINGS,MEDIUM,CORPORATE,MEDIUM,59625
AL0000010,CASE003802,ACCT008919,CUST003419,TXN0000837,84,2023-08-12,0,NRO,LOW,CORPORATE,LOW,9403
AL0000011,CASE002921,ACCT007283,CUST005403,TXN0000847,70,2023-03-15,0,NRE,HIGH,INDIVIDUAL,LOW,30779
AL0000012,CASE001898,ACCT006431,CUST001338,TXN0000853,74,2024-03-01,1,CURRENT,HIGH,CORPORATE,LOW,45289
AL0000013,CASE001265,ACCT007969,CUST003677,TXN0000860,82,2023-07-14,0,NRE,MEDIUM,INDIVIDUAL,LOW,21628
AL0000014,CASE001732,ACCT004173,CUST005164,TXN0000868,80,2024-09-29,0,SAVINGS,MEDIUM,INDIVIDUAL,HIGH,52453
AL0000015,CASE003988,ACCT004214,CUST002014,TXN0000875,80,2024-01-01,0,NRO,HIGH,INDIVIDUAL,MEDIUM,6598
AL0000016,CASE000039,ACCT003591,CUST001119,TXN0000883,71,2023-11-02,0,CURRENT,MEDIUM,INDIVIDUAL,LOW,10097
AL0000017,CASE001804,ACCT007228,CUST005885,TXN0000893,71,2023-10-18,0,NRE,MEDIUM,INDIVIDUAL,LOW,8836
AL0000018,CASE002987,ACCT003084,CUST001379,TXN0000903,92,2023-05-21,1,NRO,HIGH,CORPORATE,HIGH,31242
AL0000019,CASE003719,ACCT004110,CUST001914,TXN0000911,86,2023-01-17,1,CURRENT,HIGH,CORPORATE,MEDIUM,33165
AL0000020,CASE001349,ACCT004051,CUST002009,TXN0000920,83,2023-08-28,0,NRE,LOW,CORPORATE,LOW,57887
AL0000021,CASE002227,ACCT003168,CUST003090,TXN0000930,90,2023-12-28,1,CURRENT,HIGH,CORPORATE,LOW,22187
AL0000022,CASE003071,ACCT005118,CUST005740,TXN0000939,90,2024-08-25,1,SAVINGS,LOW,INDIVIDUAL,LOW,29378
AL0000023,CASE001293,ACCT007561,CUST004212,TXN0000949,77,2024-10-11,0,NRE,LOW,CORPORATE,MEDIUM,18357
AL0000024,CASE001745,ACCT006702,CUST002178,TXN0000955,95,2024-06-13,1,CURRENT,MEDIUM,CORPORATE,MEDIUM,32575
AL0000025,CASE004181,ACCT004819,CUST001821,TXN0000963,78,2023-06-13,0,NRE,MEDIUM,CORPORATE,HIGH,42309
AL0000026,CASE001855,ACCT007658,CUST005321,TXN0000971,92,2024-11-23,1,SAVINGS,MEDIUM,INDIVIDUAL,MEDIUM,16630
AL0000027,CASE000601,ACCT006652,CUST002643,TXN0000978,82,2023-09-08,0,SAVINGS,MEDIUM,INDIVIDUAL,MEDIUM,44426
AL0000028,CASE000248,ACCT005455,CUST000940,TXN0000984,65,2023-12-18,0,NRE,LOW,INDIVIDUAL,HIGH,37410
AL0000029,CASE001533,ACCT006529,CUST005155,TXN0000992,86,2024-02-17,1,CURRENT,MEDIUM,INDIVIDUAL,MEDIUM,5054
AL0000030,CASE003416,ACCT003290,CUST004900,TXN0001000,77,2024-01-04,1,NRO,LOW,INDIVIDUAL,LOW,47054
AL0000031,CASE002018,ACCT002477,CUST003165,TXN0001008,89,2024-09-23,1,CURRENT,HIGH,CORPORATE,LOW,33671
AL0000032,CASE000396,ACCT000136,CUST004043,TXN0001016,77,2024-07-19,0,CURRENT,MEDIUM,CORPORATE,MEDIUM,14394
AL0000033,CASE001221,ACCT003866,CUST000448,TXN0001023,86,2023-02-23,1,SAVINGS,MEDIUM,CORPORATE,MEDIUM,26565
AL0000034,CASE003438,ACCT008344,CUST003713,TXN0001031,76,2024-10-01,0,NRO,MEDIUM,CORPORATE,HIGH,57733
AL0000035,CASE001527,ACCT003853,CUST002335,TXN0001040,68,2024-12-21,0,CURRENT,MEDIUM,CORPORATE,MEDIUM,16654
AL0000036,CASE004626,ACCT006503,CUST004450,TXN0001047,94,2023-04-03,1,NRE,LOW,INDIVIDUAL,LOW,56988
AL0000037,CASE001319,ACCT006070,CUST004148,TXN0001057,93,2024-05-30,1,CURRENT,HIGH,INDIVIDUAL,MEDIUM,4946
AL0000038,CASE003478,ACCT005946,CUST004626,TXN0001067,85,2024-11-04,0,SAVINGS,LOW,CORPORATE,HIGH,20628
AL0000039,CASE001063,ACCT004838,CUST003869,TXN0001076,73,2023-01-02,0,SAVINGS,HIGH,CORPORATE,HIGH,57820
