STR_ID,CASE_ID,ALERT_ID,ACCOUNT_ID,IS_STR,FILED_DATE
STR000001,CASE001418,AL0000003,ACCT004374,1,2024-05-25
STR000002,CASE001146,AL0000004,ACCT005373,1,2023-05-20
STR000003,CASE000501,AL0000007,ACCT002584,1,2024-08-10
STR000004,CASE003111,AL0000009,ACCT000597,1,2023-10-28
STR000005,CASE001898,AL0000012,ACCT006431,1,2024-03-14
STR000006,CASE002987,AL0000018,ACCT003084,1,2023-06-01
STR000007,CASE003719,AL0000019,ACCT004110,1,2023-01-30
STR000008,CASE002227,AL0000021,ACCT003168,1,2024-01-01
STR000009,CASE003071,AL0000022,ACCT005118,1,2024-08-30
STR000010,CASE001745,AL0000024,ACCT006702,1,2024-06-17
STR000011,CASE001855,AL0000026,ACCT007658,1,2024-11-26
STR000012,CASE001533,AL0000029,ACCT006529,1,2024-02-27
STR000013,CASE003416,AL0000030,ACCT003290,1,2024-01-07
STR000014,CASE002018,AL0000031,ACCT002477,1,2024-10-06
STR000015,CASE001221,AL0000033,ACCT003866,1,2023-02-27
STR000016,CASE004626,AL0000036,ACCT006503,1,2023-04-06
STR000017,CASE001319,AL0000037,ACCT006070,1,2024-06-06
STR000018,CASE004693,AL0000047,ACCT004329,1,2023-11-13
STR000019,CASE000741,AL0000049,ACCT004885,1,2023-07-21
STR000020,CASE002668,AL0000050,ACCT002674,1,2024-08-26
STR000021,CASE003570,AL0000051,ACCT002109,1,2023-11-13
STR000022,CASE000072,AL0000055,ACCT002424,1,2023-05-12
STR000023,CASE002024,AL0000059,ACCT004660,1,2023-02-07
STR000024,CASE002239,AL0000068,ACCT002700,1,2023-08-27
STR000025,CASE001807,AL0000070,ACCT003589,1,2023-12-03
STR000026,CASE004697,AL0000071,ACCT001352,1,2023-08-07
STR000027,CASE002168,AL0000083,ACCT003998,1,2024-02-28
STR000028,CASE001858,AL0000084,ACCT003276,1,2024-12-24
STR000029,CASE003586,AL0000101,ACCT003045,1,2023-05-02
STR000030,CASE001836,AL0000107,ACCT000551,1,2023-09-12
STR000031,CASE000185,AL0000108,ACCT006351,1,2024-05-14
STR000032,CASE001518,AL0000111,ACCT001993,1,2024-04-04
STR000033,CASE003150,AL0000112,ACCT004572,1,2024-08-30
STR000034,CASE003879,AL0000115,ACCT005984,1,2024-08-14
STR000035,CASE004187,AL0000121,ACCT007438,1,2024-03-24
STR000036,CASE003328,AL0000126,ACCT004438,1,2023-07-21
STR000037,CASE004031,AL0000127,ACCT005364,1,2023-07-21
STR000038,CASE003959,AL0000131,ACCT001369,1,2023-09-15
STR000039,CASE003400,AL0000133,ACCT002795,1,2024-06-29
STR000040,CASE004581,AL0000135,ACCT006498,1,2024-12-25
STR000041,CASE000181,AL0000139,ACCT000221,1,2024-07-14
STR000042,CASE000765,AL0000144,ACCT006369,1,2023-02-08
STR000043,CASE002553,AL0000145,ACCT008580,1,2024-06-25
STR000044,CASE001925,AL0000148,ACCT000399,1,2024-02-27
STR000045,CASE003285,AL0000149,ACCT002254,1,2023-08-06
STR000046,CASE002785,AL0000153,ACCT005827,1,2024-10-18
STR000047,CASE004337,AL0000155,ACCT008178,1,2024-11-29
STR000048,CASE004304,AL0000156,ACCT000336,1,2024-12-19
STR000049,CASE001360,AL0000162,ACCT005931,1,2023-08-16
STR000050,CASE000052,AL0000165,ACCT008832,1,2024-01-22
STR000051,CASE004729,AL0000177,ACCT008292,1,2024-12-28
STR000052,CASE004661,AL0000179,ACCT003535,1,2024-04-28
STR000053,CASE000191,AL0000180,ACCT006125,1,2023-01-20
STR000054,CASE000121,AL0000184,ACCT003317,1,2024-04-23
STR000055,CASE004493,AL0000185,ACCT004022,1,2023-11-26
STR000056,CASE004050,AL0000186,ACCT008504,1,2025-01-09
STR000057,CASE004407,AL0000194,ACCT000260,1,2024-10-19
STR000058,CASE002910,AL0000195,ACCT008177,1,2024-09-03
STR000059,CASE002017,AL0000199,ACCT004256,1,2023-12-29
STR000060,CASE003529,AL0000200,ACCT008873,1,2024-08-27
STR000061,CASE002299,AL0000204,ACCT003570,1,2023-03-10
STR000062,CASE003581,AL0000214,ACCT001020,1,2023-05-04
STR000063,CASE000351,AL0000215,ACCT008994,1,2025-01-05
STR000064,CASE000954,AL0000216,ACCT006612,1,2023-10-27
STR000065,CASE003602,AL0000224,ACCT006097,1,2024-03-01
STR000066,CASE002036,AL0000225,ACCT008643,1,2023-11-24
STR000067,CASE001854,AL0000227,ACCT000647,1,2023-02-04
STR000068,CASE003521,AL0000229,ACCT007013,1,2023-10-28
STR000069,CASE003135,AL0000232,ACCT001003,1,2024-04-01
STR000070,CASE004264,AL0000234,ACCT007303,1,2024-02-20
STR000071,CASE003444,AL0000236,ACCT007827,1,2023-07-06
STR000072,CASE003858,AL0000238,ACCT002142,1,2024-10-30
STR000073,CASE000170,AL0000239,ACCT008734,1,2024-07-24
STR000074,CASE002845,AL0000240,ACCT003563,1,2024-08-06
STR000075,CASE002735,AL0000242,ACCT001296,1,2023-03-30
STR000076,CASE003764,AL0000243,ACCT006853,1,2024-01-19
STR000077,CASE003113,AL0000244,ACCT006224,1,2024-02-29
STR000078,CASE003255,AL0000253,ACCT005227,1,2024-03-12
STR000079,CASE001040,AL0000254,ACCT007849,1,2024-05-07
STR000080,CASE004618,AL0000260,ACCT007937,1,2023-08-19
STR000081,CASE003284,AL0000261,ACCT005641,1,2023-12-30
STR000082,CASE000048,AL0000263,ACCT007003,1,2024-04-15
