TRANSACTION_ID,ACCOUNT_ID,CUSTOMER_ID,CASE_ID,TXN_DATE,TXN_TYPE,TXN_AMOUNT,COUNTRY
TXN0000000,ACCT000520,CUST002175,CASE003306,2024-07-18,UPI,65119.40682126445,US
TXN0000001,ACCT007707,CUST004886,CASE003940,2023-02-16,NEFT,34833.807205746234,IN
TXN0000002,ACCT008877,CUST000775,CASE001960,2023-05-22,IMPS,79832.36643245243,GB
TXN0000003,ACCT006540,CUST002953,CASE001044,2023-03-27,IMPS,128696.98662017794,AE
TXN0000004,ACCT008061,CUST002272,CASE004819,2024-05-15,IMPS,27904.586863663146,US
TXN0000005,ACCT004876,CUST001061,CASE002036,2024-12-07,UPI,40315.51993826661,HK
TXN0000006,ACCT006738,CUST001478,CASE004138,2024-12-12,NEFT,98707.19909924062,IN
TXN0000007,ACCT008017,CUST001798,CASE003314,2024-05-02,UPI,41389.41601294571,GB
TXN0000008,ACCT005954,CUST004523,CASE000335,2023-07-27,NEFT,39510.99525581682,HK
TXN0000009,ACCT000587,CUST003810,CASE002469,2024-06-12,IMPS,56618.82888659079,HK
TXN0000010,ACCT008699,CUST003622,CASE000088,2024-09-17,UPI,30588.162402879072,AE
TXN0000011,ACCT004167,CUST001821,CASE001746,2023-12-26,NEFT,38510.385758896315,HK
TXN0000012,ACCT005384,CUST004943,CASE002385,2024-11-05,UPI,53283.45519225813,SG
TXN0000013,ACCT002119,CUST003807,CASE000082,2024-04-22,UPI,9490.02237215224,AE
TXN0000014,ACCT001929,CUST002531,CASE003195,2023-07-10,IMPS,14824.542756558174,SG
TXN0000015,ACCT004026,CUST004226,CASE002668,2024-02-08,IMPS,26902.003585357183,GB
TXN0000016,ACCT008235,CUST005558,CASE000342,2024-11-21,NEFT,29594.416264556567,US
TXN0000017,ACCT005169,CUST000841,CASE000276,2024-04-30,UPI,29905.50903814469,HK
TXN0000018,ACCT006091,CUST005584,CASE002804,2024-10-02,IMPS,14013.043682318328,AE
TXN0000019,ACCT006936,CUST005088,CASE001694,2023-05-04,NEFT,11987.9879843567,GB
TXN0000020,ACCT000619,CUST004716,CASE003295,2024-05-26,IMPS,104630.9773448746,HK
TXN0000021,ACCT003209,CUST001331,CASE001353,2024-09-30,IMPS,21555.52382438971,AE
TXN0000022,ACCT005870,CUST004283,CASE000241,2023-07-10,UPI,36742.9322775044,HK
TXN0000023,ACCT001923,CUST005493,CASE001475,2024-09-16,UPI,13953.827660029488,GB
TXN0000024,ACCT007585,CUST005534,CASE001196,2023-04-02,UPI,38650.3525534856,GB
TXN0000025,ACCT005854,CUST002167,CASE000181,2023-01-04,NEFT,28846.73758519026,SG
TXN0000026,ACCT002098,CUST003170,CASE000320,2023-04-19,IMPS,13288.0350877982,GB
TXN0000027,ACCT006300,CUST005172,CASE004329,2023-08-22,UPI,35132.44983041268,IN
TXN0000028,ACCT000534,CUST001558,CASE002840,2024-12-07,UPI,22038.433257971377,SG
TXN0000029,ACCT008695,CUST005464,CASE004229,2024-12-11,UPI,39187.01056678915,SG
TXN0000030,ACCT007266,CUST000964,CASE004305,2024-03-31,UPI,30108.837270541433,GB
TXN0000031,ACCT002464,CUST002997,CASE002683,2024-05-10,NEFT,153726.9406027017,AE
TXN0000032,ACCT008623,CUST003648,CASE001285,2024-02-21,UPI,35701.625699940196,HK
TXN0000033,ACCT002382,CUST002475,CASE002249,2023-12-06,UPI,25695.592059425304,AE
TXN0000034,ACCT005817,CUST001320,CASE002969,2024-11-07,UPI,65756.25060135534,SG
TXN0000035,ACCT007652,CUST000844,CASE000650,2024-05-28,IMPS,23442.99205893788,SG
TXN0000036,ACCT005546,CUST002931,CASE004712,2023-04-07,IMPS,36042.98771049182,HK
TXN0000037,ACCT005380,CUST005306,CASE003176,2023-12-19,IMPS,9990.822221995404,IN
TXN0000038,ACCT005548,CUST000870,CASE004542,2024-02-03,NEFT,22709.83803551826,SG
TXN0000039,ACCT001887,CUST004571,CASE001116,2024-03-20,IMPS,53553.26071002364,GB
TXN0000040,ACCT004183,CUST005292,CASE001945,2023-02-01,NEFT,57675.818217325475,SG
TXN0000041,ACCT000439,CUST001072,CASE002959,2024-04-07,NEFT,59680.3019012727,SG
TXN0000042,ACCT005773,CUST002891,CASE004185,2024-01-30,NEFT,33385.691220470566,IN
TXN0000043,ACCT001016,CUST002361,CASE001250,2024-05-30,UPI,40243.58234531079,HK
TXN0000044,ACCT007187,CUST002495,CASE004069,2024-05-02,NEFT,13838.255315600729,HK
TXN0000045,ACCT004449,CUST005712,CASE002326,2023-10-15,UPI,27517.07890385244,GB
TXN0000046,ACCT001925,CUST004166,CASE002364,2023-04-26,NEFT,23467.46742711166,GB
TXN0000047,ACCT004069,CUST001681,CASE000140,2023-01-30,IMPS,81226.93425091068,HK
TXN0000048,ACCT001018,CUST002317,CASE002329,2024-04-10,NEFT,63873.28395802774,US
TXN0000049,ACCT005088,CUST003111,CASE002173,2023-12-25,NEFT,15977.11575820043,GB
TXN0000050,ACCT001729,CUST003115,CASE004618,2024-06-10,UPI,45723.89623486864,SG
TXN0000051,ACCT006911,CUST001561,CASE004802,2023-10-10,NEFT,22030.905693746983,AE
TXN0000052,ACCT005629,CUST002336,CASE003660,2023-12-01,NEFT,35818.09679952492,SG
TXN0000053,ACCT000342,CUST001290,CASE001254,2024-12-08,UPI,48550.451436504474,HK
TXN0000054,ACCT002418,CUST001155,CASE000515,2024-09-17,UPI,68152.48513668601,SG
TXN0000055,ACCT006027,CUST005722,CASE000846,2023-08-03,UPI,80763.62373312988,HK
TXN0000056,ACCT000810,CUST004637,CASE004553,2023-09-19,NEFT,21061.5938060547,AE
TXN0000057,ACCT004748,CUST004865,CASE002979,2024-11-20,NEFT,29389.532087051106,HK
TXN0000058,ACCT003070,CUST003112,CASE001759,2024-05-30,IMPS,45827.24839033518,AE
TXN0000059,ACCT006112,CUST002158,CASE004170,2023-11-19,NEFT,83277.79737983312,IN
TXN0000060,ACCT005835,CUST005964,CASE000751,2024-03-26,IMPS,25241.01673441869,IN
TXN0000061,ACCT008237,CUST002657,CASE001646,2023-08-17,UPI,43201.50889563678,IN
TXN0000062,ACCT007761,CUST003537,CASE003863,2024-06-12,NEFT,18462.849524915902,US
TXN0000063,ACCT005261,CUST005985,CASE003743,2024-03-25,IMPS,13168.197099677913,US
TXN0000064,ACCT003794,CUST003460,CASE000379,2024-11-20,NEFT,59449.62602068905,US
TXN0000065,ACCT003975,CUST005141,CASE004289,2023-01-28,NEFT,102400.26591714013,US
TXN0000066,ACCT008482,CUST003800,CASE000201,2024-06-11,IMPS,39728.172733356354,IN
TXN0000067,ACCT000548,CUST000574,CASE004893,2023-06-02,IMPS,65548.81223614502,IN
TXN0000068,ACCT001522,CUST004864,CASE000359,2023-05-15,UPI,44501.897176240505,AE
TXN0000069,ACCT006651,CUST002320,CASE001556,2024-07-04,IMPS,17350.618051102974,GB
TXN0000070,ACCT003889,CUST000598,CASE004095,2023-07-08,NEFT,67192.1714000043,US
