account_id,customer_id,account_open_date,customer_type,risk_rating,occupation,expected_turnover,is_mule
ACC100000,CUST100000,2025-10-05 23:29:38.050567,individual,LOW,STUDENT,27915,False
ACC100001,CUST100001,2023-12-27 23:29:38.050567,individual,HIGH,UNKNOWN,43661,True
ACC100002,CUST100002,2023-02-17 23:29:38.050567,individual,LOW,STUDENT,9297,False
ACC100003,CUST100003,2021-09-27 23:29:38.050567,individual,LOW,SELF_EMP,16628,False
ACC100004,CUST100004,2023-12-20 23:29:38.051575,individual,LOW,UNKNOWN,23099,False
ACC100005,CUST100005,2025-12-31 23:29:38.051575,individual,LOW,UNKNOWN,30709,False
ACC100006,CUST100006,2024-12-29 23:29:38.051575,individual,LOW,UNKNOWN,17487,False
ACC100007,CUST100007,2022-01-10 23:29:38.051575,individual,LOW,SALARIED,22772,False
ACC100008,CUST100008,2025-01-20 23:29:38.051575,individual,LOW,STUDENT,11233,False
ACC100009,CUST100009,2024-04-27 23:29:38.051575,individual,LOW,SELF_EMP,14181,False
ACC100010,CUST100010,2025-09-22 23:29:38.052081,individual,LOW,UNKNOWN,14478,False
ACC100011,CUST100011,2024-02-09 23:29:38.052081,individual,LOW,SELF_EMP,18871,False
ACC100012,CUST100012,2025-01-07 23:29:38.052081,individual,LOW,UNKNOWN,21635,False
ACC100013,CUST100013,2024-07-20 23:29:38.052081,individual,LOW,SELF_EMP,48161,False
ACC100014,CUST100014,2023-01-21 23:29:38.052081,individual,LOW,SALARIED,19809,False
ACC100015,CUST100015,2021-11-27 23:29:38.052081,individual,LOW,SELF_EMP,17793,False
ACC100016,CUST100016,2024-04-26 23:29:38.052081,business,HIGH,STUDENT,22082,True
ACC100017,CUST100017,2021-12-31 23:29:38.052081,individual,LOW,SELF_EMP,19588,False
ACC100018,CUST100018,2023-01-26 23:29:38.052081,individual,LOW,UNKNOWN,12883,False
ACC100019,CUST100019,2022-12-08 23:29:38.052081,individual,LOW,UNKNOWN,13409,False
ACC100020,CUST100020,2025-04-30 23:29:38.052081,individual,LOW,SALARIED,32712,False
ACC100021,CUST100021,2022-12-14 23:29:38.053090,individual,LOW,SALARIED,13978,False
ACC100022,CUST100022,2021-05-06 23:29:38.053090,individual,LOW,UNKNOWN,16846,False
ACC100023,CUST100023,2024-10-19 23:29:38.053090,individual,LOW,UNKNOWN,38111,False
ACC100024,CUST100024,2023-08-22 23:29:38.053090,business,LOW,SELF_EMP,9365,False
ACC100025,CUST100025,2024-12-27 23:29:38.053090,individual,LOW,UNKNOWN,23376,False
ACC100026,CUST100026,2022-12-26 23:29:38.053090,individual,HIGH,SALARIED,33758,True
ACC100027,CUST100027,2021-04-27 23:29:38.053090,individual,LOW,SALARIED,53868,False
ACC100028,CUST100028,2023-03-15 23:29:38.053597,individual,LOW,STUDENT,27234,False
ACC100029,CUST100029,2022-04-17 23:29:38.053597,business,LOW,STUDENT,35251,False
ACC100030,CUST100030,2023-11-11 23:29:38.053597,individual,LOW,UNKNOWN,18277,False
ACC100031,CUST100031,2023-03-02 23:29:38.053597,individual,LOW,SELF_EMP,28333,False
ACC100032,CUST100032,2023-07-22 23:29:38.053597,business,LOW,UNKNOWN,19757,False
ACC100033,CUST100033,2024-03-20 23:29:38.053597,individual,LOW,SALARIED,17367,False
ACC100034,CUST100034,2025-06-03 23:29:38.053597,business,LOW,SALARIED,34071,False
ACC100035,CUST100035,2023-10-30 23:29:38.053597,individual,LOW,SALARIED,37537,False
ACC100036,CUST100036,2023-01-15 23:29:38.053597,individual,HIGH,UNKNOWN,18814,True
ACC100037,CUST100037,2025-03-27 23:29:38.053597,individual,LOW,UNKNOWN,32192,False
ACC100038,CUST100038,2023-05-07 23:29:38.053597,individual,LOW,STUDENT,48059,False
ACC100039,CUST100039,2023-07-14 23:29:38.053597,individual,LOW,SALARIED,23488,False
ACC100040,CUST100040,2022-05-06 23:29:38.053597,individual,LOW,STUDENT,48849,False
ACC100041,CUST100041,2024-09-09 23:29:38.053597,individual,LOW,SALARIED,17730,False
ACC100042,CUST100042,2023-12-07 23:29:38.053597,business,LOW,STUDENT,26599,False
ACC100043,CUST100043,2023-02-07 23:29:38.053597,individual,HIGH,UNKNOWN,50295,True
ACC100044,CUST100044,2021-04-13 23:29:38.054604,individual,HIGH,SELF_EMP,11527,True
ACC100045,CUST100045,2021-06-27 23:29:38.054604,individual,HIGH,SELF_EMP,20898,True
ACC100046,CUST100046,2024-03-16 23:29:38.054604,individual,LOW,SALARIED,23312,False
ACC100047,CUST100047,2022-02-24 23:29:38.054604,individual,LOW,UNKNOWN,30670,False
ACC100048,CUST100048,2023-10-09 23:29:38.054604,individual,LOW,SALARIED,25349,False
ACC100049,CUST100049,2022-10-03 23:29:38.054604,individual,LOW,STUDENT,16133,False
ACC100050,CUST100050,2024-11-04 23:29:38.054604,individual,HIGH,UNKNOWN,14552,True
ACC100051,CUST100051,2022-10-09 23:29:38.054604,individual,LOW,STUDENT,16645,False
ACC100052,CUST100052,2022-05-10 23:29:38.055110,business,LOW,STUDENT,42308,False
ACC100053,CUST100053,2024-11-06 23:29:38.055110,individual,LOW,SALARIED,22259,False
ACC100054,CUST100054,2023-08-28 23:29:38.055110,individual,LOW,STUDENT,13319,False
ACC100055,CUST100055,2023-07-15 23:29:38.055110,individual,HIGH,SALARIED,12002,True
ACC100056,CUST100056,2023-08-06 23:29:38.055110,business,LOW,STUDENT,34354,False
ACC100057,CUST100057,2026-01-06 23:29:38.055110,individual,LOW,SALARIED,28226,False
ACC100058,CUST100058,2023-02-06 23:29:38.055110,individual,LOW,STUDENT,24175,False
ACC100059,CUST100059,2022-12-12 23:29:38.055110,individual,LOW,STUDENT,33292,False
ACC100060,CUST100060,2025-01-13 23:29:38.055110,individual,HIGH,STUDENT,29066,True
ACC100061,CUST100061,2021-10-08 23:29:38.055110,business,LOW,SALARIED,31779,False
ACC100062,CUST100062,2022-01-31 23:29:38.055110,business,LOW,UNKNOWN,33583,False
