txn_id,account_id,txn_timestamp,amount,direction,counterparty_account,counterparty_bank,channel,txn_type,is_suspicious,mule_pattern,hour,day_of_week,is_weekend,is_night,device_id,ip_address,geo_location,balance_after
1000000,ACC100654,2026-01-17 23:29:38.108278,33.356048102987906,CREDIT,CP781509,AXIS,branch,card,False,,23.0,5.0,True,True,DEV1706,192.168.214.113,US,26092.340258234533
1000001,ACC100281,2026-02-03 23:29:38.108278,9466.211689509086,CREDIT,CP210494,ICICI,mobile,ach,True,circular,23.0,1.0,False,True,DEV2447,192.168.76.182,SG,18259.31777846652
1000002,ACC100758,2026-01-19 23:29:38.108278,317.89693363417854,CREDIT,CP872783,AXIS,branch,ach,False,,23.0,0.0,False,True,DEV9106,192.168.228.240,US,19892.072573091795
1000003,ACC100432,2026-01-18 23:29:38.108278,276.72371043627595,DEBIT,CP914506,PAYTM,mobile,card,False,,23.0,6.0,True,True,DEV6866,192.168.7.208,US,7727.865381938615
1000004,ACC100223,2025-12-13 23:29:38.108278,732.8288858986607,CREDIT,CP267567,SBI,branch,card,False,,23.0,5.0,True,True,DEV8177,192.168.242.58,US,38575.595993070885
1000005,ACC100027,2025-11-07 23:29:38.108278,737.4141932417909,CREDIT,CP919593,PAYTM,branch,ach,False,,23.0,4.0,False,True,DEV9352,192.168.68.33,US,44200.13210959512
1000006,ACC100665,2025-11-27 23:29:38.108278,557.1768511450847,CREDIT,CP431065,AXIS,online,ach,False,,23.0,3.0,False,True,DEV7354,192.168.248.135,US,7180.745242791451
1000007,ACC100225,2025-12-21 23:29:38.108278,3596.895165019339,DEBIT,CP978087,ICICI,mobile,card,False,,23.0,6.0,True,True,DEV5940,192.168.200.249,US,36419.1209911104
1000008,ACC100777,2026-01-29 23:29:38.108278,1292.3793702114847,DEBIT,CP977860,PAYTM,mobile,card,True,circular,23.0,3.0,False,True,DEV6609,192.168.210.108,UK,27420.495912238406
1000009,ACC100781,2026-01-03 23:29:38.108278,556.1710881283971,CREDIT,CP236225,ICICI,mobile,p2p,False,,23.0,5.0,True,True,DEV6917,192.168.22.3,US,3430.08190278422
1000010,ACC100389,2025-12-05 23:29:38.108278,604.6005628953108,CREDIT,CP935544,HDFC,online,card,False,,23.0,4.0,False,True,DEV5744,192.168.82.56,US,36339.99890744691
1000011,ACC100618,2025-11-13 23:29:38.108278,272.57623727764786,CREDIT,CP340491,PAYTM,branch,p2p,False,,23.0,3.0,False,True,DEV8067,192.168.48.228,US,44276.45959325682
1000012,ACC100470,2025-11-13 23:29:38.108278,853.4495610202833,DEBIT,CP802682,HDFC,online,ach,False,,23.0,3.0,False,True,DEV6898,192.168.220.108,US,4456.953121784834
1000013,ACC100080,2025-12-04 23:29:38.108278,3323.9545649025026,DEBIT,CP812585,PAYTM,online,card,False,,23.0,3.0,False,True,DEV1302,192.168.127.56,US,23005.086241129557
1000014,ACC100591,2025-12-05 23:29:38.108278,756.2305200246018,DEBIT,CP886064,SBI,mobile,card,False,,23.0,4.0,False,True,DEV4199,192.168.20.216,US,6736.15623611127
1000015,ACC100677,2026-01-31 23:29:38.108278,5753.599492807154,DEBIT,CP202951,ICICI,mobile,wire,True,circular,23.0,5.0,True,True,DEV4250,192.168.126.162,NL,30032.18047964385
1000016,ACC100284,2025-12-03 23:29:38.108278,202.89208673881046,CREDIT,CP613223,HDFC,mobile,p2p,False,,23.0,2.0,False,True,DEV4451,192.168.106.193,US,14156.74094538893
1000017,ACC100379,2025-12-24 23:29:38.108278,717.549128116556,CREDIT,CP241707,AXIS,branch,p2p,False,,23.0,2.0,False,True,DEV6755,192.168.24.74,US,4224.11267196671
1000018,ACC100273,2025-12-12 23:29:38.108278,1166.729014400439,CREDIT,CP963907,PAYTM,branch,card,False,,23.0,4.0,False,True,DEV1392,192.168.99.252,US,22741.370904453725
1000019,ACC100746,2025-12-12 23:29:38.108278,229.56169701421095,CREDIT,CP949104,HDFC,online,card,False,,23.0,4.0,False,True,DEV3739,192.168.173.85,US,48184.94173778285
1000020,ACC100388,2025-11-26 23:29:38.108278,19.86954238717331,CREDIT,CP311979,PAYTM,mobile,p2p,False,,23.0,2.0,False,True,DEV8240,192.168.253.134,US,33261.58017347505
1000021,ACC100701,2025-12-10 23:29:38.108278,355.3817124392375,CREDIT,CP413572,PAYTM,mobile,p2p,False,,23.0,2.0,False,True,DEV1604,192.168.240.9,US,3564.310007732479
1000022,ACC100032,2026-01-24 23:29:38.108278,249.24325954543434,DEBIT,CP341482,PAYTM,mobile,ach,False,,23.0,5.0,True,True,DEV2184,192.168.67.128,US,25915.47273009328
1000023,ACC100216,2026-01-23 23:29:38.108278,217.32349411363572,DEBIT,CP851690,HDFC,mobile,ach,False,,23.0,4.0,False,True,DEV7406,192.168.80.144,US,37123.74195499394
1000024,ACC100671,2026-01-07 23:29:38.108278,195.03822348561698,DEBIT,CP140524,HDFC,branch,p2p,False,,23.0,2.0,False,True,DEV1678,192.168.177.221,US,45479.78921182066
1000025,ACC100469,2026-02-01 23:29:38.108278,7567.934604163131,DEBIT,CP267442,PAYTM,branch,ach,True,circular,23.0,6.0,True,True,DEV1310,192.168.37.56,HK,4920.895218126288
1000026,ACC100551,2026-02-03 11:29:38.108278,4156.787731123662,CREDIT,CP185501,AXIS,online,p2p,True,pass_through,11.0,1.0,False,False,DEV9890,192.168.33.147,DE,6659.787441666843
1000027,ACC100224,2026-01-10 23:29:38.108278,257.85514227514693,CREDIT,CP640997,ICICI,online,card,False,,23.0,5.0,True,True,DEV9080,192.168.188.87,US,25484.478283862303
