ACCOUNT_ID,customer_id,account_type,account_currency,account_status,account_balance_current,avg_balance_30d,avg_balance_90d,account_age_days,customer_account_age_days,customer_kyc_age_days,customer_age_years,customer_address_change_count_12m,customer_phone_change_count_12m,account_txn_velocity_1h,account_txn_velocity_24h,account_pass_through_ratio_1d,account_pass_through_ratio_7d,account_pass_through_ratio_30d,account_incoming_txn_spike_score,account_outgoing_txn_spike_score,account_dormancy_days,account_dormant_reactivation_flag,account_unique_beneficiary_count_7d,account_unique_beneficiary_count_30d,upi_transaction_velocity_score,upi_transaction_entropy_score,upi_failed_transaction_ratio,upi_reversal_count_7d,upi_first_transaction_delay_minutes,upi_new_account_high_velocity_flag,upi_round_amount_transaction_ratio,upi_unique_counterparty_count_7d,upi_new_counterparty_ratio,upi_counterparty_growth_rate,upi_night_transaction_ratio,upi_ip_change_count_30d,upi_geo_location_variance,upi_device_change_count_30d,upi_pass_through_ratio_24h,upi_pass_through_ratio_7d,upi_burst_transaction_flag,upi_new_device_transfer_flag,atm_cash_withdrawal_count_24h,atm_cash_withdrawal_count_7d,atm_cash_withdrawal_amount_24h,atm_cash_withdrawal_amount_7d,atm_cash_deposit_count_24h,atm_cash_deposit_count_7d,atm_cash_deposit_amount_24h,atm_cash_deposit_amount_7d,atm_round_amount_deposit_ratio,atm_deposit_to_withdrawal_ratio,atm_night_withdrawal_ratio,atm_pin_retry_count_24h,atm_failed_transaction_count_7d,atm_terminal_usage_count_24h,atm_terminal_usage_count_7d,atm_geo_distance_variance,atm_multi_city_withdrawal_flag,atm_withdrawal_velocity_score,atm_rapid_withdrawal_flag,atm_new_account_cash_activity_flag,branch_cash_deposit_count_7d,branch_cash_deposit_count_30d,branch_cash_deposit_amount_7d,branch_cash_deposit_amount_30d,branch_structured_cash_deposit_flag,branch_multiple_same_day_deposits_flag,branch_deposit_round_amount_ratio,branch_cash_deposit_frequency_score,branch_deposit_spike_flag,branch_deposit_to_transfer_delay_minutes,branch_deposit_to_upi_transfer_ratio,branch_deposit_to_imps_transfer_ratio,branch_deposit_to_neft_transfer_ratio,branch_deposit_to_rtgs_transfer_ratio,branch_cash_pass_through_ratio,branch_deposit_count_new_account_7d,branch_deposit_amount_new_account_7d,mule_flag,mule_event_date,target_source_type,target_reason_summary,event_strength_score,mule_typology,typology_confidence,typology_reason_summary
ACC00000001,CUST0005644,SAVINGS,INR,ACTIVE,21170.62,17110.09,20427.2,3029,3028.0,147.0,33.24,1.0,1.0,0.0,0.0,0.0,0.0,22.40018958211989,0.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0975609756097561,0.0,3875758.0,0.0,0.2926829268292683,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000002,CUST0001225,WALLET,EUR,ACTIVE,12035.55,12586.98,10840.46,3117,3116.0,335.0,45.63,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,1.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.0,0.0,3975652.0,0.0,0.2777777777777778,2.0,0.05,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000003,CUST0001125,SALARY,INR,ACTIVE,17910.64,19671.83,17054.02,3553,3552.0,467.0,27.12,0.0,0.0,0.0,1.0,0.0,0.0,1.5006801165006176,1.6666666666666667,0.0,-1.0,0.0,2.0,9.0,-0.1638873139879005,-1.4428232973175177e-12,0.0857142857142857,0.0,4609363.0,0.0,0.2285714285714285,2.0,0.0384615384615384,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000004,CUST0001058,CURRENT,INR,ACTIVE,51931.36,54612.34,42949.17,3303,3302.0,2522.0,62.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0657093727861859,0.0,0.0,6.0,0.0,1.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.03125,0.0,4236235.0,0.0,0.375,1.0,0.0476190476190476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000005,CUST0001851,SAVINGS,INR,ACTIVE,102071.41,100191.66,94686.17,1506,1505.0,707.0,32.04,0.0,0.0,0.0,0.0,0.0,0.0,0.7754063370951136,0.0,0.0,4.0,0.0,1.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.0303030303030303,0.0,1648272.0,0.0,0.303030303030303,1.0,0.0434782608695652,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000006,CUST0004840,CURRENT,INR,FROZEN,43677.34,36006.22,36224.6,3283,3282.0,34.0,36.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0526315789473684,0.0,4204563.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000007,CUST0006544,OD,INR,ACTIVE,24886.18,22009.28,23978.57,3116,3115.0,771.0,55.98,0.0,0.0,0.0,0.0,0.0,0.0,0.5417008944185757,0.0,0.0,2.0,0.0,1.0,5.0,-0.1638873139879005,-1.4428232973175177e-12,0.05,0.0,3967056.0,0.0,0.3,1.0,0.0333333333333333,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000008,CUST0006850,SAVINGS,INR,ACTIVE,132934.81,133238.13,93868.2,1859,1858.0,1292.0,26.56,0.0,0.0,0.0,0.0,0.0,0.0,0.5061175,0.0,1.3333333333333333,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2155408.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000009,CUST0002429,SAVINGS,INR,ACTIVE,15132.44,13354.08,13323.97,1099,1098.0,3230.0,67.98,0.0,0.0,0.0,0.0,0.0,0.0,0.2134805401046596,0.0,0.0,2.0,0.0,0.0,2.0,-0.1638873139879005,0.0,0.0,0.0,1059642.0,0.0,0.3404255319148936,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000010,CUST0004065,SAVINGS,INR,ACTIVE,75894.78,79686.49,60411.63,1162,1161.0,743.0,41.79,0.0,0.0,0.0,0.0,0.0,0.0055753,0.5018007889303487,0.0,0.0,2.0,0.0,0.0,3.0,-0.1638873139879005,0.0,0.0238095238095238,0.0,1156687.0,0.0,0.238095238095238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-0.2489765297862206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
