account_id,mule_risk_score,predicted_mule_flag,risk_band,model_confidence,predicted_mule_typology,predicted_mule_category,category_probabilities_json,typology_confidence,category_prob_layering_mule,anomaly_score,anomaly_flag,graph_cluster_id,cluster_size,suspicious_neighbor_count,shared_device_links,graph_degree,graph_pagerank,graph_risk_score,top_drivers,supporting_signals,investigator_explanation
ACC00006351,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.8672771642289658,1,RING-0001,341,4,0,6,8.105040094282536e-05,0.415201831451738,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00000415,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.8640097493244101,1,RING-0001,341,7,0,10,0.00011728059979777467,0.5165685823511231,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00005480,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.8672771642289658,1,RING-0439,1,1,0,4,8.369512006095296e-05,0.05724754915392438,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00002992,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.9266066364439602,1,RING-0001,341,5,0,7,0.0001088830891575099,0.44899979431508524,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00007814,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.9341996418640774,1,RING-0025,1,4,0,8,0.00014952008551727942,0.1586438948199108,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00009584,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.9458363709343752,1,RING-0022,2,3,0,4,7.688517553833978e-05,0.1480740725427351,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00005468,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.9102604873676062,1,RING-0438,1,1,0,4,8.369512006095296e-05,0.05724754915392438,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00007812,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.977813791394006,1,RING-0436,1,1,0,5,0.0001001513614250346,0.05728413557042099,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00005462,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.8927437677688935,1,RING-0001,341,4,0,5,8.430063230359944e-05,0.41518495150796625,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
ACC00003521,0.9999707301939567,1,High Risk,0.9999707301939567,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939565,0.9999707301939565,0.9215617302341872,1,RING-0001,341,5,0,11,0.00014573803571191332,0.4491171699621697,"typology available flag, txn count 30d",typology available flag | txn count 30d | rapid outflow count 30d,"Why this account is risky: typology available flag, txn count 30d, rapid outflow count 30d."
