ACCOUNT_ID,customer_id,account_type,account_currency,account_status,account_balance_current,avg_balance_30d,avg_balance_90d,account_age_days,customer_account_age_days,customer_kyc_age_days,customer_age_years,customer_address_change_count_12m,customer_phone_change_count_12m,account_txn_velocity_1h,account_txn_velocity_24h,account_pass_through_ratio_1d,account_pass_through_ratio_7d,account_pass_through_ratio_30d,account_incoming_txn_spike_score,account_outgoing_txn_spike_score,account_dormancy_days,account_dormant_reactivation_flag,account_unique_beneficiary_count_7d,account_unique_beneficiary_count_30d,upi_transaction_velocity_score,upi_transaction_entropy_score,upi_failed_transaction_ratio,upi_reversal_count_7d,upi_first_transaction_delay_minutes,upi_new_account_high_velocity_flag,upi_round_amount_transaction_ratio,upi_unique_counterparty_count_7d,upi_new_counterparty_ratio,upi_counterparty_growth_rate,upi_night_transaction_ratio,upi_ip_change_count_30d,upi_geo_location_variance,upi_device_change_count_30d,upi_pass_through_ratio_24h,upi_pass_through_ratio_7d,upi_burst_transaction_flag,upi_new_device_transfer_flag,atm_cash_withdrawal_count_24h,atm_cash_withdrawal_count_7d,atm_cash_withdrawal_amount_24h,atm_cash_withdrawal_amount_7d,atm_cash_deposit_count_24h,atm_cash_deposit_count_7d,atm_cash_deposit_amount_24h,atm_cash_deposit_amount_7d,atm_round_amount_deposit_ratio,atm_deposit_to_withdrawal_ratio,atm_night_withdrawal_ratio,atm_pin_retry_count_24h,atm_failed_transaction_count_7d,atm_terminal_usage_count_24h,atm_terminal_usage_count_7d,atm_geo_distance_variance,atm_multi_city_withdrawal_flag,atm_withdrawal_velocity_score,atm_rapid_withdrawal_flag,atm_new_account_cash_activity_flag,branch_cash_deposit_count_7d,branch_cash_deposit_count_30d,branch_cash_deposit_amount_7d,branch_cash_deposit_amount_30d,branch_structured_cash_deposit_flag,branch_multiple_same_day_deposits_flag,branch_deposit_round_amount_ratio,branch_cash_deposit_frequency_score,branch_deposit_spike_flag,branch_deposit_to_transfer_delay_minutes,branch_deposit_to_upi_transfer_ratio,branch_deposit_to_imps_transfer_ratio,branch_deposit_to_neft_transfer_ratio,branch_deposit_to_rtgs_transfer_ratio,branch_cash_pass_through_ratio,branch_deposit_count_new_account_7d,branch_deposit_amount_new_account_7d,merchant_transaction_count_24h,merchant_transaction_count_7d,merchant_transaction_amount_24h,merchant_transaction_amount_7d,merchant_avg_transaction_amount,merchant_round_amount_ratio,merchant_high_value_transaction_ratio,merchant_unique_customer_count_7d,merchant_new_customer_ratio,merchant_repeat_customer_ratio,merchant_refund_transaction_count,merchant_refund_ratio,merchant_chargeback_ratio,merchant_transaction_velocity_score,merchant_transaction_entropy_score,merchant_night_transaction_ratio,merchant_cross_border_transaction_ratio,merchant_terminal_switch_count,merchant_terminal_geo_variance,merchant_gateway_transaction_ratio,merchant_gateway_refund_ratio,merchant_gateway_chargeback_ratio,merchant_gateway_customer_entropy,merchant_settlement_amount_24h,merchant_settlement_velocity_score,device_session_duration_seconds,device_failed_login_count_24h,device_failed_login_count_7d,device_login_velocity_score,device_new_device_flag,device_device_change_count_30d,device_ip_change_count_7d,device_geo_variance_score,device_cross_country_login_flag,device_impossible_travel_flag,device_scripted_interaction_score,device_touch_pattern_entropy,device_typing_speed_score,device_session_entropy_score,customer_device_count,customer_ip_count,customer_login_count_7d,customer_login_count_30d,customer_login_geo_variance,sim_age_days,sim_swap_count_30d,foreign_sim_usage_flag,customer_phone_reuse_count,customer_email_reuse_count,customer_device_link_count,customer_identity_risk_score,customer_shared_mobile_count,customer_shared_email_count,total_fin_in_last_24h,total_fin_in_last_7d,total_fin_in_last_30d,fin_in_txn_count_24h,unique_senders_24h,avg_fin_in_amount,max_fin_in_amount,total_fin_out_last_24h,total_fin_out_last_7d,total_fin_out_last_30d,fin_out_txn_count_24h,unique_receivers_24h,avg_fin_out_amount,fin_in_fin_out_ratio,counterparty_is_new_beneficiary,inbound_outbound_time_gap,fin_out_immediate_after_in,fin_in_round_amount_ratio,fin_in_small_value_burst,fin_out_wallet_transfer_ratio,counterparty_shared_mobile_flag,counterparty_shared_device_flag,cross_border_transaction_count,cross_border_fin_in_ratio,cross_border_fin_out_ratio,high_risk_country_transfer_ratio,graph_node_degree,graph_in_degree,graph_out_degree,graph_degree_centrality,graph_betweenness_centrality,graph_closeness_centrality,graph_eigenvector_centrality,graph_pagerank_score,graph_clustering_coefficient,graph_triangle_count,graph_kcore_score,graph_community_size,graph_cross_border_edge_ratio,graph_money_flow_depth,graph_transaction_path_length,graph_cycle_detection_flag,graph_layering_pattern_score,graph_structuring_pattern_score,graph_ring_network_score,graph_account_device_link_count,graph_multi_identity_cluster_size,graph_channel_diversity_score,graph_channel_transition_score,graph_channel_behavior_entropy,network_neighbor_mule_ratio,network_two_hop_mule_exposure,network_three_hop_mule_exposure,network_suspicious_cluster_score,network_propagation_risk_score,network_behavior_anomaly_score,network_transaction_entropy,network_money_flow_concentration,network_cluster_risk_score,network_high_risk_neighbor_count,cross_channel_login_count_24h,cross_channel_device_usage_count,cross_channel_geo_variance,cross_channel_behavior_entropy,cross_channel_counterparty_overlap,cross_channel_session_overlap_flag,cross_channel_transaction_count_24h,cross_channel_transaction_amount_24h,cross_channel_channel_diversity,cross_channel_pass_through_ratio,cross_channel_velocity_score,mule_ring_shared_beneficiary_ratio,mule_ring_shared_sender_ratio,mule_ring_shared_device_count,mule_ring_shared_ip_count,mule_cartel_device_network_size,mule_cartel_layer_depth,mule_network_risk_score,mule_flag,mule_event_date,target_source_type,target_reason_summary,event_strength_score,mule_typology,typology_confidence,typology_reason_summary
ACC00000001,CUST0005644,SAVINGS,INR,ACTIVE,21170.62,17110.09,20427.2,3029,3028.0,147.0,33.24,1.0,1.0,0.0,0.0,0.0,0.0,22.40018958211989,0.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0975609756097561,0.0,3875758.0,0.0,0.2926829268292683,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.1354882416542522,-1.4428232973175177e-12,0.095,1.9999999999942293,1.0,4.0,0.0,0.0,4.0,3028.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,875.61,0.0,0.0,48413.70157894737,100000.0,247.42,247.42,19861.25,0.0,1.0,32270.70657894737,0.0,True,21035.0,0.0,0.0,0.0,0.7192982456140351,0.0,0.0,57.0,1.0,1.0,0.0,33.0,33.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,34.0,0.0,31.0,31.0,1.0,-0.1586187081932867,3.68016533118713,-0.1586187081932867,0.0,33.0,9.0,9.0,2.6668147326310154,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.9393939393939394,33.0,0.0,1.0,1.0,18.0,2.3997092328301792,31.0,0.0,1.0,247.42,7.0,0.2723756019379808,0.0,0,0,0.0,4.0,0.0,1.0,0.0,0,,,,,,,
ACC00000002,CUST0001225,WALLET,EUR,ACTIVE,12035.55,12586.98,10840.46,3117,3116.0,335.0,45.63,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,1.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.0,0.0,3975652.0,0.0,0.2777777777777778,2.0,0.05,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.6666666666667,0.0,0.0,-0.2544905861170009,0.0,1.0,1.0,3.0,0.0,0.0,-0.5219350233263921,-1.4428232973175177e-12,0.13,1.584962500716828,1.0,3.0,1.0,1.0,3.0,3116.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,100000.0,100000.0,201831.23,1.0,1.0,41292.05615384616,100000.0,6158.4,6158.4,6158.4,0.0,1.0,34852.7776,16.23798389191998,True,-13882.0,0.0,1.0,0.0,0.7058823529411765,1.0,0.0,51.0,1.0,1.0,0.0,31.0,31.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,32.0,0.0,29.0,29.0,1.0,-0.1886433550654484,4.320277456982962,-0.1886433550654484,0.0,31.0,9.0,9.0,2.6339366076017137,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.935483870967742,31.0,0.0,2.0,1.0,16.0,2.4016044481189733,29.0,0.0,2.0,106158.4,7.0,0.3195339955840696,-0.1835249764029459,0,0,0.0,3.0,0.0,1.0,0.0,0,,,,,,,
ACC00000003,CUST0001125,SALARY,INR,ACTIVE,17910.64,19671.83,17054.02,3553,3552.0,467.0,27.12,0.0,0.0,0.0,1.0,0.0,0.0,1.5006801165006176,1.6666666666666667,0.0,-1.0,0.0,2.0,9.0,-0.1638873139879005,-1.4428232973175177e-12,0.0857142857142857,0.0,4609363.0,0.0,0.2285714285714285,2.0,0.0384615384615384,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2509585400178876,-1.4428232973175177e-12,0.09,2.321928094880149,1.0,5.0,0.0,0.0,4.0,3552.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,101441.75,127774.45,242255.04000000004,1.0,2.0,52921.9775862069,100000.0,0.0,0.0,213479.31000000003,0.0,0.0,42757.31575757576,0.0,True,-11488.0,0.0,0.0,1.0,0.5645161290322581,1.0,0.0,62.0,1.0,1.0,0.0,46.0,46.0,46.0,0.9787234042553192,0.0,0.0,0.0,0.9787234042553192,0.0,0.0,46.0,47.0,0.0,45.0,45.0,1.0,0.0515538199118452,4.137496108355041,0.0515538199118452,0.0,46.0,9.0,9.0,2.7806841120941863,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.9574468085106383,46.0,0.0,2.0,1.0,18.0,2.635452972191463,44.0,1.0,2.0,101441.75,7.0,0.2946600850831218,-0.1835249764029459,0,0,0.0,5.0,0.0,1.0,0.0,0,,,,,,,
ACC00000004,CUST0001058,CURRENT,INR,ACTIVE,51931.36,54612.34,42949.17,3303,3302.0,2522.0,62.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0657093727861859,0.0,0.0,6.0,0.0,1.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.03125,0.0,4236235.0,0.0,0.375,1.0,0.0476190476190476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.2509585400178876,-1.4428232973175177e-12,0.212,2.321928094880149,1.0,5.0,0.0,0.0,5.0,3302.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,3256.13,111205.14,0.0,0.0,33130.46736842106,100000.0,0.0,0.0,7307.22,0.0,0.0,49735.20241379311,0.0,True,-45271.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,48.0,1.0,1.0,0.0,34.0,34.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,35.0,0.0,32.0,32.0,1.0,-0.1436063847572058,4.322756958859888,-0.1436063847572058,0.0,34.0,8.0,8.0,2.65234556125435,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.9411764705882352,34.0,0.0,0.0,1.0,18.0,2.421657244170731,32.0,0.0,0.0,0.0,6.0,0.3569772126866991,0.0,0,0,0.0,5.0,0.0,1.0,0.0,0,,,,,,,
ACC00000005,CUST0001851,SAVINGS,INR,ACTIVE,102071.41,100191.66,94686.17,1506,1505.0,707.0,32.04,0.0,0.0,0.0,0.0,0.0,0.0,0.7754063370951136,0.0,0.0,4.0,0.0,1.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.0303030303030303,0.0,1648272.0,0.0,0.303030303030303,1.0,0.0434782608695652,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2563.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.2509585400178876,-1.4428232973175177e-12,0.12,2.321928094880149,1.0,5.0,0.0,0.0,5.0,1505.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,13268.54,0.0,0.0,44834.75960000001,100000.0,0.0,10288.51,10288.51,0.0,0.0,35803.60296296296,0.0,True,-46385.0,0.0,0.0,0.0,0.6346153846153846,1.0,0.0,52.0,1.0,1.0,0.0,32.0,32.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,33.0,0.0,30.0,30.0,1.0,-0.1736310316293675,4.574698735134898,-0.1736310316293675,0.0,32.0,9.0,9.0,2.649397470334715,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.9375,32.0,0.0,0.0,1.0,17.0,2.484064974013422,30.0,1.0,0.0,0.0,7.0,0.293129046389507,0.0,0,0,0.0,5.0,0.0,1.0,0.0,0,,,,,,,
ACC00000006,CUST0004840,CURRENT,INR,FROZEN,43677.34,36006.22,36224.6,3283,3282.0,34.0,36.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0526315789473684,0.0,4204563.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2509585400178876,-1.4428232973175177e-12,0.1,2.321928094880149,1.0,5.0,0.0,0.0,4.0,3282.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,3487.51,0.0,0.0,39871.61,100000.0,0.0,0.0,0.0,0.0,0.0,35402.330312499995,0.0,False,17277.0,0.0,0.0,0.0,0.7307692307692307,0.0,0.0,52.0,1.0,1.0,0.0,30.0,30.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,31.0,0.0,28.0,28.0,1.0,-0.2036556785015292,4.251841113760452,-0.2036556785015292,0.0,30.0,9.0,9.0,2.65270216541419,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.9333333333333332,30.0,0.0,0.0,1.0,17.0,2.466815707636906,28.0,1.0,0.0,0.0,7.0,0.3746675508991765,0.0,0,0,0.0,5.0,0.0,1.0,0.0,0,,,,,,,
ACC00000007,CUST0006544,OD,INR,ACTIVE,24886.18,22009.28,23978.57,3116,3115.0,771.0,55.98,0.0,0.0,0.0,0.0,0.0,0.0,0.5417008944185757,0.0,0.0,2.0,0.0,1.0,5.0,-0.1638873139879005,-1.4428232973175177e-12,0.05,0.0,3967056.0,0.0,0.3,1.0,0.0333333333333333,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.6374053216900275,-1.4428232973175177e-12,0.1216666666666666,2.5849625007125,1.0,6.0,0.0,0.0,6.0,3115.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,21967.57,191645.17,0.0,0.0,44268.74263157895,100000.0,0.0,0.0,103814.36,0.0,0.0,41857.19416666667,0.0,True,6795.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,55.0,1.0,1.0,0.0,37.0,37.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,38.0,0.0,35.0,35.0,1.0,-0.0985694144489632,3.964757478972426,-0.0985694144489632,0.0,37.0,9.0,9.0,2.4909919381026926,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.945945945945946,37.0,0.0,0.0,1.0,17.0,2.4908782273489054,35.0,0.0,0.0,0.0,7.0,0.3270583834487148,0.0,0,0,0.0,6.0,0.0,1.0,0.0,0,,,,,,,
ACC00000008,CUST0006850,SAVINGS,INR,ACTIVE,132934.81,133238.13,93868.2,1859,1858.0,1292.0,26.56,0.0,0.0,0.0,0.0,0.0,0.0,0.5061175,0.0,1.3333333333333333,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2155408.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0238521033621673,-1.4428232973175177e-12,0.1342857142857142,2.807354922047505,1.0,7.0,0.0,0.0,6.0,1858.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,200000.0,0.0,0.0,44960.2352173913,100000.0,1897.22,1897.22,103120.72,0.0,1.0,33819.72153846154,0.0,True,14294.0,0.0,0.0,0.0,0.673469387755102,0.0,0.0,49.0,1.0,1.0,0.0,25.0,25.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,26.0,0.0,23.0,23.0,1.0,-0.2787172956819335,3.683856189748756,-0.2787172956819335,0.0,25.0,8.0,8.0,2.742824692349965,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.92,25.0,0.0,1.0,1.0,18.0,2.4595070662551457,23.0,0.0,1.0,1897.22,6.0,0.2297813632799701,0.0,0,0,0.0,7.0,0.0,1.0,0.0,0,,,,,,,
ACC00000009,CUST0002429,SAVINGS,INR,ACTIVE,15132.44,13354.08,13323.97,1099,1098.0,3230.0,67.98,0.0,0.0,0.0,0.0,0.0,0.0,0.2134805401046596,0.0,0.0,2.0,0.0,0.0,2.0,-0.1638873139879005,0.0,0.0,0.0,1059642.0,0.0,0.3404255319148936,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296.6666666666665,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.6374053216900275,-1.4428232973175177e-12,0.1366666666666667,2.5849625007125,1.0,6.0,0.0,1.0,5.0,1098.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,100000.0,194325.3,0.0,0.0,36752.009000000005,100000.0,0.0,0.0,41484.670000000006,0.0,0.0,49006.48,0.0,False,-4290.0,0.0,1.0,0.0,0.8392857142857143,0.0,0.0,56.0,1.0,1.0,0.0,39.0,39.0,39.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,40.0,0.0,37.0,37.0,1.0,-0.0685447675768015,4.553881064638532,-0.0685447675768015,0.0,39.0,9.0,9.0,2.257452312383868,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.9487179487179488,39.0,0.0,0.0,1.0,17.0,2.061779667369355,37.0,1.0,0.0,0.0,7.0,0.4590366473943192,0.0,0,0,0.0,6.0,0.0,1.0,0.0,0,,,,,,,
ACC00000010,CUST0004065,SAVINGS,INR,ACTIVE,75894.78,79686.49,60411.63,1162,1161.0,743.0,41.79,0.0,0.0,0.0,0.0,0.0,0.0055753,0.5018007889303487,0.0,0.0,2.0,0.0,0.0,3.0,-0.1638873139879005,0.0,0.0238095238095238,0.0,1156687.0,0.0,0.238095238095238,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-0.2489765297862206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0238521033621673,-1.4428232973175177e-12,0.1785714285714285,2.807354922047505,1.0,7.0,0.0,0.0,5.0,1161.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,100000.0,200598.19,0.0,0.0,41801.97357142858,100000.0,0.0,557.53,100660.33,0.0,0.0,35876.98896551724,179.36254551324592,False,58502.0,0.0,0.5,1.0,0.7368421052631579,0.0,0.0,57.0,1.0,1.0,0.0,32.0,32.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,33.0,0.0,30.0,30.0,1.0,-0.1736310316293675,4.249999999963933,-0.1736310316293675,0.0,32.0,8.0,8.0,2.5365962055100075,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.9375,32.0,0.0,0.0,1.0,18.0,2.283713772740032,30.0,0.0,0.0,0.0,6.0,0.3260460998308218,0.0,0,0,0.0,7.0,0.0,1.0,0.0,0,,,,,,,
