account_id,mule_risk_score,predicted_mule_flag,risk_band,model_confidence,predicted_mule_typology,predicted_mule_category,category_probabilities_json,typology_confidence,category_prob_layering_mule,anomaly_score,anomaly_flag,graph_cluster_id,cluster_size,suspicious_neighbor_count,shared_device_links,graph_degree,graph_pagerank,graph_risk_score,top_drivers,supporting_signals,investigator_explanation
ACC00000326,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.8912471850518805,1,RING-0001,341,7,0,10,0.0001186948410622,0.5165699965923876,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00003919,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.8672771642289658,1,RING-0001,341,5,1,7,9.618743875283875e-05,0.4889870986646805,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00000328,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.9674611940537856,1,RING-0001,341,6,0,7,7.906004350757163e-05,0.4827199712694353,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00003126,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.8863708094817561,1,RING-0001,341,3,0,5,8.608467026545036e-05,0.3814367355459281,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00001584,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.8589902717241423,1,RING-0001,341,11,0,14,0.0001465441475659,0.5504283665994214,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00001202,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.959200368931192,1,RING-0001,341,12,0,16,0.0001769074608235,0.550498990262944,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00002770,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.9002725473767472,1,RING-0001,341,7,0,14,0.0001642477441995,0.516696070196055,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00001704,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.9571644807411416,1,RING-0001,341,8,0,10,0.0001061851518712,0.5503074869031966,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00002599,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.9597334364669624,1,RING-0001,341,6,0,6,7.425447480828335e-05,0.4826950355256035,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
ACC00002771,1.0,1,High Risk,1.0,layering_mule,layering_mule,"{""layering_mule"": 0.9999707301939565, ""missing"": 2.926980604347868e-05}",0.9999707301939564,0.9999707301939564,0.8612454931460426,1,RING-0001,341,9,0,11,0.0001233733533933,0.5503448052798511,"txn count 30d, typology available flag",txn count 30d | typology available flag | rapid outflow count 30d,"Why this account is risky: txn count 30d, typology available flag, rapid outflow count 30d."
